"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by mode of transport","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","240","Trips per person per year","383059","340349","83120","82612",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","837","Trips per person per year","87504","74523","5450","4980",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","Trips per person per year","588","473","5450","4980",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","55","Trips per person per year","5712","4890","5450","4980",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","255","Trips per person per year","26681","23031","5450","4980",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","182","Trips per person per year","18991","17135","5450","4980",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","21","Trips per person per year","2172","1663","5450","4980",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","34","Trips per person per year","3535","2799","5450","4980",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","5","Trips per person per year","485","388","5450","4980",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","25","Trips per person per year","2636","2133","5450","4980",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","6","Trips per person per year","618","491","5450","4980",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","245","Trips per person per year","25627","21183","5450","4980",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","827","Trips per person per year","39246","35503","2475","2396",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","167","Trips per person per year","7920","7256","2475","2396",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","190","Trips per person per year","9028","8221","2475","2396",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","128","Trips per person per year","6091","5788","2475","2396",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","26","Trips per person per year","1249","1057","2475","2396",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","47","Trips per person per year","2252","2030","2475","2396",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","32","Trips per person per year","1514","1339","2475","2396",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","8","Trips per person per year","399","347","2475","2396",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","212","Trips per person per year","10074","8814","2475","2396",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","891","Trips per person per year","23398","20669","1369","1285",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","18","Trips per person per year","459","378","1369","1285",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","58","Trips per person per year","1531","1274","1369","1285",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","171","Trips per person per year","4478","3931","1369","1285",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","243","Trips per person per year","6390","6158","1369","1285",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","18","Trips per person per year","465","315","1369","1285",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","54","Trips per person per year","1415","1261","1369","1285",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","23","Trips per person per year","594","518","1369","1285",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","15","Trips per person per year","382","321","1369","1285",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","281","Trips per person per year","7380","6244","1369","1285",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","798","Trips per person per year","16997","14381","1110","1014",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","20","Trips per person per year","422","320","1110","1014",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","73","Trips per person per year","1558","1238","1110","1014",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","197","Trips per person per year","4189","3740","1110","1014",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","136","Trips per person per year","2892","2763","1110","1014",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","41","Trips per person per year","880","659","1110","1014",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","46","Trips per person per year","975","790","1110","1014",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","21","Trips per person per year","439","363","1110","1014",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","249","Trips per person per year","5302","4217","1110","1014",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","All modes","1009","Trips per person per year","1405761","1317501","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Bicycle","17","Trips per person per year","24328","22176","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Bus in London","12","Trips per person per year","17077","14709","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Car / van driver","424","Trips per person per year","590864","561925","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","222","Trips per person per year","309479","300121","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","London Underground","8","Trips per person per year","10543","8253","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","4","Trips per person per year","5305","4627","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","Trips per person per year","822","802","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Other local bus","43","Trips per person per year","60368","56685","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Other private transport","8","Trips per person per year","11161","11156","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Other public transport","2","Trips per person per year","2986","2710","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Surface Rail","17","Trips per person per year","24070","21461","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","14342","13203","72660","72885",""
"Average trips per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Walk","240","Trips per person per year","334415","299673","72660","72885",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","973","Trips per person per year","1547645","1442650","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","Trips per person per year","25318","22723","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","21","Trips per person per year","34031","29927","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","393","Trips per person per year","624614","593313","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","213","Trips per person per year","338019","327426","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","9","Trips per person per year","14894","11658","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","Trips per person per year","5115","4441","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","Trips per person per year","935","886","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","42","Trips per person per year","67548","62477","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","7","Trips per person per year","11488","11387","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","2","Trips per person per year","3935","3495","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","19","Trips per person per year","29838","26321","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","15721","14292","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","237","Trips per person per year","376189","334304","82923","82444",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","832","Trips per person per year","90069","77766","5646","5216",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","5","Trips per person per year","532","452","5646","5216",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","51","Trips per person per year","5507","4901","5646","5216",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","260","Trips per person per year","28135","24643","5646","5216",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","181","Trips per person per year","19653","17803","5646","5216",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","19","Trips per person per year","2096","1621","5646","5216",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","32","Trips per person per year","3470","2820","5646","5216",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","4","Trips per person per year","481","393","5646","5216",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","25","Trips per person per year","2717","2233","5646","5216",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","6","Trips per person per year","700","567","5646","5216",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","243","Trips per person per year","26307","21975","5646","5216",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","813","Trips per person per year","40822","36917","2617","2530",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","164","Trips per person per year","8239","7524","2617","2530",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","177","Trips per person per year","8901","8132","2617","2530",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","129","Trips per person per year","6464","6091","2617","2530",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","27","Trips per person per year","1360","1113","2617","2530",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","46","Trips per person per year","2302","2060","2617","2530",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","32","Trips per person per year","1606","1439","2617","2530",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","9","Trips per person per year","444","365","2617","2530",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","214","Trips per person per year","10766","9518","2617","2530",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","880","Trips per person per year","23096","20713","1368","1296",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","14","Trips per person per year","361","318","1368","1296",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","58","Trips per person per year","1534","1392","1368","1296",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","173","Trips per person per year","4547","4069","1368","1296",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","241","Trips per person per year","6311","6064","1368","1296",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","52","Trips per person per year","1358","1196","1368","1296",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","24","Trips per person per year","621","533","1368","1296",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","13","Trips per person per year","352","302","1368","1296",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","276","Trips per person per year","7230","6235","1368","1296",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","795","Trips per person per year","16605","14018","1089","982",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","78","Trips per person per year","1620","1292","1089","982",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","211","Trips per person per year","4413","3949","1089","982",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","131","Trips per person per year","2731","2647","1089","982",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","38","Trips per person per year","800","575","1089","982",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","44","Trips per person per year","924","734","1089","982",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","26","Trips per person per year","548","424","1089","982",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","237","Trips per person per year","4958","3902","1089","982",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","All modes","994","Trips per person per year","1376016","1292419","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Bicycle","17","Trips per person per year","23727","21418","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Bus in London","12","Trips per person per year","17011","14714","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Car / van driver","418","Trips per person per year","578324","552280","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","219","Trips per person per year","302718","294705","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","London Underground","7","Trips per person per year","10173","8031","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","4","Trips per person per year","4950","4321","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","Trips per person per year","789","759","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Other local bus","43","Trips per person per year","59489","55663","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Other private transport","8","Trips per person per year","10580","10596","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Other public transport","2","Trips per person per year","3235","2901","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Surface Rail","18","Trips per person per year","24294","21648","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","14040","12898","72146","72371",""
"Average trips per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Walk","236","Trips per person per year","326685","292485","72146","72371",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","962","Trips per person per year","1519448","1410439","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","Trips per person per year","25681","22672","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","21","Trips per person per year","32902","28963","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","391","Trips per person per year","617586","584462","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","210","Trips per person per year","331719","319671","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","9","Trips per person per year","14754","11484","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","Trips per person per year","5138","4450","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","Trips per person per year","986","930","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","41","Trips per person per year","65550","60461","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","7","Trips per person per year","10597","10648","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","Trips per person per year","3971","3537","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","20","Trips per person per year","30888","26893","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","15729","14279","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","230","Trips per person per year","363947","321989","82367","81636",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","808","Trips per person per year","87865","75623","5668","5215",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","Trips per person per year","606","517","5668","5215",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","51","Trips per person per year","5546","4934","5668","5215",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","252","Trips per person per year","27360","23958","5668","5215",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","174","Trips per person per year","18933","17147","5668","5215",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","23","Trips per person per year","2450","1857","5668","5215",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","31","Trips per person per year","3394","2736","5668","5215",""
