"Ethnicity","Local Authority","Girls","Boys"
"Black","Lambeth","73","58"
"Black","Lancashire","69","57"
"Black","Leeds","64","54"
"Black","Leicester","66","57"
"Black","Leicestershire","88","49"
"Black","Lewisham","78","63"
"Black","Lincolnshire","75","60"
"Black","Liverpool","68","52"
"Black","Luton","80","66"
"Black","Manchester","74","60"
"Black","Medway","81","64"
"Black","Merton","77","68"
"Black","Middlesbrough","76","70"
"Black","Milton Keynes","75","57"
"Black","Newcastle upon Tyne","70","51"
"Black","Newham","82","62"
"Black","Norfolk","90","63"
"Black","North East Lincolnshire","?","?"
"Black","North Lincolnshire","?","44"
"Black","North Somerset","80","75"
"Black","North Tyneside","80","50"
"Black","North Yorkshire","71","72"
"Black","Northamptonshire","84","61"
"Black","Northumberland","?","?"
"Black","Nottingham","79","60"
"Black","Nottinghamshire","65","69"
"Black","Oldham","82","55"
"Black","Oxfordshire","78","49"
"Black","Peterborough","73","55"
"Black","Plymouth","94","67"
"Black","Portsmouth","73","64"
"Black","Reading","68","53"
"Black","Redbridge","77","64"
"Black","Redcar and Cleveland","N/A","?"
"Black","Richmond upon Thames","77","47"
"Black","Rochdale","65","53"
"Black","Rotherham","92","40"
"Black","Rutland","?","?"
"Black","Salford","75","49"
"Black","Sandwell","74","57"
"Black","Sefton","80","25"
"Black","Sheffield","74","63"
"Black","Shropshire","?","?"
"Black","Slough","85","63"
"Black","Solihull","58","39"
"Black","Somerset","86","44"
"Black","South Gloucestershire","95","50"
"Black","South Tyneside","67","17"
"Black","Southampton","91","59"
"Black","Southend-on-Sea","77","59"
"Black","Southwark","79","61"
"Black","St. Helens","57","75"
"Black","Staffordshire","73","59"
"Black","Stockport","64","40"
"Black","Stockton-on-Tees","92","61"
"Black","Stoke-on-Trent","71","58"
"Black","Suffolk","77","46"
"Black","Sunderland","83","46"
"Black","Surrey","81","60"
"Black","Sutton","75","58"
"Black","Swindon","87","57"
"Black","Tameside","66","31"
"Black","Telford and Wrekin","85","55"
"Black","Thurrock","84","69"
