"Measure","Income bracket","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","7","570"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","White","ONS 5+2","K02000001","7","61,420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","White","ONS 5+2","K02000001","4","61,420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","White","ONS 5+2","K02000001","3","61,420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","White","ONS 5+2","K02000001","2","61,420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","White","ONS 5+2","K02000001","1","61,420"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2010/11-2012/13","White","ONS 5+2","K02000001","4","61,420"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2010/11-2012/13","White","ONS 5+2","K02000001","26","61,420"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2010/11-2012/13","White","ONS 5+2","K02000001","19","61,420"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2010/11-2012/13","White","ONS 5+2","K02000001","14","61,420"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2010/11-2012/13","White","ONS 5+2","K02000001","10","61,420"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","White","ONS 5+2","K02000001","9","61,420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","White British","ONS 5+2","K02000001","7","58,941"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","White British","ONS 5+2","K02000001","5","58,941"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","White British","ONS 5+2","K02000001","3","58,941"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","White British","ONS 5+2","K02000001","2","58,941"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","White British","ONS 5+2","K02000001","1","58,941"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2010/11-2012/13","White British","ONS 5+2","K02000001","4","58,941"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2010/11-2012/13","White British","ONS 5+2","K02000001","26","58,941"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2010/11-2012/13","White British","ONS 5+2","K02000001","19","58,941"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2010/11-2012/13","White British","ONS 5+2","K02000001","14","58,941"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2010/11-2012/13","White British","ONS 5+2","K02000001","10","58,941"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","White British","ONS 5+2","K02000001","9","58,941"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","White non-British","ONS 5+2","K02000001","7","2,479"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","White non-British","ONS 5+2","K02000001","4","2,479"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","White non-British","ONS 5+2","K02000001","4","2,479"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","White non-British","ONS 5+2","K02000001","3","2,479"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","White non-British","ONS 5+2","K02000001","2","2,479"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2010/11-2012/13","White non-British","ONS 5+2","K02000001","7","2,479"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2010/11-2012/13","White non-British","ONS 5+2","K02000001","21","2,479"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2010/11-2012/13","White non-British","ONS 5+2","K02000001","18","2,479"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2010/11-2012/13","White non-British","ONS 5+2","K02000001","15","2,479"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2010/11-2012/13","White non-British","ONS 5+2","K02000001","10","2,479"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","White non-British","ONS 5+2","K02000001","9","2,479"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","All","ONS 5+2","K02000001","7","61,106"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","All","ONS 5+2","K02000001","5","61,106"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","All","ONS 5+2","K02000001","3","61,106"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","All","ONS 5+2","K02000001","2","61,106"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","All","ONS 5+2","K02000001","1","61,106"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","All","ONS 5+2","K02000001","4","61,106"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","All","ONS 5+2","K02000001","25","61,106"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","All","ONS 5+2","K02000001","20","61,106"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","All","ONS 5+2","K02000001","14","61,106"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","All","ONS 5+2","K02000001","10","61,106"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","All","ONS 5+2","K02000001","9","61,106"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","11","359"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","7","359"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","3","359"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","2","359"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","Any other Asian background","ONS 5+3","K02000002","~","359"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","6","359"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","17","359"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","18","359"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","16","359"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","11","359"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","9","359"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","7","2,226"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","6","2,226"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","3","2,226"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","2","2,226"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","2","2,226"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","6","2,226"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","18","2,226"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","22","2,226"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","17","2,226"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","10","2,226"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","7","2,226"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","6","212"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","3","212"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","2","212"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","1","212"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","Bangladeshi","ONS 5+3","K02000002","1","212"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","1","212"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","25","212"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","30","212"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","17","212"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","9","212"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","5","212"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,322"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,322"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,322"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,322"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,322"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,322"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","28","1,322"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","21","1,322"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","15","1,322"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","9","1,322"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","12","1,322"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","Chinese","ONS 5+2","K02000001","9","187"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","Chinese","ONS 5+2","K02000001","5","187"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","Chinese","ONS 5+2","K02000001","3","187"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","Chinese","ONS 5+2","K02000001","2","187"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","187"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","Chinese","ONS 5+2","K02000001","3","187"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","Chinese","ONS 5+2","K02000001","18","187"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","Chinese","ONS 5+2","K02000001","19","187"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","Chinese","ONS 5+2","K02000001","17","187"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","Chinese","ONS 5+2","K02000001","9","187"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","Chinese","ONS 5+2","K02000001","14","187"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","Indian","ONS 5+2","K02000001","8","954"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","Indian","ONS 5+2","K02000001","8","954"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","Indian","ONS 5+2","K02000001","4","954"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","Indian","ONS 5+2","K02000001","3","954"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","Indian","ONS 5+2","K02000001","3","954"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","Indian","ONS 5+2","K02000001","8","954"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","Indian","ONS 5+2","K02000001","15","954"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","Indian","ONS 5+2","K02000001","18","954"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","Indian","ONS 5+2","K02000001","16","954"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","Indian","ONS 5+2","K02000001","11","954"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","Indian","ONS 5+2","K02000001","6","954"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","426"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","5","426"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","426"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","426"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","426"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","426"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","23","426"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","22","426"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","15","426"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","11","426"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","9","426"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","6","524"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","5","524"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","2","524"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","2","524"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","1","524"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","4","524"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","21","524"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","20","524"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","14","524"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","9","524"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","17","524"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","3","514"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","4","514"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","3","514"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","1","514"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","~","514"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","4","514"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","21","514"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","30","514"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","19","514"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","7","514"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","8","514"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","White","ONS 5+2","K02000001","7","56,608"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","White","ONS 5+2","K02000001","5","56,608"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","White","ONS 5+2","K02000001","3","56,608"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","White","ONS 5+2","K02000001","2","56,608"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","White","ONS 5+2","K02000001","1","56,608"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","White","ONS 5+2","K02000001","4","56,608"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","White","ONS 5+2","K02000001","25","56,608"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","White","ONS 5+2","K02000001","19","56,608"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","White","ONS 5+2","K02000001","14","56,608"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","White","ONS 5+2","K02000001","10","56,608"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","White","ONS 5+2","K02000001","8","56,608"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","White British","ONS 5+2","K02000001","7","54,352"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","White British","ONS 5+2","K02000001","5","54,352"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","White British","ONS 5+2","K02000001","3","54,352"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","White British","ONS 5+2","K02000001","2","54,352"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","White British","ONS 5+2","K02000001","1","54,352"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","White British","ONS 5+2","K02000001","4","54,352"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","White British","ONS 5+2","K02000001","26","54,352"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","White British","ONS 5+2","K02000001","19","54,352"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","White British","ONS 5+2","K02000001","14","54,352"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","White British","ONS 5+2","K02000001","10","54,352"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","White British","ONS 5+2","K02000001","8","54,352"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2011/12-2013/14","White non-British","ONS 5+2","K02000001","7","2,256"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2011/12-2013/14","White non-British","ONS 5+2","K02000001","4","2,256"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2011/12-2013/14","White non-British","ONS 5+2","K02000001","4","2,256"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2011/12-2013/14","White non-British","ONS 5+2","K02000001","3","2,256"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2011/12-2013/14","White non-British","ONS 5+2","K02000001","2","2,256"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2011/12-2013/14","White non-British","ONS 5+2","K02000001","7","2,256"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2011/12-2013/14","White non-British","ONS 5+2","K02000001","20","2,256"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2011/12-2013/14","White non-British","ONS 5+2","K02000001","19","2,256"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2011/12-2013/14","White non-British","ONS 5+2","K02000001","15","2,256"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2011/12-2013/14","White non-British","ONS 5+2","K02000001","11","2,256"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2011/12-2013/14","White non-British","ONS 5+2","K02000001","9","2,256"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2012/13-2014/15","All","ONS 5+2","K02000001","7","59,881"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2012/13-2014/15","All","ONS 5+2","K02000001","5","59,881"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2012/13-2014/15","All","ONS 5+2","K02000001","3","59,881"
