"Ethnicity","Local authority","%"
"Chinese","Harrow","90"
"Chinese","Hartlepool","100"
"Chinese","Havering","92"
"Chinese","Herefordshire, County of","100"
"Chinese","Hertfordshire","90"
"Chinese","Hillingdon","82"
"Chinese","Hounslow","100"
"Chinese","Isle of Wight","100"
"Chinese","Isles of Scilly","!"
"Chinese","Islington","92"
"Chinese","Kensington and Chelsea","88"
"Chinese","Kent","94"
"Chinese","Kingston upon Hull, City of","67"
"Chinese","Kingston upon Thames","100"
"Chinese","Kirklees","100"
"Chinese","Knowsley","86"
"Chinese","Lambeth","91"
"Chinese","Lancashire","82"
"Chinese","Leeds","83"
"Chinese","Leicester","88"
"Chinese","Leicestershire","79"
"Chinese","Lewisham","92"
"Chinese","Lincolnshire","83"
"Chinese","Liverpool","85"
"Chinese","Luton","82"
"Chinese","Manchester","91"
"Chinese","Medway","92"
"Chinese","Merton","93"
"Chinese","Middlesbrough","100"
"Chinese","Milton Keynes","88"
"Chinese","Newcastle upon Tyne","83"
"Chinese","Newham","92"
"Chinese","Norfolk","84"
"Chinese","North East Lincolnshire","100"
"Chinese","North Lincolnshire","100"
"Chinese","North Somerset","80"
"Chinese","North Tyneside","93"
"Chinese","North Yorkshire","93"
"Chinese","Northamptonshire","94"
"Chinese","Northumberland","100"
"Chinese","Nottingham","88"
"Chinese","Nottinghamshire","95"
"Chinese","Oldham","88"
"Chinese","Oxfordshire","91"
"Chinese","Peterborough","100"
"Chinese","Plymouth","69"
"Chinese","Portsmouth","81"
"Chinese","Reading","92"
"Chinese","Redbridge","83"
"Chinese","Redcar and Cleveland","100"
"Chinese","Richmond upon Thames","96"
"Chinese","Rochdale","94"
"Chinese","Rotherham","88"
"Chinese","Rutland","100"
"Chinese","Salford","100"
"Chinese","Sandwell","87"
"Chinese","Sefton","80"
"Chinese","Sheffield","80"
"Chinese","Shropshire","88"
"Chinese","Slough","100"
"Chinese","Solihull","100"
"Chinese","Somerset","100"
"Chinese","South Gloucestershire","95"
"Chinese","South Tyneside","67"
"Chinese","Southampton","100"
"Chinese","Southend-on-Sea","83"
"Chinese","Southwark","92"
"Chinese","St. Helens","62"
"Chinese","Staffordshire","100"
"Chinese","Stockport","86"
"Chinese","Stockton-on-Tees","78"
"Chinese","Stoke-on-Trent","81"
"Chinese","Suffolk","100"
"Chinese","Sunderland","89"
"Chinese","Surrey","97"
"Chinese","Sutton","96"
"Chinese","Swindon","100"
"Chinese","Tameside","81"
"Chinese","Telford and Wrekin","89"
"Chinese","Thurrock","92"
"Chinese","Torbay","100"
"Chinese","Tower Hamlets","90"
"Chinese","Trafford","91"
"Chinese","Wakefield","89"
"Chinese","Walsall","82"
"Chinese","Waltham Forest","92"
"Chinese","Wandsworth","88"
"Chinese","Warrington","64"
"Chinese","Warwickshire","93"
"Chinese","West Berkshire","86"
"Chinese","West Sussex","90"
"Chinese","Westminster","88"
"Chinese","Wigan","96"
"Chinese","Wiltshire","81"
"Chinese","Windsor and Maidenhead","100"
"Chinese","Wirral","95"
"Chinese","Wokingham","90"
"Chinese","Wolverhampton","72"
"Chinese","Worcestershire","76"
"Chinese","York","92"
"Mixed","Barking and Dagenham","81"
"Mixed","Barnet","86"
