"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,500","£","1,160"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK and overseas","UK and overseas","81,000","£","4,950"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK and overseas","UK and overseas","29,900","£","12,810"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,100","£","7,520"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK and overseas","UK and overseas","26,400","£","5,840"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,300","£","500"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK and overseas","UK and overseas","53,700","£","100"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK and overseas","UK and overseas","88,500","£","130"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK and overseas","UK and overseas","27,400","£","260"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK and overseas","UK and overseas","22,200","£","3,790"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK and overseas","UK and overseas","26,800","£","3,310"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,000","£","530"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,500","£","28,200"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK and overseas","UK and overseas","88,700","£","50"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK and overseas","UK and overseas","26,600","£","270"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,600","£","270"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK and overseas","UK and overseas","26,100","£","230"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,400","£","220"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,600","£","8,790"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK and overseas","UK and overseas","90,600","£","10"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK and overseas","UK and overseas","31,700","£","10"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,900","£","1,430"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK and overseas","UK and overseas","25,500","£","1,190"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,800","£","97,640"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,900","£","3,770"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK and overseas","UK and overseas","76,600","£","50"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK and overseas","UK and overseas","31,700","£","110"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,500","£","102,940"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK and overseas","UK and overseas","25,200","£","75,340"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,400","£","2,050"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK and overseas","UK and overseas","35,300","£","250"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK and overseas","UK and overseas","80,600","£","3,530"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK and overseas","UK and overseas","29,000","£","4,600"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,600","£","590"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK and overseas","UK and overseas","26,000","£","450"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,300","£","1,150"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,700","£","69,530"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK and overseas","UK and overseas","89,100","£","20"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK and overseas","UK and overseas","28,500","£","20"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK and overseas","UK and overseas","18,800","£","37,300"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK and overseas","UK and overseas","25,200","£","23,260"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK and overseas","UK and overseas","35,100","£","410"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,600","£","20,480"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK and overseas","UK and overseas","81,600","£","1,150"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK and overseas","UK and overseas","30,200","£","7,530"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,700","£","149,550"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK and overseas","UK and overseas","25,400","£","110,770"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,800","£","98,850"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,500","£","41,370"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK and overseas","UK and overseas","81,500","£","5,100"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK and overseas","UK and overseas","30,200","£","13,760"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK and overseas","UK and overseas","20,300","£","7,440"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK and overseas","UK and overseas","26,400","£","6,370"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,900","£","4,140"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,500","£","1,310"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK and overseas","UK and overseas","87,400","£","150"
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK and overseas","UK and overseas","29,300","£","360"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK and overseas","UK and overseas","22,300","£","3,700"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK and overseas","UK and overseas","27,100","£","3,490"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,300","£","2,110"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,800","£","560"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK and overseas","UK and overseas","85,700","£","50"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK and overseas","UK and overseas","27,700","£","320"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,600","£","280"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK and overseas","UK and overseas","26,400","£","230"
