"Measure","Ethnicity","Academic year","Tariff marker","Number","Value","Value_note"
"First year entrants to HE institutions by tariff","Unknown","2014/15","Other","735","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2014/15","Other","43235","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2014/15","Total","581560","78.8","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2014/15","Total","49940","6.8","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2014/15","Total","71105","9.6","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2014/15","Total","24995","3.4","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2014/15","Total","10490","1.4","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2014/15","Total","18420","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2014/15","Total","756505","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2015/16","High","193895","81.4","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2015/16","High","9035","3.8","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2015/16","High","23225","9.8","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2015/16","High","8820","3.7","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2015/16","High","3115","1.3","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2015/16","High","5635","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2015/16","High","243720","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2015/16","Low","159650","72.4","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2015/16","Low","25545","11.6","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2015/16","Low","22950","10.4","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2015/16","Low","8320","3.8","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2015/16","Low","4115","1.9","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2015/16","Low","3295","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2015/16","Low","223870","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2015/16","Medium","188965","77.1","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2015/16","Medium","16645","6.8","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2015/16","Medium","27270","11.1","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2015/16","Medium","8545","3.5","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2015/16","Medium","3560","1.5","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2015/16","Medium","5005","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2015/16","Medium","249990","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2015/16","Other","37175","87.9","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2015/16","Other","1820","4.3","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2015/16","Other","1830","4.3","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2015/16","Other","1155","2.7","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2015/16","Other","330","0.8","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2015/16","Other","740","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2015/16","Other","43050","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2015/16","Total","579685","77.7","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2015/16","Total","53045","7.1","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2015/16","Total","75275","10.1","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2015/16","Total","26835","3.6","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2015/16","Total","11115","1.5","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2015/16","Total","14680","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2015/16","Total","760635","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2016/17","High","207550","80.7","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2016/17","High","10500","4.1","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2016/17","High","25445","9.9","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2016/17","High","10260","4","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2016/17","High","3555","1.4","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2016/17","High","6430","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2016/17","High","263735","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2016/17","Low","159885","70.9","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2016/17","Low","28795","12.8","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2016/17","Low","23600","10.5","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2016/17","Low","8835","3.9","Tariff denom"
