"Ethnicity","Local Authority","Girls","Boys"
"Chinese","Sandwell","71","36"
"Chinese","Shropshire","-","-"
"Chinese","Solihull","73","64"
"Chinese","Staffordshire","73","71"
"Chinese","Stoke-on-Trent","-","-"
"Chinese","Telford and Wrekin","-","-"
"Chinese","Walsall","-","-"
"Chinese","Warwickshire","86","67"
"Chinese","Wolverhampton","-","-"
"Chinese","Worcestershire","-","-"
"Chinese","East of England","83","73"
"Chinese","Bedford","-","-"
"Chinese","Cambridgeshire","-","-"
"Chinese","Central Bedfordshire","-","-"
"Chinese","Essex","70","75"
"Chinese","Hertfordshire","88","83"
"Chinese","Luton","-","-"
"Chinese","Norfolk","-","-"
"Chinese","Peterborough","100","-"
"Chinese","Southend-on-Sea","-","-"
"Chinese","Suffolk","-","-"
"Chinese","Thurrock","100","-"
"Chinese","Inner London","84","81"
"Chinese","Camden","-","-"
"Chinese","City of London",".","."
"Chinese","Hackney","-","100"
"Chinese","Hammersmith and Fulham","-","-"
"Chinese","Haringey","-","-"
"Chinese","Islington","-","-"
"Chinese","Kensington and Chelsea","-","-"
"Chinese","Lambeth","-","-"
"Chinese","Lewisham","88","71"
"Chinese","Newham","-","-"
"Chinese","Southwark","82","87"
"Chinese","Tower Hamlets","71","75"
"Chinese","Wandsworth","-","-"
"Chinese","Westminster","100","-"
"Chinese","Outer London","89","77"
"Chinese","Barking and Dagenham","-","-"
"Chinese","Barnet","88","81"
"Chinese","Bexley","87","68"
"Chinese","Brent","100","100"
"Chinese","Bromley","91","88"
"Chinese","Croydon","84","50"
"Chinese","Ealing","100","-"
"Chinese","Enfield","-","-"
"Chinese","Greenwich","88","81"
"Chinese","Harrow","-","-"
"Chinese","Havering","-","-"
"Chinese","Hillingdon","100","100"
"Chinese","Hounslow","-","-"
"Chinese","Kingston upon Thames","-","-"
"Chinese","Merton","-","-"
"Chinese","Redbridge","67","71"
"Chinese","Richmond upon Thames","-","-"
"Chinese","Sutton","92","74"
"Chinese","Waltham Forest","82","60"
"Chinese","South East","91","74"
"Chinese","Bracknell Forest","100","100"
"Chinese","Brighton and Hove","100","-"
"Chinese","Buckinghamshire","100","50"
"Chinese","East Sussex","100","42"
"Chinese","Hampshire","88","79"
"Chinese","Isle of Wight","-","-"
"Chinese","Kent","-","-"
"Chinese","Medway","-","-"
"Chinese","Milton Keynes","-","-"
"Chinese","Oxfordshire","86","80"
"Chinese","Portsmouth","-","-"
"Chinese","Reading","100","100"
"Chinese","Slough","-","."
"Chinese","Southampton","100","57"
"Chinese","Surrey","-","-"
"Chinese","West Berkshire","-","-"
"Chinese","West Sussex","-","-"
"Chinese","Windsor and Maidenhead","-","-"
"Chinese","Wokingham","-","-"
"Chinese","South West","80","71"
"Chinese","Bath and North East Somerset","-","100"
"Chinese","Bournemouth","-","100"
"Chinese","Bristol, City of","69","72"
"Chinese","Cornwall","-","-"
"Chinese","Devon","-","-"
"Chinese","Dorset","-","-"
"Chinese","Gloucestershire","-","-"
"Chinese","Isles of Scilly",".","."
"Chinese","North Somerset","-","-"
"Chinese","Plymouth","-","-"
"Chinese","Poole","-","100"
"Chinese","Somerset","-","-"
"Chinese","South Gloucestershire","-","-"
"Chinese","Swindon","100","-"
"Chinese","Torbay","-","-"
"Chinese","Wiltshire","-","-"
"Mixed","North East","79","65"
"Mixed","County Durham","77","73"
"Mixed","Darlington","-","-"
"Mixed","Gateshead","78","52"
"Mixed","Hartlepool","-","-"
"Mixed","Middlesbrough","78","56"
"Mixed","Newcastle upon Tyne","76","63"
"Mixed","North Tyneside","75","59"
"Mixed","Northumberland","88","80"
"Mixed","Redcar and Cleveland","83","78"
"Mixed","South Tyneside","78","69"
"Mixed","Stockton-on-Tees","77","65"
"Mixed","Sunderland","84","71"
"Mixed","North West","76","60"
"Mixed","Blackburn with Darwen","67","54"
"Mixed","Blackpool","76","57"
"Mixed","Bolton","76","52"
"Mixed","Bury","77","72"
"Mixed","Cheshire East","70","70"
"Mixed","Cheshire West and Chester","86","60"
"Mixed","Cumbria","82","61"
"Mixed","Halton","76","60"
"Mixed","Knowsley","68","63"
"Mixed","Lancashire","75","60"
"Mixed","Liverpool","68","61"
"Mixed","Manchester","78","58"
"Mixed","Oldham","75","48"
"Mixed","Rochdale","72","61"
"Mixed","Salford","79","63"
"Mixed","Sefton","78","54"
"Mixed","St. Helens","81","70"
"Mixed","Stockport","68","64"
"Mixed","Tameside","75","60"
"Mixed","Trafford","90","64"
"Mixed","Warrington","79","59"
"Mixed","Wigan","71","60"
"Mixed","Wirral","76","54"
"Mixed","Yorkshire and the Humber","76","59"
"Mixed","Barnsley","80","48"
"Mixed","Bradford","72","53"
"Mixed","Calderdale","77","70"
"Mixed","Doncaster","76","70"
"Mixed","East Riding of Yorkshire","74","72"
"Mixed","Kingston Upon Hull, City of","73","56"
"Mixed","Kirklees","73","61"
"Mixed","Leeds","76","56"
"Mixed","North East Lincolnshire","83","60"
"Mixed","North Lincolnshire","75","75"
"Mixed","North Yorkshire","85","65"
"Mixed","Rotherham","79","63"
"Mixed","Sheffield","76","60"
"Mixed","Wakefield","83","59"
"Mixed","York","86","58"
"Mixed","East Midlands","78","63"
"Mixed","Derby","84","65"
"Mixed","Derbyshire","76","61"
"Mixed","Leicester","76","62"
"Mixed","Leicestershire","81","62"
"Mixed","Lincolnshire","74","66"
"Mixed","Northamptonshire","79","64"
"Mixed","Nottingham","74","60"
"Mixed","Nottinghamshire","78","63"
"Mixed","Rutland","100","50"
"Mixed","West Midlands","77","59"
