"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Type_of_role","Value","Value_type","Pay_per_pound_paid_to_White_staff_by_gender","Pay_per_pound_paid_to_male_staff_by_ethnicity"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Mixed","ONS 2011 5+1","England","Country","Women","All","2412","GBP","1","0.77"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Other","ONS 2011 5+1","England","Country","Women","All","2605","GBP","1.08","0.7"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Unknown","ONS 2011 5+1","England","Country","Women","All","2523","GBP","1.04","0.73"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","White","ONS 2011 5+1","England","Country","Women","All","2420","GBP","N/A","0.79"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","All","ONS 2011 5+1","England","Country","All","Medical","5400","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Asian","ONS 2011 5+1","England","Country","All","Medical","5317","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Black","ONS 2011 5+1","England","Country","All","Medical","4842","GBP","0.87","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Mixed","ONS 2011 5+1","England","Country","All","Medical","4681","GBP","0.84","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Other","ONS 2011 5+1","England","Country","All","Medical","5303","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Unknown","ONS 2011 5+1","England","Country","All","Medical","4962","GBP","0.89","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","White","ONS 2011 5+1","England","Country","All","Medical","5591","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","All","ONS 2011 5+1","England","Country","Men","Medical","5790","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Asian","ONS 2011 5+1","England","Country","Men","Medical","5680","GBP","0.94","N/A"
