"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size","Standard error","Lower CI","Upper CI"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","North East","ONS geography code","E12000001","All","16+","All","All","85.2","%","190","2.574169884","79.17328848","91.28218362"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Cleveland","ONS geography code","E23000013","All","16+","All","All","76.8","%","76","4.841070426","65.42549425","88.19788954"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Durham","ONS geography code","E23000008","All","16+","All","All","?","%","22","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Northumbria","ONS geography code","E23000007","All","16+","All","All","90.5","%","92","3.056658444","83.31295165","97.69147297"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","North West","ONS geography code","E12000002","All","16+","All","All","74.4","%","693","1.656982407","70.54261467","78.33705991"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Cheshire","ONS geography code","E23000006","All","16+","All","All","?","%","38","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Cumbria","ONS geography code","E23000002","All","16+","All","All","?","%","18","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Greater Manchester","ONS geography code","E23000005","All","16+","All","All","73.5","%","435","2.116877789","68.48789627","78.44568939"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Lancashire","ONS geography code","E23000003","All","16+","All","All","74.4","%","121","3.967322556","65.0717785","83.7340638"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Merseyside","ONS geography code","E23000004","All","16+","All","All","76.1","%","81","4.74164797","64.90256169","87.20727374"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Yorkshire and the Humber","ONS geography code","E12000003","All","16+","All","All","75.4","%","539","1.854911961","71.04322218","79.76872805"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Humberside","ONS geography code","E23000012","All","16+","All","All","?","%","34","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","North Yorkshire","ONS geography code","E23000009","All","16+","All","All","?","%","30","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","South Yorkshire","ONS geography code","E23000011","All","16+","All","All","77.3","%","91","4.390548277","66.98278434","87.63592344"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","West Yorkshire","ONS geography code","E23000010","All","16+","All","All","74.7","%","384","2.219001194","69.46282445","79.90100606"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","East Midlands","ONS geography code","E12000004","All","16+","All","All","73.5","%","552","1.879514893","69.03184183","77.87307988"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Derbyshire","ONS geography code","E23000018","All","16+","All","All","75.8","%","73","5.015531439","63.96476739","87.55782728"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Leicestershire","ONS geography code","E23000021","All","16+","All","All","74.6","%","228","2.882492706","67.82935442","81.38860011"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Lincolnshire","ONS geography code","E23000020","All","16+","All","All","?","%","40","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Northamptonshire","ONS geography code","E23000022","All","16+","All","All","70.7","%","85","4.936330505","59.09662143","82.31712012"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Nottinghamshire","ONS geography code","E23000019","All","16+","All","All","70.0","%","126","4.081938994","60.41326286","79.61470389"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","West Midlands Region","ONS geography code","E12000005","All","16+","All","All","68.6","%","858","1.583801375","64.92348648","72.37368815"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Staffordshire","ONS geography code","E23000015","All","16+","All","All","74.2","%","59","5.694409935","60.83169436","87.61819869"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Warwickshire","ONS geography code","E23000017","All","16+","All","All","76.2","%","76","4.883090138","64.74115612","87.71121213"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","West Mercia","ONS geography code","E23000016","All","16+","All","All","?","%","48","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","West Midlands","ONS geography code","E23000014","All","16+","All","All","67.3","%","675","1.805528625","63.06075951","71.55396616"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","East","ONS geography code","E12000006","All","16+","All","All","78.1","%","779","1.481999423","74.60463705","81.57596233"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Bedfordshire","ONS geography code","E23000026","All","16+","All","All","70.2","%","220","3.082554848","62.98663495","77.48697295"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Cambridgeshire","ONS geography code","E23000023","All","16+","All","All","85.5","%","141","2.965356429","78.52392159","92.47295824"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Essex","ONS geography code","E23000028","All","16+","All","All","73.9","%","139","3.725834767","65.12037876","82.6467055"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Hertfordshire","ONS geography code","E23000027","All","16+","All","All","81.4","%","188","2.837226191","74.73747497","88.08378697"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Norfolk","ONS geography code","E23000024","All","16+","All","All","?","%","38","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Suffolk","ONS geography code","E23000025","All","16+","All","All","82.5","%","53","5.217760955","70.24049211","94.78483964"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","London","ONS geography code","E12000007","All","16+","All","All","75.5","%","3202","0.7600140419","73.71649483","77.29160088"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","City of London / Metropolitan Police","ONS geography code","E12000007","All","16+","All","All","75.5","%","3202","0.7600140419","73.71649483","77.29160088"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","South East","ONS geography code","E12000008","All","16+","All","All","79.6","%","903","1.340685336","76.4594458","82.76602962"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Hampshire","ONS geography code","E23000030","All","16+","All","All","84.6","%","143","3.018117763","77.50497093","91.70219688"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Kent","ONS geography code","E23000032","All","16+","All","All","66.0","%","103","4.667827201","55.01417792","76.97163707"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Surrey","ONS geography code","E23000031","All","16+","All","All","83.2","%","160","2.957061515","76.22519552","90.13521289"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Sussex","ONS geography code","E23000033","All","16+","All","All","83.7","%","121","3.36132273","75.75249109","91.56415321"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Thames Valley","ONS geography code","E23000029","All","16+","All","All","79.7","%","376","2.072601658","74.87125256","84.62077076"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","South West","ONS geography code","E12000009","All","16+","All","All","84.9","%","319","2.004727792","80.18416686","89.61440639"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Avon and Somerset","ONS geography code","E23000036","All","16+","All","All","83.1","%","99","3.763873791","74.27578798","91.98105029"
