"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","Up to £99","All","20.12878912","8","40","51"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£100 to £199","All","20.75784927","65","311","383"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£200 to £299","All","28.41383464","122","430","520"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£300 to £399","All","30.62898287","137","447","553"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£400 to £499","All","33.21551424","120","362","441"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£500 to £599","All","30.96191791","134","432","496"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£600 to £699","All","38.25188538","143","373","425"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£700 to £799","All","45.96523683","128","279","321"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£800 to £899","All","38.37905181","108","281","277"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£900 to £999","All","56.25266565","107","190","214"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£1000 and above","All","59.82289642","668","1117","1070"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All Income","All","40.814879","1740","4264","4751"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","Up to £99","All","20.78508778","46","219","289"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£100 to £199","All","36.55601637","663","1812","2408"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£200 to £299","All","46.29875267","1129","2439","3170"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£300 to £399","All","51.88514189","1284","2475","3071"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£400 to £499","All","58.37351295","1243","2130","2536"
