"Ethnicity","Geography","boys","Girls "
"Mixed","Isle of Wight","77","95"
"Mixed","Isles of Scilly","!","!"
"Mixed","Islington","80","87"
"Mixed","Kensington and Chelsea","82","89"
"Mixed","Kent","85","90"
"Mixed","Kingston upon Hull, City of","76","90"
"Mixed","Kingston upon Thames","86","90"
"Mixed","Kirklees","78","84"
"Mixed","Knowsley","76","87"
"Mixed","Lambeth","81","90"
"Mixed","Lancashire","77","87"
"Mixed","Leeds","76","86"
"Mixed","Leicester","78","89"
"Mixed","Leicestershire","84","87"
"Mixed","Lewisham","84","84"
"Mixed","Lincolnshire","84","91"
"Mixed","Liverpool","75","82"
"Mixed","Luton","78","86"
"Mixed","Manchester","82","85"
"Mixed","Medway","77","89"
"Mixed","Merton","83","84"
"Mixed","Middlesbrough","72","94"
"Mixed","Milton Keynes","81","90"
"Mixed","Newcastle upon Tyne","84","85"
"Mixed","Newham","90","95"
"Mixed","Norfolk","82","91"
"Mixed","North East Lincolnshire","71","81"
"Mixed","North Lincolnshire","89","91"
"Mixed","North Somerset","83","88"
"Mixed","North Tyneside","94","88"
"Mixed","North Yorkshire","82","82"
"Mixed","Northamptonshire","80","85"
"Mixed","Northumberland","78","81"
"Mixed","Nottingham","78","84"
"Mixed","Nottinghamshire","79","83"
"Mixed","Oldham","68","85"
"Mixed","Oxfordshire","74","89"
"Mixed","Peterborough","77","88"
"Mixed","Plymouth","79","88"
"Mixed","Poole","86","100"
"Mixed","Portsmouth","80","81"
"Mixed","Reading","81","84"
"Mixed","Redbridge","86","87"
"Mixed","Redcar and Cleveland","78","80"
"Mixed","Richmond upon Thames","86","89"
"Mixed","Rochdale","77","87"
"Mixed","Rotherham","85","87"
"Mixed","Rutland","67","100"
"Mixed","Salford","86","92"
"Mixed","Sandwell","74","88"
"Mixed","Sefton","86","85"
"Mixed","Sheffield","76","86"
"Mixed","Shropshire","83","85"
"Mixed","Slough","81","91"
"Mixed","Solihull","84","84"
"Mixed","Somerset","78","82"
"Mixed","South Gloucestershire","78","87"
"Mixed","South Tyneside","84","91"
"Mixed","Southampton","81","89"
"Mixed","Southend-on-Sea","80","87"
"Mixed","Southwark","81","85"
"Mixed","St. Helens","81","89"
"Mixed","Staffordshire","76","88"
"Mixed","Stockport","84","87"
"Mixed","Stockton-on-Tees","90","89"
"Mixed","Stoke-on-Trent","81","87"
"Mixed","Suffolk","80","88"
"Mixed","Sunderland","79","87"
"Mixed","Surrey","83","91"
"Mixed","Sutton","87","91"
"Mixed","Swindon","81","86"
"Mixed","Tameside","77","78"
"Mixed","Telford and Wrekin","83","90"
"Mixed","Thurrock","87","90"
"Mixed","Torbay","93","94"
"Mixed","Tower Hamlets","79","87"
"Mixed","Trafford","76","84"
"Mixed","Wakefield","84","87"
"Mixed","Walsall","83","89"
"Mixed","Waltham Forest","81","95"
"Mixed","Wandsworth","88","88"
"Mixed","Warrington","85","87"
"Mixed","Warwickshire","80","90"
"Mixed","West Berkshire","80","88"
"Mixed","West Sussex","79","86"
"Mixed","Westminster","84","93"
"Mixed","Wigan","81","88"
"Mixed","Wiltshire","76","84"
"Mixed","Windsor and Maidenhead","92","88"
"Mixed","Wirral","86","86"
"Mixed","Wokingham","92","87"
"Mixed","Wolverhampton","78","91"
"Mixed","Worcestershire","89","85"
"Mixed","York","89","91"
"White","Barking and Dagenham","73","81"
"White","Barnet","85","88"
"White","Barnsley","74","86"
"White","Bath and North East Somerset","80","83"
"White","Bedford","79","81"
"White","Bexley","84","87"
"White","Birmingham","75","84"
"White","Blackburn with Darwen","77","81"
"White","Blackpool","77","84"
"White","Bolton","77","86"
"White","Bournemouth","77","89"
"White","Bracknell Forest","80","89"
"White","Bradford","76","83"
"White","Brent","81","87"
"White","Brighton and Hove","79","88"
"White","Bristol, City of","80","86"
"White","Bromley","84","91"
"White","Buckinghamshire","81","88"
"White","Bury","78","87"
"White","Calderdale","81","83"
"White","Cambridgeshire","76","85"
"White","Camden","82","85"
"White","Central Bedfordshire","80","87"
"White","Cheshire East","82","87"
"White","Cheshire West and Chester","76","84"
"White","City of London","!","!"
"White","Cornwall","78","85"
"White","County Durham","80","88"
"White","Coventry","76","83"
"White","Croydon","79","87"
"White","Cumbria","78","86"
"White","Darlington","83","89"
"White","Derby","79","84"
"White","Derbyshire","77","85"
"White","Devon","80","88"
"White","Doncaster","75","83"
"White","Dorset","78","86"
"White","Dudley","78","83"
"White","Ealing","82","91"
"White","East Riding of Yorkshire","79","86"
"White","East Sussex","79","87"
"White","Enfield","77","83"
"White","Essex","81","86"
"White","Gateshead","80","87"
"White","Gloucestershire","78","85"
"White","Greenwich","76","84"
"White","Hackney","82","89"
"White","Halton","75","83"
"White","Hammersmith and Fulham","89","89"
"White","Hampshire","81","88"
"White","Haringey","87","88"
"White","Harrow","80","86"
"White","Hartlepool","76","88"
