"Ethnicity","Local Authority","Rate","Number"
"White","West Sussex","4.63","4,537"
"White","Westminster","3.28","197"
"White","Wigan","5.12","2,242"
"White","Wiltshire","5.32","3,315"
"White","Windsor and Maidenhead","3.90","617"
"White","Wirral","4.73","2,191"
"White","Wokingham","2.44","477"
"White","Wolverhampton","6.52","1,495"
"White","Worcestershire","3.59","2,592"
"White","York","5.63","1,315"
"Other","Barking and Dagenham","2.22","17"
"Other","Barnet","3.03","187"
"Other","Barnsley","5.51","7"
"Other","Bath and North East Somerset","4.67","7"
"Other","Bedford","0.52","2"
"Other","Bexley","2.39","14"
"Other","Birmingham","2.89","303"
"Other","Blackburn with Darwen","1.21","4"
"Other","Blackpool","0.00","0"
"Other","Bolton","3.89","37"
"Other","Bournemouth","6.25","21"
"Other","Bracknell Forest","1.82","2"
"Other","Bradford","2.47","35"
"Other","Brent","4.34","232"
"Other","Brighton and Hove","1.94","16"
"Other","Bristol City of","3.39","22"
"Other","Bromley","2.38","16"
"Other","Buckinghamshire","3.45","20"
"Other","Bury","4.36","18"
"Other","Calderdale","6.08","11"
"Other","Cambridgeshire","1.30","10"
"Other","Camden","3.28","49"
"Other","Central Bedfordshire","0.83","2"
"Other","Cheshire East","1.14","3"
"Other","Cheshire West and Chester","0.97","2"
"Other","City of London","0.00","0"
"Other","Cornwall","0.81","2"
"Other","Coventry","1.69","17"
"Other","Croydon","2.76","35"
"Other","Cumbria","4.13","10"
"Other","Darlington","3.97","5"
"Other","Derby","4.85","41"
"Other","Derbyshire","9.30","24"
"Other","Devon","3.02","22"
"Other","Doncaster","12.58","62"
"Other","Dorset","5.77","9"
"Other","Dudley","4.28","38"
"Other","Durham","1.45","5"
"Other","Ealing","3.91","318"
"Other","East Riding of Yorkshire","6.22","15"
"Other","East Sussex","4.13","15"
"Other","Enfield","3.90","130"
"Other","Essex","1.76","29"
"Other","Gateshead","1.06","7"
"Other","Gloucestershire","3.94","13"
"Other","Greenwich","1.15","13"
"Other","Hackney","4.85","101"
"Other","Halton","0.00","0"
"Other","Hammersmith and Fulham","5.32","120"
"Other","Hampshire","1.71","16"
"Other","Haringey","2.80","74"
"Other","Harrow","3.72","69"
"Other","Hartlepool","1.18","1"
"Other","Havering","4.70","17"
"Other","Herefordshire","0.78","1"
"Other","Hertfordshire","4.14","80"
"Other","Hillingdon","2.13","88"
"Other","Hounslow","3.69","176"
"Other","Isle of Wight","1.67","1"
"Other","Isles Of Scilly","0.00","0"
"Other","Islington","4.22","69"
"Other","Kensington and Chelsea","6.48","139"
"Other","Kent","3.31","73"
"Other","Kingston upon Hull City of","2.36","28"
"Other","Kingston upon Thames","1.35","21"
"Other","Kirklees","5.66","41"
"Other","Knowsley","5.79","7"
"Other","Lambeth","1.75","34"
"Other","Lancashire","1.10","10"
"Other","Leeds","1.61","38"
"Other","Leicester","3.09","42"
"Other","Leicestershire","1.49","6"
"Other","Lewisham","1.14","15"
"Other","Lincolnshire","0.82","4"
"Other","Liverpool","1.86","60"
"Other","Luton","3.46","24"
"Other","Manchester","4.79","306"
"Other","Medway","2.59","12"
"Other","Merton","3.35","31"
"Other","Middlesbrough","2.31","19"
"Other","Milton Keynes","4.71","21"
"Other","Newcastle upon Tyne","1.69","21"
"Other","Newham","4.05","137"
"Other","Norfolk","1.73","15"
"Other","North East Lincolnshire","3.96","8"
"Other","North Lincolnshire","4.21","8"
"Other","North Somerset","7.14","5"
"Other","North Tyneside","1.65","3"
"Other","North Yorkshire","4.39","14"
"Other","Northamptonshire","2.57","20"
"Other","Northumberland","0.76","1"
"Other","Nottingham","3.02","44"
"Other","Nottinghamshire","1.64","12"
"Other","Oldham","4.21","20"
"Other","Oxfordshire","1.99","27"
"Other","Peterborough","2.59","13"
"Other","Plymouth","2.95","17"
"Other","Poole","0.00","0"
"Other","Portsmouth","0.96","5"
"Other","Reading","2.02","8"
"Other","Redbridge","3.74","32"
"Other","Redcar and Cleveland","9.26","10"
"Other","Richmond upon Thames","0.94","6"
"Other","Rochdale","1.18","5"
"Other","Rotherham","1.16","4"
"Other","Rutland","0.00","0"
"Other","Salford","2.16","25"
"Other","Sandwell","2.00","31"
"Other","Sefton","1.27","4"
"Other","Sheffield","6.05","171"
"Other","Shropshire","0.00","0"
"Other","Slough","2.71","33"
"Other","Solihull","2.24","7"
"Other","Somerset","7.51","19"
"Other","South Gloucestershire","4.23","11"
"Other","South Tyneside","0.74","1"
"Other","Southampton","0.76","4"
"Other","Southend-on-Sea","4.19","9"
"Other","Southwark","3.26","101"
"Other","St. Helens","0.00","0"
"Other","Staffordshire","0.50","3"
"Other","Stockport","2.53","11"
"Other","Stockton-on-Tees","9.32","15"
"Other","Stoke-on-Trent","5.42","43"
"Other","Suffolk","1.99","18"
"Other","Sunderland","4.38","6"
"Other","Surrey","2.77","44"
"Other","Sutton","1.39","11"
"Other","Swindon","2.96","11"
"Other","Tameside","3.85","13"
"Other","Telford and Wrekin","0.00","0"
"Other","Thurrock","0.63","2"
"Other","Torbay","2.86","3"
"Other","Tower Hamlets","2.40","29"
"Other","Trafford","1.75","17"
"Other","Wakefield","2.71","10"
"Other","Walsall","4.32","29"
"Other","Waltham Forest","4.56","73"
"Other","Wandsworth","1.76","26"
"Other","Warrington","0.36","1"
"Other","Warwickshire","0.90","5"
"Other","West Berkshire","4.23","8"
"Other","West Sussex","2.79","19"
"Other","Westminster","7.03","392"
"Other","Wigan","3.50","18"
"Other","Wiltshire","8.24","46"
"Other","Windsor and Maidenhead","1.72","6"
"Other","Wirral","0.96","2"
"Other","Wokingham","1.95","5"
"Other","Wolverhampton","4.16","27"
"Other","Worcestershire","1.21","4"
"Other","York","2.35","4"
