"Ethnicity","Geography","All","Boys","Girls"
"Chinese","Dudley","75.0","100.0","50.0"
"Chinese","Ealing","90.9","100.0","66.7"
"Chinese","East Riding of Yorkshire","66.7","66.7","N/A"
"Chinese","East Sussex","66.7","100.0","55.6"
"Chinese","Enfield","82.4","62.5","100.0"
"Chinese","Essex","80.5","70.0","90.5"
"Chinese","Gateshead","80.0","100.0","75.0"
"Chinese","Gloucestershire","60.0","50.0","71.4"
"Chinese","Greenwich","62.5","50.0","83.3"
"Chinese","Hackney","44.4","0.0","80.0"
"Chinese","Halton","0.0","N/A","0.0"
"Chinese","Hammersmith and Fulham","83.3","85.7","80.0"
"Chinese","Hampshire","64.9","72.2","57.9"
"Chinese","Haringey","77.8","80.0","75.0"
"Chinese","Harrow","62.5","50.0","75.0"
"Chinese","Hartlepool","0.0","N/A","0.0"
"Chinese","Havering","85.7","100.0","80.0"
"Chinese","Herefordshire, County of","50.0","50.0","N/A"
"Chinese","Hertfordshire","81.5","78.6","83.8"
"Chinese","Hillingdon","50.0","66.7","0.0"
"Chinese","Hounslow","100.0","N/A","100.0"
"Chinese","Isle of Wight","N/A","N/A","N/A"
"Chinese","Isles of Scilly","N/A","N/A","N/A"
"Chinese","Islington","77.8","60.0","100.0"
"Chinese","Kensington and Chelsea","100.0","N/A","100.0"
"Chinese","Kent","77.2","66.7","86.7"
"Chinese","Kingston upon Hull, City of","100.0","100.0","100.0"
"Chinese","Kingston upon Thames","91.7","100.0","88.9"
"Chinese","Kirklees","73.3","57.1","87.5"
"Chinese","Knowsley","0.0","0.0","N/A"
"Chinese","Lambeth","68.8","87.5","50.0"
"Chinese","Lancashire","86.1","76.9","91.3"
"Chinese","Leeds","65.8","64.7","66.7"
"Chinese","Leicester","71.4","100.0","50.0"
"Chinese","Leicestershire","66.7","50.0","75.0"
"Chinese","Lewisham","80.0","80.0","80.0"
"Chinese","Lincolnshire","68.0","70.6","62.5"
"Chinese","Liverpool","72.7","70.8","75.0"
"Chinese","Luton","62.5","33.3","80.0"
"Chinese","Manchester","62.2","60.0","65.0"
"Chinese","Medway","71.4","75.0","66.7"
"Chinese","Merton","90.0","83.3","100.0"
"Chinese","Middlesbrough","100.0","100.0","N/A"
"Chinese","Milton Keynes","63.6","75.0","57.1"
"Chinese","Newcastle upon Tyne","75.0","40.0","90.9"
"Chinese","Newham","66.7","50.0","80.0"
"Chinese","Norfolk","66.7","42.9","81.8"
"Chinese","North East Lincolnshire","50.0","N/A","50.0"
"Chinese","North Lincolnshire","33.3","0.0","100.0"
"Chinese","North Somerset","75.0","75.0","N/A"
"Chinese","North Tyneside","20.0","0.0","50.0"
"Chinese","North Yorkshire","80.0","50.0","100.0"
"Chinese","Northamptonshire","64.3","70.0","61.1"
"Chinese","Northumberland","66.7","66.7","N/A"
"Chinese","Nottingham","54.5","28.6","100.0"
"Chinese","Nottinghamshire","75.0","64.3","90.0"
"Chinese","Oldham","100.0","100.0","100.0"
"Chinese","Oxfordshire","76.0","50.0","88.2"
"Chinese","Peterborough","71.4","66.7","100.0"
"Chinese","Plymouth","61.5","66.7","50.0"
"Chinese","Poole","57.1","50.0","60.0"
"Chinese","Portsmouth","60.0","50.0","66.7"
"Chinese","Reading","90.0","91.7","87.5"
"Chinese","Redbridge","87.5","90.0","85.7"
"Chinese","Redcar and Cleveland","33.3","33.3","N/A"
"Chinese","Richmond upon Thames","50.0","66.7","33.3"
"Chinese","Rochdale","62.5","50.0","75.0"
"Chinese","Rotherham","87.5","100.0","80.0"
"Chinese","Rutland","N/A","N/A","N/A"
"Chinese","Salford","80.0","0.0","100.0"
"Chinese","Sandwell","50.0","50.0","N/A"
"Chinese","Sefton","100.0","100.0","100.0"
"Chinese","Sheffield","78.9","70.0","88.9"
"Chinese","Shropshire","63.6","62.5","66.7"
"Chinese","Slough","83.3","75.0","100.0"
"Chinese","Solihull","100.0","100.0","100.0"
"Chinese","Somerset","55.6","50.0","60.0"
"Chinese","South Gloucestershire","60.0","0.0","100.0"
"Chinese","South Tyneside","100.0","100.0","N/A"
"Chinese","Southampton","83.3","100.0","50.0"
"Chinese","Southend-on-Sea","92.3","80.0","100.0"
"Chinese","Southwark","80.0","73.3","86.7"
"Chinese","St. Helens","100.0","100.0","100.0"
"Chinese","Staffordshire","89.5","80.0","100.0"
"Chinese","Stockport","68.8","54.5","100.0"
"Chinese","Stockton-on-Tees","60.0","50.0","66.7"
"Chinese","Stoke-on-Trent","80.0","66.7","100.0"
"Chinese","Suffolk","83.3","75.0","100.0"
"Chinese","Sunderland","50.0","33.3","100.0"
"Chinese","Surrey","77.4","76.9","77.8"
"Chinese","Sutton","95.0","100.0","90.5"
"Chinese","Swindon","50.0","100.0","0.0"
"Chinese","Tameside","85.7","50.0","100.0"
"Chinese","Telford and Wrekin","63.6","100.0","33.3"
"Chinese","Thurrock","83.3","100.0","71.4"
"Chinese","Torbay","85.7","100.0","80.0"
"Chinese","Tower Hamlets","100.0","100.0","100.0"
"Chinese","Trafford","90.2","88.9","91.3"
"Chinese","Wakefield","100.0","100.0","100.0"
"Chinese","Walsall","75.0","50.0","100.0"
"Chinese","Waltham Forest","92.3","100.0","83.3"
"Chinese","Wandsworth","85.7","100.0","75.0"
"Chinese","Warrington","70.0","66.7","71.4"
"Chinese","Warwickshire","88.9","88.9","88.9"
"Chinese","West Berkshire","66.7","66.7","N/A"
"Chinese","West Sussex","50.0","62.5","42.9"
"Chinese","Westminster","93.3","80.0","100.0"
"Chinese","Wigan","75.0","71.4","100.0"
"Chinese","Wiltshire","75.0","100.0","62.5"
"Chinese","Windsor and Maidenhead","60.0","N/A","60.0"
"Chinese","Wirral","68.8","77.8","57.1"
"Chinese","Wokingham","71.4","55.6","100.0"
"Chinese","Wolverhampton","57.1","60.0","50.0"
"Chinese","Worcestershire","69.2","33.3","80.0"
"Chinese","York","100.0","100.0","100.0"
"Mixed","Barking and Dagenham","30.7","19.3","40.0"
"Mixed","Barnet","58.9","55.8","62.2"
"Mixed","Barnsley","42.9","37.5","47.4"
"Mixed","Bath and North East Somerset","48.9","48.9","49.0"
"Mixed","Bedford","30.9","26.4","36.9"
"Mixed","Bexley","44.3","40.4","48.0"
"Mixed","Birmingham","37.5","36.4","38.6"
"Mixed","Blackburn with Darwen","44.4","38.1","50.0"
"Mixed","Blackpool","39.1","27.3","50.0"
"Mixed","Bolton","32.1","27.8","36.4"
"Mixed","Bournemouth","55.4","56.1","54.5"
"Mixed","Bracknell Forest","58.5","58.3","58.8"
"Mixed","Bradford","27.5","29.2","25.4"
"Mixed","Brent","51.7","46.4","58.0"
"Mixed","Brighton and Hove","47.1","39.2","55.3"
"Mixed","Bristol, City of","39.9","36.6","43.2"
"Mixed","Bromley","49.1","46.8","51.0"
"Mixed","Buckinghamshire","59.6","66.7","52.2"
"Mixed","Bury","30.9","28.3","34.1"
"Mixed","Calderdale","42.5","47.5","36.4"
"Mixed","Cambridgeshire","54.6","55.1","54.1"
"Mixed","Camden","40.9","29.4","47.8"
"Mixed","Central Bedfordshire","32.5","31.5","33.3"
"Mixed","Cheshire East","41.2","32.0","54.3"
"Mixed","Cheshire West and Chester","39.0","34.5","43.3"
"Mixed","City of London","N/A","N/A","N/A"
"Mixed","Cornwall","42.7","37.8","48.6"
"Mixed","County Durham","42.9","52.4","35.7"
"Mixed","Coventry","32.8","28.0","38.0"
"Mixed","Croydon","41.3","38.2","44.0"
