"Ethnicity","Geography","%","Pupils"
"Black","Reading","33.3","87"
"Black","Redbridge","42.2","507"
"Black","Redcar and Cleveland","50.0","2"
"Black","Richmond upon Thames","27.4","62"
"Black","Rochdale","28.8","66"
"Black","Rotherham","39.3","28"
"Black","Rutland","25.0","4"
"Black","Salford","33.3","90"
"Black","Sandwell","21.4","318"
"Black","Sefton","50.0","14"
"Black","Sheffield","30.0","230"
"Black","Shropshire","62.5","8"
"Black","Slough","48.9","139"
"Black","Solihull","36.4","88"
"Black","Somerset","40.0","10"
"Black","South Gloucestershire","46.2","39"
"Black","South Tyneside","42.9","7"
"Black","Southampton","33.3","48"
"Black","Southend-on-Sea","78.2","133"
"Black","Southwark","44.8","1,064"
"Black","St. Helens","16.7","6"
"Black","Staffordshire","37.2","43"
"Black","Stockport","25.9","27"
"Black","Stockton-on-Tees","66.7","15"
"Black","Stoke-on-Trent","39.4","66"
"Black","Suffolk","40.0","55"
"Black","Sunderland","35.7","14"
"Black","Surrey","31.3","195"
"Black","Sutton","53.1","224"
"Black","Swindon","27.5","40"
"Black","Tameside","31.0","42"
"Black","Telford and Wrekin","43.1","51"
"Black","Thurrock","51.9","162"
"Black","Torbay","66.7","3"
"Black","Tower Hamlets","41.7","302"
"Black","Trafford","50.5","95"
"Black","Wakefield","37.0","46"
"Black","Walsall","30.6","160"
"Black","Waltham Forest","31.5","546"
"Black","Wandsworth","42.7","475"
"Black","Warrington","28.6","14"
"Black","Warwickshire","53.7","41"
"Black","West Berkshire","51.7","29"
"Black","West Sussex","33.0","115"
"Black","Westminster","45.0","353"
"Black","Wigan","34.4","32"
"Black","Wiltshire","35.6","45"
"Black","Windsor and Maidenhead","35.5","31"
"Black","Wirral","33.3","6"
"Black","Wokingham","40.4","57"
"Black","Wolverhampton","27.4","266"
"Black","Worcestershire","33.3","24"
"Black","York","54.5","11"
"Chinese","All - England","75.9","1,856"
"Chinese","Barking and Dagenham","100.0","2"
"Chinese","Barnet","84.1","44"
"Chinese","Barnsley","N/A","0"
"Chinese","Bath and North East Somerset","100.0","5"
"Chinese","Bedford","100.0","1"
"Chinese","Bexley","78.8","33"
"Chinese","Birmingham","92.9","42"
"Chinese","Blackburn with Darwen","66.7","3"
"Chinese","Blackpool","66.7","3"
"Chinese","Bolton","80.0","5"
"Chinese","Bournemouth","78.6","14"
"Chinese","Bracknell Forest","0.0","1"
"Chinese","Bradford","100.0","3"
"Chinese","Brent","100.0","3"
"Chinese","Brighton and Hove","53.8","13"
"Chinese","Bristol, City of","76.9","13"
"Chinese","Bromley","93.9","33"
"Chinese","Buckinghamshire","83.3","18"
"Chinese","Bury","62.5","8"
"Chinese","Calderdale","75.0","4"
"Chinese","Cambridgeshire","79.2","24"
"Chinese","Camden","63.6","11"
"Chinese","Central Bedfordshire","66.7","9"
"Chinese","Cheshire East","87.5","8"
"Chinese","Cheshire West and Chester","50.0","10"
"Chinese","City of London","N/A","0"
"Chinese","Cornwall","33.3","6"
"Chinese","County Durham","83.3","6"
"Chinese","Coventry","50.0","6"
"Chinese","Croydon","92.3","13"
"Chinese","Cumbria","86.7","15"
"Chinese","Darlington","50.0","4"
"Chinese","Derby","58.3","12"
"Chinese","Derbyshire","83.3","12"
"Chinese","Devon","84.6","13"
"Chinese","Doncaster","40.0","5"
"Chinese","Dorset","50.0","12"
"Chinese","Dudley","75.0","4"
"Chinese","Ealing","90.9","11"
"Chinese","East Riding of Yorkshire","66.7","3"
"Chinese","East Sussex","66.7","12"
"Chinese","Enfield","82.4","17"
"Chinese","Essex","80.5","41"
"Chinese","Gateshead","80.0","5"
"Chinese","Gloucestershire","60.0","15"
"Chinese","Greenwich","62.5","16"
"Chinese","Hackney","44.4","9"
"Chinese","Halton","0.0","1"
"Chinese","Hammersmith and Fulham","83.3","12"
"Chinese","Hampshire","64.9","37"
"Chinese","Haringey","77.8","9"
"Chinese","Harrow","62.5","8"
"Chinese","Hartlepool","0.0","1"
"Chinese","Havering","85.7","7"
"Chinese","Herefordshire, County of","50.0","2"
"Chinese","Hertfordshire","81.5","65"
"Chinese","Hillingdon","50.0","4"
"Chinese","Hounslow","100.0","3"
"Chinese","Isle of Wight","N/A","0"
"Chinese","Isles of Scilly","N/A","0"
"Chinese","Islington","77.8","9"
"Chinese","Kensington and Chelsea","100.0","2"
"Chinese","Kent","77.2","57"
"Chinese","Kingston upon Hull, City of","100.0","2"
"Chinese","Kingston upon Thames","91.7","12"
"Chinese","Kirklees","73.3","15"
