"Measure","Measure_Type","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Sex","Value","confidence_interval","Numerator","Denominator","Samp_size"
"Temporary","Employment Type","Other","ONS 2011 5+1","2008","Year","West Midlands","Men","?","?","?","?","?"
"Permanent","Employment Type","Other","ONS 2011 5+1","2008","Year","West Midlands","Men","?","?","?","?","?"
"Unknown","Employment Type","Other","ONS 2011 5+1","2008","Year","West Midlands","Men","?","?","?","?","?"
"Temporary","Employment Type","Other","ONS 2011 5+1","2008","Year","West Midlands","Women","?","?","?","?","?"
"Permanent","Employment Type","Other","ONS 2011 5+1","2008","Year","West Midlands","Women","?","?","?","?","?"
"Unknown","Employment Type","Other","ONS 2011 5+1","2008","Year","West Midlands","Women","?","?","?","?","?"
"Temporary","Employment Type","Other","ONS 2011 5+1","2008","Year","Yorkshire and The Humber","All","?","?","?","?","?"
"Permanent","Employment Type","Other","ONS 2011 5+1","2008","Year","Yorkshire and The Humber","All","?","?","?","?","?"
"Unknown","Employment Type","Other","ONS 2011 5+1","2008","Year","Yorkshire and The Humber","All","?","?","?","?","?"
"Temporary","Employment Type","Other","ONS 2011 5+1","2008","Year","Yorkshire and The Humber","Men","?","?","?","?","?"
"Permanent","Employment Type","Other","ONS 2011 5+1","2008","Year","Yorkshire and The Humber","Men","?","?","?","?","?"
"Unknown","Employment Type","Other","ONS 2011 5+1","2008","Year","Yorkshire and The Humber","Men","?","?","?","?","?"
"Temporary","Employment Type","Other","ONS 2011 5+1","2008","Year","Yorkshire and The Humber","Women","?","?","?","?","?"
"Permanent","Employment Type","Other","ONS 2011 5+1","2008","Year","Yorkshire and The Humber","Women","?","?","?","?","?"
"Unknown","Employment Type","Other","ONS 2011 5+1","2008","Year","Yorkshire and The Humber","Women","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","All","All","8.4","0.9","190600","2259500","9691"
"Permanent","Employment Type","Other than White","White and other","2008","Year","All","All","91.4","0.9","2065900","2259500","9691"
"Unknown","Employment Type","Other than White","White and other","2008","Year","All","All","0.1","0.1","3000","2259500","9691"
"Temporary","Employment Type","Other than White","White and other","2008","Year","All","Men","8.2","1.2","99500","1217700","5001"
"Permanent","Employment Type","Other than White","White and other","2008","Year","All","Men","91.6","1.2","1116000","1217700","5001"
"Unknown","Employment Type","Other than White","White and other","2008","Year","All","Men","0.2","0.2","2200","1217700","5001"
"Temporary","Employment Type","Other than White","White and other","2008","Year","All","Women","8.7","1.3","91000","1041800","4690"
"Permanent","Employment Type","Other than White","White and other","2008","Year","All","Women","91.2","1.3","949900","1041800","4690"
"Unknown","Employment Type","Other than White","White and other","2008","Year","All","Women","0.1","0.1","800","1041800","4690"
"Temporary","Employment Type","Other than White","White and other","2008","Year","East Midlands","All","8.6","3.4","12200","141700","655"
"Permanent","Employment Type","Other than White","White and other","2008","Year","East Midlands","All","91.2","3.4","129300","141700","655"
"Unknown","Employment Type","Other than White","White and other","2008","Year","East Midlands","All","0.1","0.4","200","141700","655"
"Temporary","Employment Type","Other than White","White and other","2008","Year","East Midlands","Men","8.1","4.5","6300","78100","345"
"Permanent","Employment Type","Other than White","White and other","2008","Year","East Midlands","Men","91.7","4.6","71600","78100","345"
"Unknown","Employment Type","Other than White","White and other","2008","Year","East Midlands","Men","0.2","0.8","200","78100","345"
"Temporary","Employment Type","Other than White","White and other","2008","Year","East Midlands","Women","9.3","5.1","5900","63600","310"
"Permanent","Employment Type","Other than White","White and other","2008","Year","East Midlands","Women","90.7","5.1","57700","63600","310"
"Unknown","Employment Type","Other than White","White and other","2008","Year","East Midlands","Women","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","East of England","All","11","3.5","18200","165400","782"
"Permanent","Employment Type","Other than White","White and other","2008","Year","East of England","All","88.9","3.5","147000","165400","782"
"Unknown","Employment Type","Other than White","White and other","2008","Year","East of England","All","0.1","0.4","200","165400","782"
"Temporary","Employment Type","Other than White","White and other","2008","Year","East of England","Men","10.1","4.6","8700","86300","414"
"Permanent","Employment Type","Other than White","White and other","2008","Year","East of England","Men","89.9","4.6","77600","86300","414"
"Unknown","Employment Type","Other than White","White and other","2008","Year","East of England","Men","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","East of England","Women","12","5.3","9500","79100","368"
"Permanent","Employment Type","Other than White","White and other","2008","Year","East of England","Women","87.7","5.3","69400","79100","368"
"Unknown","Employment Type","Other than White","White and other","2008","Year","East of England","Women","0.2","0.8","200","79100","368"
"Temporary","Employment Type","Other than White","White and other","2008","Year","London","All","7.5","1.4","74700","995000","3346"
"Permanent","Employment Type","Other than White","White and other","2008","Year","London","All","92.4","1.4","919200","995000","3346"
"Unknown","Employment Type","Other than White","White and other","2008","Year","London","All","0.1","0.2","1100","995000","3346"
"Temporary","Employment Type","Other than White","White and other","2008","Year","London","Men","6.7","1.9","34700","521800","1625"
"Permanent","Employment Type","Other than White","White and other","2008","Year","London","Men","93.2","1.9","486300","521800","1625"
"Unknown","Employment Type","Other than White","White and other","2008","Year","London","Men","0.2","0.3","800","521800","1625"
"Temporary","Employment Type","Other than White","White and other","2008","Year","London","Women","8.4","2.1","40000","473200","1721"
"Permanent","Employment Type","Other than White","White and other","2008","Year","London","Women","91.5","2.1","433000","473200","1721"
"Unknown","Employment Type","Other than White","White and other","2008","Year","London","Women","0.1","0.2","300","473200","1721"
"Temporary","Employment Type","Other than White","White and other","2008","Year","North East","All","6.8","5.2","2000","30000","222"
"Permanent","Employment Type","Other than White","White and other","2008","Year","North East","All","92.9","5.3","27900","30000","222"
"Unknown","Employment Type","Other than White","White and other","2008","Year","North East","All","0.3","1.1","100","30000","222"
"Temporary","Employment Type","Other than White","White and other","2008","Year","North East","Men","9.7","8.2","1700","17700","125"
"Permanent","Employment Type","Other than White","White and other","2008","Year","North East","Men","89.8","8.4","15900","17700","125"
"Unknown","Employment Type","Other than White","White and other","2008","Year","North East","Men","0.5","1.9","100","17700","125"
"Temporary","Employment Type","Other than White","White and other","2008","Year","North East","Women","2.5","4.9","300","12300","97"
"Permanent","Employment Type","Other than White","White and other","2008","Year","North East","Women","97.5","4.9","11900","12300","97"
"Unknown","Employment Type","Other than White","White and other","2008","Year","North East","Women","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","North West","All","8.7","2.9","13900","159300","932"
"Permanent","Employment Type","Other than White","White and other","2008","Year","North West","All","91.3","2.9","145400","159300","932"
"Unknown","Employment Type","Other than White","White and other","2008","Year","North West","All","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","North West","Men","9.4","4.1","8400","89100","497"
"Permanent","Employment Type","Other than White","White and other","2008","Year","North West","Men","90.6","4.1","80700","89100","497"
"Unknown","Employment Type","Other than White","White and other","2008","Year","North West","Men","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","North West","Women","7.8","4","5500","70200","435"
"Permanent","Employment Type","Other than White","White and other","2008","Year","North West","Women","92.2","4","64800","70200","435"
"Unknown","Employment Type","Other than White","White and other","2008","Year","North West","Women","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","Scotland","All","8.7","4.9","4300","49800","319"
"Permanent","Employment Type","Other than White","White and other","2008","Year","Scotland","All","91.3","4.9","45500","49800","319"
"Unknown","Employment Type","Other than White","White and other","2008","Year","Scotland","All","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","Scotland","Men","8.7","7","2300","26300","155"
"Permanent","Employment Type","Other than White","White and other","2008","Year","Scotland","Men","91.3","7","24000","26300","155"
"Unknown","Employment Type","Other than White","White and other","2008","Year","Scotland","Men","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","Scotland","Women","8.7","6.8","2000","23500","164"
"Permanent","Employment Type","Other than White","White and other","2008","Year","Scotland","Women","91.3","6.8","21500","23500","164"
"Unknown","Employment Type","Other than White","White and other","2008","Year","Scotland","Women","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","South East","All","8.4","2.4","20800","248500","1309"
"Permanent","Employment Type","Other than White","White and other","2008","Year","South East","All","91.4","2.4","227100","248500","1309"
"Unknown","Employment Type","Other than White","White and other","2008","Year","South East","All","0.2","0.4","600","248500","1309"
"Temporary","Employment Type","Other than White","White and other","2008","Year","South East","Men","8.5","3.3","11700","138300","697"
"Permanent","Employment Type","Other than White","White and other","2008","Year","South East","Men","91.3","3.3","126300","138300","697"
"Unknown","Employment Type","Other than White","White and other","2008","Year","South East","Men","0.2","0.5","300","138300","697"
"Temporary","Employment Type","Other than White","White and other","2008","Year","South East","Women","8.2","3.4","9000","110200","612"
"Permanent","Employment Type","Other than White","White and other","2008","Year","South East","Women","91.5","3.5","100800","110200","612"
"Unknown","Employment Type","Other than White","White and other","2008","Year","South East","Women","0.3","0.7","300","110200","612"
"Temporary","Employment Type","Other than White","White and other","2008","Year","South West","All","8.4","4.6","5600","66800","348"
"Permanent","Employment Type","Other than White","White and other","2008","Year","South West","All","91.6","4.6","61100","66800","348"
"Unknown","Employment Type","Other than White","White and other","2008","Year","South West","All","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","South West","Men","7.6","6","2700","35200","187"
"Permanent","Employment Type","Other than White","White and other","2008","Year","South West","Men","92.4","6","32600","35200","187"
"Unknown","Employment Type","Other than White","White and other","2008","Year","South West","Men","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","South West","Women","9.3","7.1","2900","31500","161"
"Permanent","Employment Type","Other than White","White and other","2008","Year","South West","Women","90.7","7.1","28600","31500","161"
"Unknown","Employment Type","Other than White","White and other","2008","Year","South West","Women","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","Wales","All","11.3","6","3400","29800","266"
"Permanent","Employment Type","Other than White","White and other","2008","Year","Wales","All","88.7","6","26400","29800","266"
"Unknown","Employment Type","Other than White","White and other","2008","Year","Wales","All","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","Wales","Men","11.2","8.1","1900","17300","144"
"Permanent","Employment Type","Other than White","White and other","2008","Year","Wales","Men","88.8","8.1","15400","17300","144"
"Unknown","Employment Type","Other than White","White and other","2008","Year","Wales","Men","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","Wales","Women","11.5","9","1400","12400","122"
"Permanent","Employment Type","Other than White","White and other","2008","Year","Wales","Women","88.5","9","11000","12400","122"
"Unknown","Employment Type","Other than White","White and other","2008","Year","Wales","Women","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","West Midlands","All","8.5","2.8","20000","235600","980"
"Permanent","Employment Type","Other than White","White and other","2008","Year","West Midlands","All","91.5","2.8","215600","235600","980"
"Unknown","Employment Type","Other than White","White and other","2008","Year","West Midlands","All","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","West Midlands","Men","8.8","3.9","11600","131000","517"
"Permanent","Employment Type","Other than White","White and other","2008","Year","West Midlands","Men","91.2","3.9","119400","131000","517"
"Unknown","Employment Type","Other than White","White and other","2008","Year","West Midlands","Men","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","West Midlands","Women","8","3.9","8400","104600","463"
"Permanent","Employment Type","Other than White","White and other","2008","Year","West Midlands","Women","92","3.9","96200","104600","463"
"Unknown","Employment Type","Other than White","White and other","2008","Year","West Midlands","Women","?","?","?","?","?"
"Temporary","Employment Type","Other than White","White and other","2008","Year","Yorkshire and The Humber","All","11.2","4.2","15500","137600","532"
"Permanent","Employment Type","Other than White","White and other","2008","Year","Yorkshire and The Humber","All","88.1","4.3","121300","137600","532"
"Unknown","Employment Type","Other than White","White and other","2008","Year","Yorkshire and The Humber","All","0.6","1","800","137600","532"
"Temporary","Employment Type","Other than White","White and other","2008","Year","Yorkshire and The Humber","Men","12.4","5.9","9500","76600","295"
"Permanent","Employment Type","Other than White","White and other","2008","Year","Yorkshire and The Humber","Men","86.5","6.2","66300","76600","295"
"Unknown","Employment Type","Other than White","White and other","2008","Year","Yorkshire and The Humber","Men","1.1","1.9","800","76600","295"
"Temporary","Employment Type","Other than White","White and other","2008","Year","Yorkshire and The Humber","Women","9.8","6","6000","61000","237"
"Permanent","Employment Type","Other than White","White and other","2008","Year","Yorkshire and The Humber","Women","90.2","6","55000","61000","237"
"Unknown","Employment Type","Other than White","White and other","2008","Year","Yorkshire and The Humber","Women","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","All","All","9","2.4","27900","309300","1336"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","All","All","90.7","2.5","280400","309300","1336"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","All","All","0.3","0.5","1000","309300","1336"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","All","Men","8.5","2.9","17700","209100","869"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","All","Men","91.1","3","190600","209100","869"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","All","Men","0.4","0.7","800","209100","869"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","All","Women","10.1","4.3","10100","100100","467"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","All","Women","89.7","4.4","89800","100100","467"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","All","Women","0.2","0.6","200","100100","467"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East Midlands","All","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East Midlands","All","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East Midlands","All","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East Midlands","Men","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East Midlands","Men","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East Midlands","Men","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East Midlands","Women","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East Midlands","Women","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East Midlands","Women","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East of England","All","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East of England","All","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East of England","All","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East of England","Men","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East of England","Men","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East of England","Men","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East of England","Women","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East of England","Women","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","East of England","Women","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","London","All","9.4","4.9","9800","104200","339"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","London","All","90.6","4.9","94400","104200","339"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","London","All","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","London","Men","10.6","6.4","7600","71800","225"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","London","Men","89.4","6.4","64200","71800","225"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","London","Men","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","London","Women","6.6","7.2","2100","32300","114"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","London","Women","93.4","7.2","30200","32300","114"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","London","Women","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North East","All","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North East","All","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North East","All","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North East","Men","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North East","Men","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North East","Men","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North East","Women","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North East","Women","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North East","Women","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North West","All","6.8","5","2700","39200","240"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North West","All","93.2","5","36500","39200","240"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North West","All","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North West","Men","7","6.4","1800","25400","150"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North West","Men","93","6.4","23600","25400","150"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North West","Men","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North West","Women","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North West","Women","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","North West","Women","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Scotland","All","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Scotland","All","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Scotland","All","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Scotland","Men","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Scotland","Men","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Scotland","Men","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Scotland","Women","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Scotland","Women","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Scotland","Women","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South East","All","5","5.9","1000","19800","131"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South East","All","95","5.9","18800","19800","131"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South East","All","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South East","Men","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South East","Men","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South East","Men","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South East","Women","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South East","Women","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South East","Women","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South West","All","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South West","All","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South West","All","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South West","Men","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South West","Men","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South West","Men","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South West","Women","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South West","Women","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","South West","Women","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Wales","All","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Wales","All","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Wales","All","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Wales","Men","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Wales","Men","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Wales","Men","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Wales","Women","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Wales","Women","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Wales","Women","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","West Midlands","All","9.6","7","5200","53600","172"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","West Midlands","All","90.4","7","48500","53600","172"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","West Midlands","All","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","West Midlands","Men","7.9","7.6","3000","38500","120"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","West Midlands","Men","92.1","7.6","35400","38500","120"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","West Midlands","Men","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","West Midlands","Women","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","West Midlands","Women","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","West Midlands","Women","?","?","?","?","?"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Yorkshire and The Humber","All","9.5","7.3","4000","42200","153"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Yorkshire and The Humber","All","88.5","8","37300","42200","153"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Yorkshire and The Humber","All","2","3.5","800","42200","153"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Yorkshire and The Humber","Men","9.3","8.9","2600","28000","101"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Yorkshire and The Humber","Men","87.7","10.1","24500","28000","101"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Yorkshire and The Humber","Men","3","5.3","800","28000","101"
"Temporary","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Yorkshire and The Humber","Women","?","?","?","?","?"
"Permanent","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Yorkshire and The Humber","Women","?","?","?","?","?"
"Unknown","Employment Type","Pakistani/Bangladeshi","Detailed","2008","Year","Yorkshire and The Humber","Women","?","?","?","?","?"
"Temporary","Employment Type","Unknown","ONS 2011 5+1","2008","Year","All","All","?","?","?","?","?"
"Permanent","Employment Type","Unknown","ONS 2011 5+1","2008","Year","All","All","?","?","?","?","?"
"Unknown","Employment Type","Unknown","ONS 2011 5+1","2008","Year","All","All","?","?","?","?","?"
"Temporary","Employment Type","Unknown","ONS 2011 5+1","2008","Year","All","Men","?","?","?","?","?"
"Permanent","Employment Type","Unknown","ONS 2011 5+1","2008","Year","All","Men","?","?","?","?","?"
"Unknown","Employment Type","Unknown","ONS 2011 5+1","2008","Year","All","Men","?","?","?","?","?"
"Temporary","Employment Type","Unknown","ONS 2011 5+1","2008","Year","All","Women","?","?","?","?","?"
"Permanent","Employment Type","Unknown","ONS 2011 5+1","2008","Year","All","Women","?","?","?","?","?"
"Unknown","Employment Type","Unknown","ONS 2011 5+1","2008","Year","All","Women","?","?","?","?","?"
"Temporary","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East Midlands","All","?","?","?","?","?"
"Permanent","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East Midlands","All","?","?","?","?","?"
"Unknown","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East Midlands","All","?","?","?","?","?"
"Temporary","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East Midlands","Men","?","?","?","?","?"
"Permanent","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East Midlands","Men","?","?","?","?","?"
"Unknown","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East Midlands","Men","?","?","?","?","?"
"Temporary","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East Midlands","Women","?","?","?","?","?"
"Permanent","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East Midlands","Women","?","?","?","?","?"
"Unknown","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East Midlands","Women","?","?","?","?","?"
"Temporary","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East of England","All","?","?","?","?","?"
"Permanent","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East of England","All","?","?","?","?","?"
"Unknown","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East of England","All","?","?","?","?","?"
"Temporary","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East of England","Men","?","?","?","?","?"
"Permanent","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East of England","Men","?","?","?","?","?"
"Unknown","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East of England","Men","?","?","?","?","?"
"Temporary","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East of England","Women","?","?","?","?","?"
"Permanent","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East of England","Women","?","?","?","?","?"
"Unknown","Employment Type","Unknown","ONS 2011 5+1","2008","Year","East of England","Women","?","?","?","?","?"
"Temporary","Employment Type","Unknown","ONS 2011 5+1","2008","Year","London","All","?","?","?","?","?"
"Permanent","Employment Type","Unknown","ONS 2011 5+1","2008","Year","London","All","?","?","?","?","?"
"Unknown","Employment Type","Unknown","ONS 2011 5+1","2008","Year","London","All","?","?","?","?","?"
"Temporary","Employment Type","Unknown","ONS 2011 5+1","2008","Year","London","Men","?","?","?","?","?"
