"Ethnicity","Local authority","%"
"Mixed","Redbridge","79"
"Mixed","Redcar and Cleveland","72"
"Mixed","Richmond upon Thames","80"
"Mixed","Rochdale","69"
"Mixed","Rotherham","77"
"Mixed","Rutland","63"
"Mixed","Salford","80"
"Mixed","Sandwell","76"
"Mixed","Sefton","79"
"Mixed","Sheffield","71"
"Mixed","Shropshire","73"
"Mixed","Slough","75"
"Mixed","Solihull","77"
"Mixed","Somerset","73"
"Mixed","South Gloucestershire","74"
"Mixed","South Tyneside","79"
"Mixed","Southampton","74"
"Mixed","Southend-on-Sea","78"
"Mixed","Southwark","76"
"Mixed","St. Helens","84"
"Mixed","Staffordshire","73"
"Mixed","Stockport","76"
"Mixed","Stockton-on-Tees","77"
"Mixed","Stoke-on-Trent","71"
"Mixed","Suffolk","71"
"Mixed","Sunderland","80"
"Mixed","Surrey","79"
"Mixed","Sutton","84"
"Mixed","Swindon","76"
"Mixed","Tameside","73"
"Mixed","Telford and Wrekin","76"
"Mixed","Thurrock","79"
"Mixed","Torbay","72"
"Mixed","Tower Hamlets","79"
"Mixed","Trafford","76"
"Mixed","Wakefield","74"
"Mixed","Walsall","78"
"Mixed","Waltham Forest","80"
"Mixed","Wandsworth","79"
"Mixed","Warrington","83"
"Mixed","Warwickshire","75"
"Mixed","West Berkshire","81"
"Mixed","West Sussex","76"
"Mixed","Westminster","78"
"Mixed","Wigan","78"
"Mixed","Wiltshire","73"
"Mixed","Windsor and Maidenhead","81"
"Mixed","Wirral","78"
"Mixed","Wokingham","82"
"Mixed","Wolverhampton","76"
"Mixed","Worcestershire","78"
"Mixed","York","82"
"White","Barking and Dagenham","73"
"White","Barnet","81"
"White","Barnsley","75"
"White","Bath and North East Somerset","77"
"White","Bedford","72"
"White","Bexley","77"
"White","Birmingham","72"
"White","Blackburn with Darwen","75"
"White","Blackpool","72"
"White","Bolton","75"
"White","Bournemouth, Christchurch and Poole","78"
"White","Bracknell Forest","76"
"White","Bradford","73"
"White","Brent","77"
"White","Brighton and Hove","77"
"White","Bristol, City of","77"
"White","Bromley","80"
"White","Buckinghamshire","77"
"White","Bury","75"
"White","Calderdale","74"
"White","Cambridgeshire","75"
"White","Camden","78"
"White","Central Bedfordshire","77"
"White","Cheshire East","77"
"White","Cheshire West and Chester","73"
"White","City of London","!"
"White","Cornwall","72"
"White","County Durham","77"
"White","Coventry","72"
"White","Croydon","78"
"White","Cumbria","75"
"White","Darlington","75"
"White","Derby","73"
"White","Derbyshire","75"
"White","Devon","74"
"White","Doncaster","75"
"White","Dorset","75"
"White","Dudley","73"
"White","Ealing","79"
"White","East Riding of Yorkshire","75"
"White","East Sussex","78"
"White","Enfield","72"
"White","Essex","76"
"White","Gateshead","75"
"White","Gloucestershire","75"
"White","Greenwich","74"
"White","Hackney","82"
"White","Halton","71"
"White","Hammersmith and Fulham","83"
"White","Hampshire","80"
"White","Haringey","79"
"White","Harrow","73"
"White","Hartlepool","75"
"White","Havering","79"
"White","Herefordshire, County of","80"
"White","Hertfordshire","76"
"White","Hillingdon","75"
"White","Hounslow","78"
"White","Isle of Wight","70"
"White","Isles of Scilly","!"
"White","Islington","80"
"White","Kensington and Chelsea","84"
"White","Kent","77"
"White","Kingston upon Hull, City of","74"
"White","Kingston upon Thames","80"
"White","Kirklees","75"
"White","Knowsley","72"
"White","Lambeth","85"
"White","Lancashire","75"
"White","Leeds","72"
"White","Leicester","69"
"White","Leicestershire","76"
"White","Lewisham","80"
"White","Lincolnshire","73"
"White","Liverpool","71"
"White","Luton","69"
"White","Manchester","72"
"White","Medway","75"
"White","Merton","81"
"White","Middlesbrough","72"
"White","Milton Keynes","76"
"White","Newcastle upon Tyne","76"
"White","Newham","75"
"White","Norfolk","74"
"White","North East Lincolnshire","75"
"White","North Lincolnshire","76"
"White","North Somerset","77"
"White","North Tyneside","78"
"White","North Yorkshire","74"
"White","Northamptonshire","75"
"White","Northumberland","79"
"White","Nottingham","70"
"White","Nottinghamshire","75"
"White","Oldham","72"
"White","Oxfordshire","76"
"White","Peterborough","71"
"White","Plymouth","72"
"White","Portsmouth","73"
"White","Reading","73"
"White","Redbridge","77"
"White","Redcar and Cleveland","77"
"White","Richmond upon Thames","83"
"White","Rochdale","73"
"White","Rotherham","73"
"White","Rutland","80"
"White","Salford","74"
"White","Sandwell","72"
"White","Sefton","76"
"White","Sheffield","76"
"White","Shropshire","74"
"White","Slough","72"
"White","Solihull","77"
"White","Somerset","77"
"White","South Gloucestershire","80"
"White","South Tyneside","77"
"White","Southampton","73"
"White","Southend-on-Sea","78"
"White","Southwark","81"
"White","St. Helens","75"
"White","Staffordshire","79"
"White","Stockport","76"
"White","Stockton-on-Tees","79"
"White","Stoke-on-Trent","74"
"White","Suffolk","73"
"White","Sunderland","77"
"White","Surrey","78"
"White","Sutton","79"
"White","Swindon","77"
"White","Tameside","75"
"White","Telford and Wrekin","77"
"White","Thurrock","74"
"White","Torbay","76"
"White","Tower Hamlets","76"
"White","Trafford","80"
"White","Wakefield","74"
"White","Walsall","74"
"White","Waltham Forest","82"
"White","Wandsworth","87"
"White","Warrington","78"
"White","Warwickshire","76"
"White","West Berkshire","75"
"White","West Sussex","74"
"White","Westminster","78"
"White","Wigan","76"
"White","Wiltshire","74"
"White","Windsor and Maidenhead","81"
"White","Wirral","72"
"White","Wokingham","80"
"White","Wolverhampton","74"
"White","Worcestershire","76"
"White","York","76"
"Other","Barking and Dagenham","77"
"Other","Barnet","75"
"Other","Barnsley","89"
"Other","Bath and North East Somerset","40"
"Other","Bedford","76"
"Other","Bexley","78"
"Other","Birmingham","73"
"Other","Blackburn with Darwen","71"
"Other","Blackpool","50"
"Other","Bolton","67"
"Other","Bournemouth, Christchurch and Poole","76"
"Other","Bracknell Forest","89"
"Other","Bradford","69"
"Other","Brent","69"
"Other","Brighton and Hove","60"
"Other","Bristol, City of","60"
"Other","Bromley","86"
"Other","Buckinghamshire","77"
"Other","Bury","81"
"Other","Calderdale","63"
"Other","Cambridgeshire","70"
"Other","Camden","71"
"Other","Central Bedfordshire","79"
"Other","Cheshire East","73"
"Other","Cheshire West and Chester","52"
"Other","City of London","!"
"Other","Cornwall","57"
"Other","County Durham","60"
"Other","Coventry","67"
"Other","Croydon","77"
"Other","Cumbria","65"
"Other","Darlington","64"
"Other","Derby","68"
"Other","Derbyshire","69"
"Other","Devon","58"
"Other","Doncaster","71"
"Other","Dorset","47"
"Other","Dudley","63"
"Other","Ealing","73"
"Other","East Riding of Yorkshire","63"
"Other","East Sussex","47"
"Other","Enfield","74"
"Other","Essex","78"
"Other","Gateshead","62"
"Other","Gloucestershire","54"
"Other","Greenwich","86"
"Other","Hackney","77"
"Other","Halton","78"
"Other","Hammersmith and Fulham","74"
"Other","Hampshire","77"
"Other","Haringey","73"
"Other","Harrow","75"
"Other","Hartlepool","44"
"Other","Havering","69"
"Other","Herefordshire, County of","50"
"Other","Hertfordshire","68"
"Other","Hillingdon","75"
"Other","Hounslow","78"
"Other","Isle of Wight","50"
"Other","Isles of Scilly","!"
"Other","Islington","69"
"Other","Kensington and Chelsea","78"
"Other","Kent","75"
"Other","Kingston upon Hull, City of","67"
"Other","Kingston upon Thames","81"
"Other","Kirklees","68"
"Other","Knowsley","79"
"Other","Lambeth","77"
"Other","Lancashire","63"
"Other","Leeds","70"
"Other","Leicester","76"
"Other","Leicestershire","66"
"Other","Lewisham","82"
"Other","Lincolnshire","69"
"Other","Liverpool","64"
"Other","Luton","73"
"Other","Manchester","71"
"Other","Medway","78"
"Other","Merton","85"
"Other","Middlesbrough","57"
"Other","Milton Keynes","74"
"Other","Newcastle upon Tyne","67"
