"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Dudley","Local authority","E08000027","Boys","6-7","72","%","2108","1509"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Dudley","Local authority","E08000027","Girls","6-7","73","%","2007","1475"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Ealing","Local authority","E09000009","All","6-7","77","%","4441","3417"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Ealing","Local authority","E09000009","Boys","6-7","75","%","2250","1692"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Ealing","Local authority","E09000009","Girls","6-7","79","%","2191","1725"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","East Riding of Yorkshire","Local authority","E06000011","All","6-7","75","%","3790","2861"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","East Riding of Yorkshire","Local authority","E06000011","Boys","6-7","74","%","2030","1510"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","East Riding of Yorkshire","Local authority","E06000011","Girls","6-7","77","%","1760","1351"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","East Sussex","Local authority","E10000011","All","6-7","78","%","5694","4421"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","East Sussex","Local authority","E10000011","Boys","6-7","76","%","2937","2235"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","East Sussex","Local authority","E10000011","Girls","6-7","79","%","2757","2186"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Enfield","Local authority","E09000010","All","6-7","73","%","4647","3379"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Enfield","Local authority","E09000010","Boys","6-7","72","%","2389","1710"
