"Ethnicity","geography","%"
"Chinese","Liverpool","80"
"Chinese","Luton","71"
"Chinese","Manchester","86"
"Chinese","Medway","91"
"Chinese","Merton","81"
"Chinese","Middlesbrough","75"
"Chinese","Milton Keynes","89"
"Chinese","Newcastle upon Tyne","82"
"Chinese","Newham","80"
"Chinese","Norfolk","80"
"Chinese","North East Lincolnshire","100"
"Chinese","North Lincolnshire","83"
"Chinese","North Somerset","100"
"Chinese","North Tyneside","89"
"Chinese","North Yorkshire","75"
"Chinese","Northamptonshire","89"
"Chinese","Northumberland","88"
"Chinese","Nottingham","92"
"Chinese","Nottinghamshire","92"
"Chinese","Oldham","56"
"Chinese","Oxfordshire","89"
"Chinese","Peterborough","79"
"Chinese","Plymouth","84"
"Chinese","Poole","67"
"Chinese","Portsmouth","100"
"Chinese","Reading","85"
"Chinese","Redbridge","93"
"Chinese","Redcar and Cleveland","100"
"Chinese","Richmond upon Thames","90"
"Chinese","Rochdale","100"
"Chinese","Rotherham","85"
"Chinese","Rutland","N/A"
"Chinese","Salford","57"
"Chinese","Sandwell","78"
"Chinese","Sefton","100"
"Chinese","Sheffield","89"
"Chinese","Shropshire","83"
"Chinese","Slough","80"
"Chinese","Solihull","86"
"Chinese","Somerset","92"
"Chinese","South Gloucestershire","92"
"Chinese","South Tyneside","86"
"Chinese","Southampton","86"
"Chinese","Southend-on-Sea","100"
"Chinese","Southwark","93"
"Chinese","St. Helens","100"
"Chinese","Staffordshire","83"
"Chinese","Stockport","93"
"Chinese","Stockton-on-Tees","71"
"Chinese","Stoke-on-Trent","90"
"Chinese","Suffolk","100"
"Chinese","Sunderland","80"
"Chinese","Surrey","92"
"Chinese","Sutton","91"
"Chinese","Swindon","92"
"Chinese","Tameside","75"
"Chinese","Telford and Wrekin","100"
"Chinese","Thurrock","100"
"Chinese","Torbay","100"
"Chinese","Tower Hamlets","85"
"Chinese","Trafford","91"
"Chinese","Wakefield","89"
"Chinese","Walsall","86"
"Chinese","Waltham Forest","94"
"Chinese","Wandsworth","94"
"Chinese","Warrington","100"
"Chinese","Warwickshire","91"
"Chinese","West Berkshire","67"
"Chinese","West Sussex","95"
"Chinese","Westminster","83"
"Chinese","Wigan","81"
"Chinese","Wiltshire","78"
"Chinese","Windsor and Maidenhead","100"
"Chinese","Wirral","89"
"Chinese","Wokingham","100"
"Chinese","Wolverhampton","86"
"Chinese","Worcestershire","79"
"Chinese","York","64"
"Mixed","Barking and Dagenham","86"
"Mixed","Barnet","87"
"Mixed","Barnsley","78"
"Mixed","Bath and North East Somerset","87"
"Mixed","Bedford","79"
"Mixed","Bexley","87"
"Mixed","Birmingham","79"
"Mixed","Blackburn with Darwen","91"
"Mixed","Blackpool","89"
"Mixed","Bolton","86"
"Mixed","Bournemouth","90"
"Mixed","Bracknell Forest","88"
"Mixed","Bradford","79"
"Mixed","Brent","86"
"Mixed","Brighton and Hove","87"
"Mixed","Bristol, City of","81"
"Mixed","Bromley","87"
"Mixed","Buckinghamshire","88"
"Mixed","Bury","81"
"Mixed","Calderdale","75"
"Mixed","Cambridgeshire","83"
"Mixed","Camden","86"
"Mixed","Central Bedfordshire","83"
"Mixed","Cheshire East","84"
"Mixed","Cheshire West and Chester","85"
"Mixed","City of London","!"
"Mixed","Cornwall","85"
"Mixed","County Durham","76"
"Mixed","Coventry","81"
"Mixed","Croydon","86"
"Mixed","Cumbria","87"
"Mixed","Darlington","84"
"Mixed","Derby","85"
"Mixed","Derbyshire","86"
"Mixed","Devon","87"
"Mixed","Doncaster","81"
"Mixed","Dorset","92"
"Mixed","Dudley","82"
"Mixed","Ealing","85"
"Mixed","East Riding of Yorkshire","89"
"Mixed","East Sussex","85"
"Mixed","Enfield","84"
"Mixed","Essex","85"
"Mixed","Gateshead","85"
"Mixed","Gloucestershire","87"
"Mixed","Greenwich","86"
"Mixed","Hackney","86"
"Mixed","Halton","81"
"Mixed","Hammersmith and Fulham","88"
"Mixed","Hampshire","88"
"Mixed","Haringey","89"
"Mixed","Harrow","88"
"Mixed","Hartlepool","68"
"Mixed","Havering","86"
"Mixed","Herefordshire, County of","86"
"Mixed","Hertfordshire","85"
"Mixed","Hillingdon","85"
"Mixed","Hounslow","90"
"Mixed","Isle of Wight","83"
"Mixed","Isles of Scilly","!"
"Mixed","Islington","80"
"Mixed","Kensington and Chelsea","88"
"Mixed","Kent","88"
"Mixed","Kingston upon Hull, City of","82"
"Mixed","Kingston upon Thames","88"
"Mixed","Kirklees","78"
"Mixed","Knowsley","80"
"Mixed","Lambeth","88"
"Mixed","Lancashire","83"
"Mixed","Leeds","77"
"Mixed","Leicester","81"
"Mixed","Leicestershire","83"
"Mixed","Lewisham","84"
"Mixed","Lincolnshire","80"
