"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Age","Value","Value_type","APS per entry as a grade","Number of students"
"16-18 APS per entry - Applied General","Indian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.89","Average point score","Merit+","1696"
"16-18 APS per entry - A level","Chinese","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","38.2","Average point score","B-","1706"
"16-18 APS per entry - A level","Chinese","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","36.98","Average point score","B-","1712"
"16-18 APS per entry - Applied General","Mixed","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.9","Average point score","Merit+","1831"
"16-18 APS per entry - Applied General","Mixed","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.07","Average point score","Dist-","3365"
"16-18 APS per entry - Tech level","White","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.75","Average point score","Merit+","17145"
"16-18 APS per entry - Applied General","White Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.47","Average point score","Merit+","2073"
"16-18 APS per entry - Applied General","Indian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.14","Average point score","Merit+","2110"
"16-18 APS per entry - Level 2 Technical Certificate","Unknown","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.8","Average point score","L2 Merit-","2134"
"16-18 APS per entry - A level","Black Caribbean","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","34.09","Average point score","C+","2170"
"16-18 APS per entry - A level","Black Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","34.77","Average point score","C+","1523"
"16-18 APS per entry - Applied General","Unknown","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.72","Average point score","Merit+","2321"
"16-18 APS per entry - Applied General","Black African","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.02","Average point score","Merit+","2335"
"16-18 APS per entry - Applied General","Mixed Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.91","Average point score","Merit+","1314"
"16-18 APS per entry - A level","Mixed White and Black Caribbean","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","30.21","Average point score","C","2518"
"16-18 APS per entry - Applied General","Mixed","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.81","Average point score","Merit+","2538"
"16-18 APS per entry - A level","Black Caribbean","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.63","Average point score","C-","2583"
"16-18 APS per entry - Applied General","Pakistani","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.65","Average point score","Merit+","2596"
"16-18 APS per entry - Level 2 Technical Certificate","Asian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.51","Average point score","L2 Merit-","2733"
"16-18 APS per entry - A level","Black Caribbean","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.13","Average point score","C-","2751"
"16-18 APS per entry - A level","Mixed White and Black Caribbean","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","29.4","Average point score","C","2772"
"16-18 APS per entry - Applied General","White Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.01","Average point score","Merit+","2901"
"16-18 APS per entry - A level","Mixed White and Asian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","35.13","Average point score","B-","3059"
"16-18 APS per entry - A level","Chinese","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","44.01","Average point score","B+","1521"
"16-18 APS per entry - A level","Mixed White and Asian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","33.98","Average point score","C+","3190"
"16-18 APS per entry - Applied General","Black African","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","26.89","Average point score","Merit+","3307"
"16-18 APS per entry - Applied General","Mixed White and Asian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.9","Average point score","Dist-","672"
"16-18 APS per entry - Applied General","Pakistani","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.77","Average point score","Merit+","3399"
"16-18 APS per entry - Applied General","Black","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","26.79","Average point score","Merit+","3483"
"16-18 APS per entry - Applied General","Unknown","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.2","Average point score","Merit+","3578"
"16-18 APS per entry - Applied General","Mixed White and Black African","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.02","Average point score","Dist-","465"
"16-18 APS per entry - Applied General","Mixed White and Black Caribbean","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.79","Average point score","Merit+","914"
"16-18 APS per entry - Applied General","Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.97","Average point score","Dist-","1471"
"16-18 APS per entry - A level","Mixed Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","32.54","Average point score","C+","4430"
"16-18 APS per entry - Level 2 Technical Certificate","White British","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.74","Average point score","L2 Merit-","4451"
"16-18 APS per entry - A level","Gypsy/Roma","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","35.07","Average point score","B-","56"
"16-18 APS per entry - A level","Mixed Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","33.11","Average point score","C+","4545"
"16-18 APS per entry - A level","Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","31.53","Average point score","C","4619"
"16-18 APS per entry - Applied General","Black","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","26.97","Average point score","Merit+","4696"
"16-18 APS per entry - Level 2 Technical Certificate","White","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.73","Average point score","L2 Merit-","4715"
"16-18 APS per entry - A level","Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","31.11","Average point score","C","4722"
"16-18 APS per entry - A level","Indian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","40.08","Average point score","B","9997"
"16-18 APS per entry - Applied General","Pakistani","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","31.25","Average point score","Dist-","4253"
"16-18 APS per entry - A level","Bangladeshi","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","29.18","Average point score","C","4991"
"16-18 APS per entry - A level","Irish Traveller","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","32.94","Average point score","C+","8"
"16-18 APS per entry - A level","Bangladeshi","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","30.1","Average point score","C","5478"
"16-18 APS per entry - Level 2 Technical Certificate","All","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.72","Average point score","L2 Merit-","5763"
"16-18 APS per entry - Applied General","Unknown","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","31.43","Average point score","Dist-","4767"
"16-18 APS per entry - A level","Mixed","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","38.55","Average point score","B","11543"
"16-18 APS per entry - A level","Asian Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","30.95","Average point score","C","5887"
"16-18 APS per entry - A level","Asian Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","31.75","Average point score","C+","5897"
"16-18 APS per entry - Applied General","Asian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.38","Average point score","Merit+","6354"
"16-18 APS per entry - Level 2 Technical Certificate","White British","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.72","Average point score","L2 Merit-","6751"
"16-18 APS per entry - Level 2 Technical Certificate","White Irish","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.42","Average point score","L2 Pass+","12"
"16-18 APS per entry - Applied General","Asian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.46","Average point score","Merit+","8274"
"16-18 APS per entry - Level 2 Technical Certificate","White Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.57","Average point score","L2 Merit-","325"
"16-18 APS per entry - Tech level","White British","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.31","Average point score","Merit+","8987"
"16-18 APS per entry - Tech level","White","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.33","Average point score","Merit+","9436"
"16-18 APS per entry - A level","Mixed Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","38.36","Average point score","B","4755"
"16-18 APS per entry - A level","Black African","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.32","Average point score","C-","9932"
"16-18 APS per entry - A level","Mixed White and Asian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","40.76","Average point score","B","3171"
"16-18 APS per entry - Applied General","White","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","31.46","Average point score","Dist-","53321"
"16-18 APS per entry - A level","Black African","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.96","Average point score","C","10109"
"16-18 APS per entry - A level","Indian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","33.9","Average point score","C+","10342"
"16-18 APS per entry - A level","Indian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","33.37","Average point score","C+","10369"
"16-18 APS per entry - A level","Pakistani","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.75","Average point score","C","10451"
"16-18 APS per entry - A level","Pakistani","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.14","Average point score","C","10595"
"16-18 APS per entry - A level","Mixed White and Black African","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","37.14","Average point score","B-","1352"
"16-18 APS per entry - A level","Mixed","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","32.86","Average point score","C+","11530"
"16-18 APS per entry - A level","Mixed White and Black Caribbean","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","36.44","Average point score","B-","2265"
"16-18 APS per entry - A level","Mixed","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","32.01","Average point score","C+","11794"
"16-18 APS per entry - Tech level","All","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.35","Average point score","Merit+","12015"
"16-18 APS per entry - A level","White Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","32.73","Average point score","C+","12259"
"16-18 APS per entry - A level","Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","38.01","Average point score","B-","4476"
"16-18 APS per entry - A level","White Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","32.98","Average point score","C+","12485"
"16-18 APS per entry - A level","Pakistani","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","35.19","Average point score","B-","10787"
"16-18 APS per entry - A level","Black","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.71","Average point score","C","14190"
"16-18 APS per entry - A level","Black","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.08","Average point score","C-","14303"
"16-18 APS per entry - Tech level","White British","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.43","Average point score","Merit+","14662"
"16-18 APS per entry - Tech level","White","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.4","Average point score","Merit+","15390"
"16-18 APS per entry - Tech level","White British","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.75","Average point score","Merit+","16294"
"16-18 APS per entry - Tech level","White Irish","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","26.39","Average point score","Merit","43"
"16-18 APS per entry - Tech level","All","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.43","Average point score","Merit+","19468"
"16-18 APS per entry - Tech level","White Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.82","Average point score","Merit+","797"
"16-18 APS per entry - Applied General","White British","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.47","Average point score","Merit+","30663"
"16-18 APS per entry - A level","Asian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","30.81","Average point score","C","31698"
"16-18 APS per entry - A level","Unknown","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","44.25","Average point score","B+","45506"
"16-18 APS per entry - Level 2 Technical Certificate","White British","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.81","Average point score","L2 Merit-","32039"
"16-18 APS per entry - A level","Asian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","31.36","Average point score","C","32312"
"16-18 APS per entry - Applied General","White","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.4","Average point score","Merit+","32895"
"16-18 APS per entry - Level 2 Technical Certificate","White","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.8","Average point score","L2 Merit-","33864"
"16-18 APS per entry - Applied General","White British","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.52","Average point score","Merit+","41272"
"16-18 APS per entry - Level 2 Technical Certificate","All","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.76","Average point score","L2 Merit-","41795"
"16-18 APS per entry - Applied General","White","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.48","Average point score","Merit+","44386"
"16-18 APS per entry - A level","White","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","38.96","Average point score","B","163156"
"16-18 APS per entry - A level","Unknown","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","39.12","Average point score","B","47803"
"16-18 APS per entry - Applied General","All","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.25","Average point score","Merit+","47827"
"16-18 APS per entry - A level","Unknown","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","38.92","Average point score","B","49170"
"16-18 APS per entry - Applied General","White British","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","31.52","Average point score","Dist-","49177"
"16-18 APS per entry - Applied General","White Irish","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","32.33","Average point score","Dist-","219"
"16-18 APS per entry - Applied General","All","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.37","Average point score","Merit+","64822"
"16-18 APS per entry - Applied General","White Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.63","Average point score","Dist-","3870"
"16-18 APS per entry - A level","White British","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","38.92","Average point score","B","149856"
"16-18 APS per entry - A level","White Irish","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","40.64","Average point score","B","967"
"16-18 APS per entry - A level","White British","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","33.15","Average point score","C+","163878"
"16-18 APS per entry - A level","White","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","33.14","Average point score","C+","177463"
"16-18 APS per entry - A level","White British","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","32.21","Average point score","C+","180887"
"16-18 APS per entry - A level","White","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","32.25","Average point score","C+","194334"
"16-18 APS per entry - A level","White Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","39.27","Average point score","B","12269"
"16-18 APS per entry - A level","All","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","33.77","Average point score","C+","289623"
"16-18 APS per entry - A level","All","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","33.04","Average point score","C+","307733"
