"Ethnicity","Local authority","%"
"Chinese","Swindon","92"
"Chinese","Tameside","75"
"Chinese","Telford and Wrekin","89"
"Chinese","Thurrock","77"
"Chinese","Torbay","67"
"Chinese","Tower Hamlets","81"
"Chinese","Trafford","85"
"Chinese","Wakefield","89"
"Chinese","Walsall","77"
"Chinese","Waltham Forest","89"
"Chinese","Wandsworth","88"
"Chinese","Warrington","64"
"Chinese","Warwickshire","96"
"Chinese","West Berkshire","71"
"Chinese","West Sussex","81"
"Chinese","Westminster","76"
"Chinese","Wigan","91"
"Chinese","Wiltshire","75"
"Chinese","Windsor and Maidenhead","100"
"Chinese","Wirral","95"
"Chinese","Wokingham","75"
"Chinese","Wolverhampton","61"
"Chinese","Worcestershire","76"
"Chinese","York","83"
"Mixed","Barking and Dagenham","69"
"Mixed","Barnet","74"
"Mixed","Barnsley","69"
"Mixed","Bath and North East Somerset","79"
"Mixed","Bedford","58"
"Mixed","Bexley","75"
"Mixed","Birmingham","66"
"Mixed","Blackburn with Darwen","74"
"Mixed","Blackpool","71"
"Mixed","Bolton","69"
"Mixed","Bournemouth, Christchurch and Poole","71"
"Mixed","Bracknell Forest","80"
"Mixed","Bradford","68"
"Mixed","Brent","69"
"Mixed","Brighton and Hove","75"
"Mixed","Bristol, City of","65"
"Mixed","Bromley","76"
"Mixed","Buckinghamshire","70"
"Mixed","Bury","68"
"Mixed","Calderdale","59"
"Mixed","Cambridgeshire","68"
"Mixed","Camden","66"
"Mixed","Central Bedfordshire","76"
"Mixed","Cheshire East","76"
"Mixed","Cheshire West and Chester","71"
"Mixed","City of London","!"
"Mixed","Cornwall","71"
"Mixed","County Durham","76"
"Mixed","Coventry","62"
"Mixed","Croydon","74"
"Mixed","Cumbria","79"
"Mixed","Darlington","82"
"Mixed","Derby","64"
"Mixed","Derbyshire","78"
"Mixed","Devon","76"
"Mixed","Doncaster","68"
"Mixed","Dorset","70"
"Mixed","Dudley","66"
"Mixed","Ealing","77"
"Mixed","East Riding of Yorkshire","75"
"Mixed","East Sussex","75"
"Mixed","Enfield","73"
"Mixed","Essex","75"
"Mixed","Gateshead","81"
"Mixed","Gloucestershire","67"
"Mixed","Greenwich","79"
"Mixed","Hackney","74"
"Mixed","Halton","79"
"Mixed","Hammersmith and Fulham","77"
"Mixed","Hampshire","78"
"Mixed","Haringey","77"
"Mixed","Harrow","75"
"Mixed","Hartlepool","73"
"Mixed","Havering","74"
"Mixed","Herefordshire, County of","82"
"Mixed","Hertfordshire","73"
"Mixed","Hillingdon","68"
"Mixed","Hounslow","75"
"Mixed","Isle of Wight","73"
"Mixed","Isles of Scilly","!"
"Mixed","Islington","70"
"Mixed","Kensington and Chelsea","75"
"Mixed","Kent","78"
"Mixed","Kingston upon Hull, City of","68"
"Mixed","Kingston upon Thames","76"
"Mixed","Kirklees","65"
"Mixed","Knowsley","72"
"Mixed","Lambeth","76"
"Mixed","Lancashire","69"
"Mixed","Leeds","66"
"Mixed","Leicester","68"
"Mixed","Leicestershire","70"
"Mixed","Lewisham","70"
"Mixed","Lincolnshire","72"
"Mixed","Liverpool","62"
"Mixed","Luton","63"
"Mixed","Manchester","68"
"Mixed","Medway","71"
"Mixed","Merton","70"
"Mixed","Middlesbrough","63"
"Mixed","Milton Keynes","74"
"Mixed","Newcastle upon Tyne","74"
"Mixed","Newham","78"
"Mixed","Norfolk","73"
"Mixed","North East Lincolnshire","68"
"Mixed","North Lincolnshire","73"
"Mixed","North Somerset","79"
"Mixed","North Tyneside","79"
"Mixed","North Yorkshire","74"
"Mixed","Northamptonshire","69"
"Mixed","Northumberland","73"
"Mixed","Nottingham","67"
"Mixed","Nottinghamshire","68"
"Mixed","Oldham","66"
"Mixed","Oxfordshire","69"
"Mixed","Peterborough","63"
"Mixed","Plymouth","67"
"Mixed","Portsmouth","72"
"Mixed","Reading","64"
"Mixed","Redbridge","80"
"Mixed","Redcar and Cleveland","67"
"Mixed","Richmond upon Thames","79"
"Mixed","Rochdale","64"
"Mixed","Rotherham","79"
"Mixed","Rutland","63"
"Mixed","Salford","76"
"Mixed","Sandwell","69"
"Mixed","Sefton","66"
"Mixed","Sheffield","63"
"Mixed","Shropshire","70"
"Mixed","Slough","67"
"Mixed","Solihull","71"
"Mixed","Somerset","74"
"Mixed","South Gloucestershire","69"
"Mixed","South Tyneside","71"
"Mixed","Southampton","68"
"Mixed","Southend-on-Sea","66"
"Mixed","Southwark","71"
"Mixed","St. Helens","74"
"Mixed","Staffordshire","70"
"Mixed","Stockport","70"
"Mixed","Stockton-on-Tees","73"
"Mixed","Stoke-on-Trent","64"
"Mixed","Suffolk","66"
"Mixed","Sunderland","73"
"Mixed","Surrey","76"
"Mixed","Sutton","78"
"Mixed","Swindon","72"
"Mixed","Tameside","68"
"Mixed","Telford and Wrekin","73"
"Mixed","Thurrock","75"
"Mixed","Torbay","83"
"Mixed","Tower Hamlets","76"
"Mixed","Trafford","70"
"Mixed","Wakefield","69"
"Mixed","Walsall","69"
"Mixed","Waltham Forest","78"
"Mixed","Wandsworth","73"
"Mixed","Warrington","76"
"Mixed","Warwickshire","72"
"Mixed","West Berkshire","76"
"Mixed","West Sussex","70"
"Mixed","Westminster","69"
"Mixed","Wigan","78"
"Mixed","Wiltshire","67"
"Mixed","Windsor and Maidenhead","73"
"Mixed","Wirral","71"
"Mixed","Wokingham","75"
"Mixed","Wolverhampton","73"
"Mixed","Worcestershire","72"
"Mixed","York","79"
"White","Barking and Dagenham","63"
"White","Barnet","74"
"White","Barnsley","67"
"White","Bath and North East Somerset","71"
"White","Bedford","62"
"White","Bexley","71"
"White","Birmingham","65"
"White","Blackburn with Darwen","68"
"White","Blackpool","65"
"White","Bolton","68"
"White","Bournemouth, Christchurch and Poole","70"
"White","Bracknell Forest","71"
"White","Bradford","65"
"White","Brent","67"
"White","Brighton and Hove","70"
"White","Bristol, City of","70"
"White","Bromley","76"
"White","Buckinghamshire","72"
"White","Bury","68"
"White","Calderdale","65"
"White","Cambridgeshire","67"
"White","Camden","72"
"White","Central Bedfordshire","72"
"White","Cheshire East","70"
"White","Cheshire West and Chester","65"
"White","City of London","!"
"White","Cornwall","65"
"White","County Durham","72"
"White","Coventry","63"
"White","Croydon","69"
"White","Cumbria","68"
"White","Darlington","68"
"White","Derby","65"
"White","Derbyshire","69"
"White","Devon","68"
"White","Doncaster","68"
"White","Dorset","68"
"White","Dudley","67"
"White","Ealing","72"
