"Ethnicity","Geography","boys","girls"
"Black","Wiltshire","60","79"
"Black","Windsor and Maidenhead","67","88"
"Black","Wirral","89","100"
"Black","Wokingham","70","93"
"Black","Wolverhampton","71","78"
"Black","Worcestershire","80","92"
"Black","York","N/A","50"
"Chinese","Barking and Dagenham","67","83"
"Chinese","Barnet","84","97"
"Chinese","Barnsley","0","100"
"Chinese","Bath and North East Somerset","75","50"
"Chinese","Bedford","50","100"
"Chinese","Bexley","88","89"
"Chinese","Birmingham","80","83"
"Chinese","Blackburn with Darwen","100","75"
"Chinese","Blackpool","50","100"
"Chinese","Bolton","63","75"
"Chinese","Bournemouth","80","80"
"Chinese","Bracknell Forest","75","86"
"Chinese","Bradford","100","100"
"Chinese","Brent","100","50"
"Chinese","Brighton and Hove","80","74"
"Chinese","Bristol, City of","77","87"
"Chinese","Bromley","80","92"
"Chinese","Buckinghamshire","94","100"
"Chinese","Bury","67","100"
"Chinese","Calderdale","75","100"
"Chinese","Cambridgeshire","100","88"
"Chinese","Camden","82","78"
"Chinese","Central Bedfordshire","89","71"
"Chinese","Cheshire East","60","60"
"Chinese","Cheshire West and Chester","86","100"
"Chinese","City of London","!","!"
"Chinese","Cornwall","88","60"
"Chinese","County Durham","73","80"
"Chinese","Coventry","57","100"
"Chinese","Croydon","91","92"
"Chinese","Cumbria","86","75"
"Chinese","Darlington","0","100"
"Chinese","Derby","79","75"
"Chinese","Derbyshire","93","79"
"Chinese","Devon","80","88"
"Chinese","Doncaster","83","89"
"Chinese","Dorset","100","100"
"Chinese","Dudley","75","50"
"Chinese","Ealing","88","82"
"Chinese","East Riding of Yorkshire","50","100"
"Chinese","East Sussex","67","100"
"Chinese","Enfield","100","88"
"Chinese","Essex","72","91"
"Chinese","Gateshead","71","100"
"Chinese","Gloucestershire","89","100"
"Chinese","Greenwich","85","96"
"Chinese","Hackney","91","94"
"Chinese","Halton","N/A","N/A"
"Chinese","Hammersmith and Fulham","100","83"
"Chinese","Hampshire","88","96"
"Chinese","Haringey","56","94"
"Chinese","Harrow","60","100"
"Chinese","Hartlepool","50","100"
"Chinese","Havering","83","100"
"Chinese","Herefordshire, County of","100","N/A"
"Chinese","Hertfordshire","89","96"
"Chinese","Hillingdon","67","88"
"Chinese","Hounslow","100","83"
"Chinese","Isle of Wight","100","N/A"
"Chinese","Isles of Scilly","!","!"
