"Ethnicity","Geography","%"
"Black","Warwickshire","78"
"Black","West Berkshire","82"
"Black","West Sussex","58"
"Black","Westminster","72"
"Black","Wigan","60"
"Black","Wiltshire","69"
"Black","Windsor and Maidenhead","75"
"Black","Wirral","92"
"Black","Wokingham","82"
"Black","Wolverhampton","75"
"Black","Worcestershire","86"
"Black","York","50"
"Chinese","Barking and Dagenham","78"
"Chinese","Barnet","91"
"Chinese","Barnsley","50"
"Chinese","Bath and North East Somerset","67"
"Chinese","Bedford","80"
"Chinese","Bexley","88"
"Chinese","Birmingham","81"
"Chinese","Blackburn with Darwen","80"
"Chinese","Blackpool","67"
"Chinese","Bolton","67"
"Chinese","Bournemouth","80"
"Chinese","Bracknell Forest","82"
"Chinese","Bradford","100"
"Chinese","Brent","71"
"Chinese","Brighton and Hove","75"
"Chinese","Bristol, City of","82"
"Chinese","Bromley","85"
"Chinese","Buckinghamshire","96"
"Chinese","Bury","81"
"Chinese","Calderdale","86"
"Chinese","Cambridgeshire","94"
"Chinese","Camden","80"
"Chinese","Central Bedfordshire","81"
"Chinese","Cheshire East","60"
"Chinese","Cheshire West and Chester","88"
"Chinese","City of London","!"
"Chinese","Cornwall","77"
"Chinese","County Durham","77"
"Chinese","Coventry","75"
"Chinese","Croydon","91"
"Chinese","Cumbria","82"
"Chinese","Darlington","50"
"Chinese","Derby","78"
"Chinese","Derbyshire","86"
"Chinese","Devon","83"
"Chinese","Doncaster","87"
"Chinese","Dorset","100"
"Chinese","Dudley","70"
"Chinese","Ealing","84"
"Chinese","East Riding of Yorkshire","67"
"Chinese","East Sussex","88"
"Chinese","Enfield","92"
"Chinese","Essex","80"
"Chinese","Gateshead","83"
"Chinese","Gloucestershire","93"
"Chinese","Greenwich","90"
"Chinese","Hackney","93"
"Chinese","Halton","N/A"
"Chinese","Hammersmith and Fulham","88"
"Chinese","Hampshire","92"
"Chinese","Haringey","75"
"Chinese","Harrow","87"
"Chinese","Hartlepool","80"
"Chinese","Havering","88"
"Chinese","Herefordshire, County of","100"
"Chinese","Hertfordshire","92"
"Chinese","Hillingdon","82"
"Chinese","Hounslow","88"
"Chinese","Isle of Wight","100"
"Chinese","Isles of Scilly","!"
"Chinese","Islington","100"
"Chinese","Kensington and Chelsea","60"
"Chinese","Kent","75"
"Chinese","Kingston upon Hull, City of","100"
"Chinese","Kingston upon Thames","94"
"Chinese","Kirklees","73"
"Chinese","Knowsley","100"
"Chinese","Lambeth","86"
"Chinese","Lancashire","70"
"Chinese","Leeds","77"
"Chinese","Leicester","74"
"Chinese","Leicestershire","77"
"Chinese","Lewisham","76"
"Chinese","Lincolnshire","86"
"Chinese","Liverpool","78"
"Chinese","Luton","71"
"Chinese","Manchester","85"
"Chinese","Medway","91"
"Chinese","Merton","71"
"Chinese","Middlesbrough","50"
"Chinese","Milton Keynes","95"
"Chinese","Newcastle upon Tyne","87"
"Chinese","Newham","80"
"Chinese","Norfolk","76"
"Chinese","North East Lincolnshire","100"
"Chinese","North Lincolnshire","83"
"Chinese","North Somerset","80"
"Chinese","North Tyneside","100"
"Chinese","North Yorkshire","75"
"Chinese","Northamptonshire","89"
"Chinese","Northumberland","88"
"Chinese","Nottingham","85"
"Chinese","Nottinghamshire","86"
"Chinese","Oldham","44"
"Chinese","Oxfordshire","85"
"Chinese","Peterborough","64"
"Chinese","Plymouth","89"
"Chinese","Poole","50"
"Chinese","Portsmouth","92"
"Chinese","Reading","77"
"Chinese","Redbridge","93"
"Chinese","Redcar and Cleveland","100"
"Chinese","Richmond upon Thames","85"
"Chinese","Rochdale","75"
