"Ethnicity","Local Authority","Rate","Number"
"Chinese","Somerset","0.85","1"
"Chinese","South Gloucestershire","0.00","0"
"Chinese","South Tyneside","0.00","0"
"Chinese","Southampton","0.00","0"
"Chinese","Southend-on-Sea","0.00","0"
"Chinese","Southwark","0.00","0"
"Chinese","St. Helens","0.00","0"
"Chinese","Staffordshire","0.00","0"
"Chinese","Stockport","0.00","0"
"Chinese","Stockton-on-Tees","0.00","0"
"Chinese","Stoke-on-Trent","0.00","0"
"Chinese","Suffolk","0.00","0"
"Chinese","Sunderland","0.00","0"
"Chinese","Surrey","0.00","0"
"Chinese","Sutton","0.00","0"
"Chinese","Swindon","0.00","0"
"Chinese","Tameside","0.00","0"
"Chinese","Telford and Wrekin","0.00","0"
"Chinese","Thurrock","0.00","0"
"Chinese","Torbay","0.00","0"
"Chinese","Tower Hamlets","0.00","0"
"Chinese","Trafford","0.00","0"
"Chinese","Wakefield","0.56","1"
"Chinese","Walsall","0.00","0"
"Chinese","Waltham Forest","0.00","0"
"Chinese","Wandsworth","0.00","0"
"Chinese","Warrington","0.00","0"
"Chinese","Warwickshire","0.00","0"
"Chinese","West Berkshire","0.00","0"
"Chinese","West Sussex","0.00","0"
"Chinese","Westminster","0.00","0"
"Chinese","Wigan","0.00","0"
"Chinese","Wiltshire","0.00","0"
"Chinese","Windsor and Maidenhead","0.00","0"
"Chinese","Wirral","0.00","0"
"Chinese","Wokingham","0.00","0"
"Chinese","Wolverhampton","0.00","0"
"Chinese","Worcestershire","0.00","0"
"Chinese","York","0.00","0"
"Mixed","Barking and Dagenham","0.10","4"
"Mixed","Barnet","0.05","3"
"Mixed","Barnsley","0.37","3"
"Mixed","Bath and North East Somerset","0.07","1"
"Mixed","Bedford","0.28","8"
"Mixed","Bexley","0.09","3"
"Mixed","Birmingham","0.23","41"
"Mixed","Blackburn with Darwen","0.00","0"
"Mixed","Blackpool","0.00","0"
"Mixed","Bolton","0.14","3"
"Mixed","Bournemouth","0.36","6"
"Mixed","Bracknell Forest","0.10","1"
"Mixed","Bradford","0.02","1"
"Mixed","Brent","0.13","5"
"Mixed","Brighton and Hove","0.03","1"
"Mixed","Bristol City of","0.02","1"
"Mixed","Bromley","0.11","6"
"Mixed","Buckinghamshire","0.16","10"
"Mixed","Bury","0.28","4"
"Mixed","Calderdale","0.07","1"
"Mixed","Cambridgeshire","0.00","0"
"Mixed","Camden","0.07","2"
"Mixed","Central Bedfordshire","0.25","7"
"Mixed","Cheshire East","0.00","0"
"Mixed","Cheshire West and Chester","0.15","2"
"Mixed","City of London","0.00","0"
"Mixed","Cornwall","0.42","7"
"Mixed","Coventry","0.13","5"
"Mixed","Croydon","0.10","9"
"Mixed","Cumbria","0.00","0"
"Mixed","Darlington","0.00","0"
"Mixed","Derby","0.56","18"
"Mixed","Derbyshire","0.23","7"
"Mixed","Devon","0.04","1"
"Mixed","Doncaster","0.27","4"
"Mixed","Dorset","0.19","3"
"Mixed","Dudley","0.33","11"
"Mixed","Durham","0.09","1"
"Mixed","Ealing","0.19","9"
"Mixed","East Riding of Yorkshire","0.00","0"
"Mixed","East Sussex","0.15","5"
"Mixed","Enfield","0.02","1"
"Mixed","Essex","0.03","3"
"Mixed","Gateshead","0.16","1"
"Mixed","Gloucestershire","0.26","11"
"Mixed","Greenwich","0.10","5"
"Mixed","Hackney","0.21","8"
"Mixed","Halton","0.39","2"
"Mixed","Hammersmith and Fulham","0.04","1"
"Mixed","Hampshire","0.03","2"
"Mixed","Haringey","0.02","1"
"Mixed","Harrow","0.13","4"
"Mixed","Hartlepool","0.00","0"
"Mixed","Havering","0.07","2"
"Mixed","Herefordshire","0.00","0"
"Mixed","Hertfordshire","0.08","12"
"Mixed","Hillingdon","0.05","3"
"Mixed","Hounslow","0.10","4"
"Mixed","Isle of Wight","0.00","0"
"Mixed","Isles Of Scilly","0.00","0"
"Mixed","Islington","0.18","7"
"Mixed","Kensington and Chelsea","0.17","4"
"Mixed","Kent","0.02","2"
"Mixed","Kingston upon Hull City of","0.00","0"
"Mixed","Kingston upon Thames","0.11","3"
"Mixed","Kirklees","0.29","13"
"Mixed","Knowsley","0.00","0"
"Mixed","Lambeth","0.05","3"
"Mixed","Lancashire","0.35","20"
"Mixed","Leeds","0.02","2"
"Mixed","Leicester","0.14","6"
"Mixed","Leicestershire","0.02","1"
"Mixed","Lewisham","0.08","5"
"Mixed","Lincolnshire","0.03","1"
"Mixed","Liverpool","0.10","4"
"Mixed","Luton","0.15","5"
"Mixed","Manchester","0.14","11"
"Mixed","Medway","0.13","4"
"Mixed","Merton","0.12","4"
"Mixed","Middlesbrough","0.22","3"
"Mixed","Milton Keynes","0.03","1"
"Mixed","Newcastle upon Tyne","0.05","1"
"Mixed","Newham","0.09","4"
"Mixed","Norfolk","0.16","6"
"Mixed","North East Lincolnshire","0.15","1"
"Mixed","North Lincolnshire","0.00","0"
"Mixed","North Somerset","0.38","4"
"Mixed","North Tyneside","0.00","0"
"Mixed","North Yorkshire","0.24","5"
"Mixed","Northamptonshire","0.18","12"
"Mixed","Northumberland","0.00","0"
"Mixed","Nottingham","0.15","9"
"Mixed","Nottinghamshire","0.09","5"
"Mixed","Oldham","0.33","7"
"Mixed","Oxfordshire","0.19","12"
"Mixed","Peterborough","0.24","6"
"Mixed","Plymouth","0.17","2"
"Mixed","Poole","0.00","0"
"Mixed","Portsmouth","0.00","0"
"Mixed","Reading","0.08","2"
"Mixed","Redbridge","0.05","2"
"Mixed","Redcar and Cleveland","0.86","4"
"Mixed","Richmond upon Thames","0.16","5"
"Mixed","Rochdale","0.61","11"
"Mixed","Rotherham","0.00","0"
"Mixed","Rutland","0.00","0"
"Mixed","Salford","0.07","2"
"Mixed","Sandwell","0.12","6"
"Mixed","Sefton","0.09","1"
"Mixed","Sheffield","0.35","22"
"Mixed","Shropshire","0.00","0"
"Mixed","Slough","0.17","5"
"Mixed","Solihull","0.19","6"
"Mixed","Somerset","0.16","3"
"Mixed","South Gloucestershire","0.10","2"
