"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Geography","Type of school","Value","Numerator","Denominator"
"Permanent exclusions","201718","Academic Year","White other","ONS 18+1","England","Total","0.054888588","282","513768"
"Permanent exclusions","201617","Academic Year","All Ethnic Minorities","ONS 18+1","England","special","0.072617056","23","31673"
"Permanent exclusions","201617","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded primary","0.01847379","282","1526487"
"Permanent exclusions","201617","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded secondary","0.190057283","1788","940769"
"Permanent exclusions","201617","Academic Year","All Ethnic Minorities","ONS 18+1","England","Total","0.083755881","2093","2498929"
"Permanent exclusions","201617","Academic Year","Asian","ONS 5+1","England","special","0.027432334","3","10936"
"Permanent exclusions","201617","Academic Year","Asian","ONS 5+1","England","State-funded primary","0.003300003","17","515151"
"Permanent exclusions","201617","Academic Year","Asian","ONS 5+1","England","State-funded secondary","0.083855987","290","345831"
"Permanent exclusions","201617","Academic Year","Asian","ONS 5+1","England","Total","0.035553802","310","871918"
"Permanent exclusions","201617","Academic Year","Asian other","ONS 18+1","England","special","0.054347826","1","1840"
"Permanent exclusions","201617","Academic Year","Asian other","ONS 18+1","England","State-funded primary","0.002328478","2","85893"
"Permanent exclusions","201617","Academic Year","Asian other","ONS 18+1","England","State-funded secondary","0.047546931","27","56786"
"Permanent exclusions","201617","Academic Year","Asian other","ONS 18+1","England","Total","0.020758516","30","144519"
"Permanent exclusions","201617","Academic Year","Bangladeshi","ONS 18+1","England","special","0.054975261","1","1819"
"Permanent exclusions","201617","Academic Year","Bangladeshi","ONS 18+1","England","State-funded primary","0","0","80275"
"Permanent exclusions","201617","Academic Year","Bangladeshi","ONS 18+1","England","State-funded secondary","0.071955072","41","56980"
"Permanent exclusions","201617","Academic Year","Bangladeshi","ONS 18+1","England","Total","0.03019975","42","139074"
"Permanent exclusions","201617","Academic Year","Black","ONS 5+1","England","special","0.079218379","6","7574"
"Permanent exclusions","201617","Academic Year","Black","ONS 5+1","England","State-funded primary","0.031238095","82","262500"
