"Ethnicity","category","year","value","value type","","",""
"Black other ","BEM","Jun-15","0","number ","","",""
"Other inc Chinese","BEM","Jun-15","2","number ","","",""
"Chinese","BEM","Jun-15","1","number ","","",""
"Any other","BEM","Jun-15","1","number ","","",""
"All","BEM","Jun-15","288","number ","","",""
"White","All","Jun-15","1051","number ","","",""
"White British","All","Jun-15","1037","number ","","",""
"White other","All","Jun-15","14","number ","","",""
"Mixed","All","Jun-15","7","number ","","",""
"Mixed White/Black Caribbean","All","Jun-15","3","number ","","",""
"Mixed White/Black African","All","Jun-15","0","number ","","",""
"Mixed White/Asian","All","Jun-15","3","number ","","",""
"Mixed other","All","Jun-15","1","number ","","",""
"Asian","All","Jun-15","38","number ","","",""
"Indian","All","Jun-15","25","number ","","",""
"Pakistani","All","Jun-15","9","number ","","",""
"Bangladeshi","All","Jun-15","2","number ","","",""
"Asian other","All","Jun-15","2","number ","","",""
"Black","All","Jun-15","27","number ","","",""
"Black Caribbean","All","Jun-15","13","number ","","",""
"Black African","All","Jun-15","8","number ","","",""
"Black other ","All","Jun-15","6","number ","","",""
"Other inc Chinese","All","Jun-15","7","number ","","",""
"Chinese","All","Jun-15","4","number ","","",""
"Any other","All","Jun-15","3","number ","","",""
"All","All","Jun-15","1130","number ","","",""
"White","Higher","Jun-15","84.61538","%","","",""
"White British","Higher","Jun-15","82.05128","%","","",""
"White other","Higher","Jun-15","2.5641","%","","",""
"Mixed","Higher","Jun-15","5.12821","%","","",""
"Mixed White/Black Caribbean","Higher","Jun-15","0","%","","",""
"Mixed White/Black African","Higher","Jun-15","0","%","","",""
"Mixed White/Asian","Higher","Jun-15","2.5641","%","","",""
"Mixed other","Higher","Jun-15","2.5641","%","","",""
"Asian","Higher","Jun-15","7.69231","%","","",""
"Indian","Higher","Jun-15","2.5641","%","","",""
"Pakistani","Higher","Jun-15","2.5641","%","","",""
"Bangladeshi","Higher","Jun-15","0","%","","",""
"Asian other","Higher","Jun-15","2.5641","%","","",""
"Black","Higher","Jun-15","2.5641","%","","",""
"Black Caribbean","Higher","Jun-15","2.5641","%","","",""
"Black African","Higher","Jun-15","0","%","","",""
"Black other ","Higher","Jun-15","0","%","","",""
"Other inc Chinese","Higher","Jun-15","0","%","","",""
"Chinese","Higher","Jun-15","0","%","","",""
"Any other","Higher","Jun-15","0","%","","",""
"All","Higher","Jun-15","100","%","","",""
"White","CBE","Jun-15","94.39252","%","","",""
"White British","CBE","Jun-15","90.65421","%","","",""
"White other","CBE","Jun-15","3.73832","%","","",""
"Mixed","CBE","Jun-15","0","%","","",""
"Mixed White/Black Caribbean","CBE","Jun-15","0","%","","",""
"Mixed White/Black African","CBE","Jun-15","0","%","","",""
"Mixed White/Asian","CBE","Jun-15","0","%","","",""
"Mixed other","CBE","Jun-15","0","%","","",""
"Asian","CBE","Jun-15","4.6729","%","","",""
"Indian","CBE","Jun-15","4.6729","%","","",""
"Pakistani","CBE","Jun-15","0","%","","",""
"Bangladeshi","CBE","Jun-15","0","%","","",""
"Asian other","CBE","Jun-15","0","%","","",""
"Black","CBE","Jun-15","0.93458","%","","",""
"Black Caribbean","CBE","Jun-15","0","%","","",""
"Black African","CBE","Jun-15","0.93458","%","","",""
"Black other ","CBE","Jun-15","0","%","","",""
"Other inc Chinese","CBE","Jun-15","0","%","","",""
"Chinese","CBE","Jun-15","0","%","","",""
"Any other","CBE","Jun-15","0","%","","",""
"All","CBE","Jun-15","100","%","","",""
"White","OBE","Jun-15","94.66667","%","","",""
"White British","OBE","Jun-15","94.22222","%","","",""
"White other","OBE","Jun-15","0.44444","%","","",""
"Mixed","OBE","Jun-15","0.44444","%","","",""
"Mixed White/Black Caribbean","OBE","Jun-15","0.44444","%","","",""
"Mixed White/Black African","OBE","Jun-15","0","%","","",""
"Mixed White/Asian","OBE","Jun-15","0","%","","",""
"Mixed other","OBE","Jun-15","0","%","","",""
"Asian","OBE","Jun-15","0.88889","%","","",""
"Indian","OBE","Jun-15","0.44444","%","","",""
"Pakistani","OBE","Jun-15","0.44444","%","","",""
"Bangladeshi","OBE","Jun-15","0","%","","",""
"Asian other","OBE","Jun-15","0","%","","",""
"Black","OBE","Jun-15","3.11111","%","","",""
"Black Caribbean","OBE","Jun-15","1.33333","%","","",""
"Black African","OBE","Jun-15","1.33333","%","","",""
"Black other ","OBE","Jun-15","0.44444","%","","",""
"Other inc Chinese","OBE","Jun-15","0.88889","%","","",""
"Chinese","OBE","Jun-15","0.44444","%","","",""
"Any other","OBE","Jun-15","0.44444","%","","",""
"All","OBE","Jun-15","100","%","","",""
"White","MBE","Jun-15","91.29512","%","","",""
"White British","MBE","Jun-15","89.80892","%","","",""
"White other","MBE","Jun-15","1.4862","%","","",""
"Mixed","MBE","Jun-15","0.84926","%","","",""
"Mixed White/Black Caribbean","MBE","Jun-15","0.42463","%","","",""
"Mixed White/Black African","MBE","Jun-15","0","%","","",""
"Mixed White/Asian","MBE","Jun-15","0.42463","%","","",""
"Mixed other","MBE","Jun-15","0","%","","",""
"Asian","MBE","Jun-15","3.82166","%","","",""
"Indian","MBE","Jun-15","2.54777","%","","",""
"Pakistani","MBE","Jun-15","1.27389","%","","",""
"Bangladeshi","MBE","Jun-15","0","%","","",""
"Asian other","MBE","Jun-15","0","%","","",""
"Black","MBE","Jun-15","3.39703","%","","",""
"Black Caribbean","MBE","Jun-15","1.69851","%","","",""
"Black African","MBE","Jun-15","0.63694","%","","",""
"Black other ","MBE","Jun-15","1.06157","%","","",""
"Other inc Chinese","MBE","Jun-15","0.63694","%","","",""
"Chinese","MBE","Jun-15","0.42463","%","","",""
"Any other","MBE","Jun-15","0.21231","%","","",""
"All","MBE","Jun-15","100","%","","",""
"White","BEM","Jun-15","95.13889","%","","",""
"White British","BEM","Jun-15","94.79167","%","","",""
"White other","BEM","Jun-15","0.34722","%","","",""
"Mixed","BEM","Jun-15","0","%","","",""
"Mixed White/Black Caribbean","BEM","Jun-15","0","%","","",""
"Mixed White/Black African","BEM","Jun-15","0","%","","",""
"Mixed White/Asian","BEM","Jun-15","0","%","","",""
"Mixed other","BEM","Jun-15","0","%","","",""
"Asian","BEM","Jun-15","3.47222","%","","",""
"Indian","BEM","Jun-15","2.08333","%","","",""
"Pakistani","BEM","Jun-15","0.34722","%","","",""
"Bangladeshi","BEM","Jun-15","0.69444","%","","",""
"Asian other","BEM","Jun-15","0.34722","%","","",""
"Black","BEM","Jun-15","0.69444","%","","",""
"Black Caribbean","BEM","Jun-15","0.34722","%","","",""
"Black African","BEM","Jun-15","0.34722","%","","",""
"Black other ","BEM","Jun-15","0","%","","",""
"Other inc Chinese","BEM","Jun-15","0.69444","%","","",""
"Chinese","BEM","Jun-15","0.34722","%","","",""
"Any other","BEM","Jun-15","0.34722","%","","",""
"All","BEM","Jun-15","100","%","","",""
"White","All","Jun-15","93.00885","%","","",""
"White British","All","Jun-15","91.76991","%","","",""
"White other","All","Jun-15","1.23894","%","","",""
"Mixed","All","Jun-15","0.61947","%","","",""
"Mixed White/Black Caribbean","All","Jun-15","0.26549","%","","",""
"Mixed White/Black African","All","Jun-15","0","%","","",""
"Mixed White/Asian","All","Jun-15","0.26549","%","","",""
"Mixed other","All","Jun-15","0.0885","%","","",""
"Asian","All","Jun-15","3.36283","%","","",""
"Indian","All","Jun-15","2.21239","%","","",""
"Pakistani","All","Jun-15","0.79646","%","","",""
"Bangladeshi","All","Jun-15","0.17699","%","","",""
"Asian other","All","Jun-15","0.17699","%","","",""
"Black","All","Jun-15","2.38938","%","","",""
"Black Caribbean","All","Jun-15","1.15044","%","","",""
"Black African","All","Jun-15","0.70796","%","","",""
"Black other ","All","Jun-15","0.53097","%","","",""
"Other inc Chinese","All","Jun-15","0.61947","%","","",""
"Chinese","All","Jun-15","0.35398","%","","",""
"Any other","All","Jun-15","0.26549","%","","",""
"All","All","Jun-15","100","%","","",""
"Unknown ","Higher","Jun-15","8","number ","","",""
"Unknown ","CBE","Jun-15","0","number ","","",""
"Unknown ","OBE","Jun-15","12","number ","","",""
"Unknown ","MBE","Jun-15","10","number ","","",""
"Unknown ","BEM","Jun-15","7","number ","","",""
"Unknown ","All","Jun-15","37","number ","","",""
"White","Higher","Dec-14","39","number ","","",""
"White British","Higher","Dec-14","38","number ","","",""
"White other","Higher","Dec-14","1","number ","","",""
"Mixed","Higher","Dec-14","1","number ","","",""
"Mixed White/Black Caribbean","Higher","Dec-14","0","number ","","",""
"Mixed White/Black African","Higher","Dec-14","1","number ","","",""
"Mixed White/Asian","Higher","Dec-14","0","number ","","",""
"Mixed other","Higher","Dec-14","0","number ","","",""
"Asian","Higher","Dec-14","1","number ","","",""
"Indian","Higher","Dec-14","1","number ","","",""
"Pakistani","Higher","Dec-14","0","number ","","",""
"Bangladeshi","Higher","Dec-14","0","number ","","",""
"Asian other","Higher","Dec-14","0","number ","","",""
"Black","Higher","Dec-14","0","number ","","",""
"Black Caribbean","Higher","Dec-14","0","number ","","",""
"Black African","Higher","Dec-14","0","number ","","",""
"Black other ","Higher","Dec-14","0","number ","","",""
"Other inc Chinese","Higher","Dec-14","1","number ","","",""
"Chinese","Higher","Dec-14","1","number ","","",""
"Any other","Higher","Dec-14","0","number ","","",""
"All","Higher","Dec-14","42","number ","","",""
"White","CBE","Dec-14","104","number ","","",""
"White British","CBE","Dec-14","102","number ","","",""
"White other","CBE","Dec-14","2","number ","","",""
"Mixed","CBE","Dec-14","1","number ","","",""
"Mixed White/Black Caribbean","CBE","Dec-14","0","number ","","",""
"Mixed White/Black African","CBE","Dec-14","0","number ","","",""
"Mixed White/Asian","CBE","Dec-14","1","number ","","",""
"Mixed other","CBE","Dec-14","0","number ","","",""
"Asian","CBE","Dec-14","3","number ","","",""
"Indian","CBE","Dec-14","1","number ","","",""
"Pakistani","CBE","Dec-14","2","number ","","",""
"Bangladeshi","CBE","Dec-14","0","number ","","",""
"Asian other","CBE","Dec-14","0","number ","","",""
"Black","CBE","Dec-14","0","number ","","",""
"Black Caribbean","CBE","Dec-14","0","number ","","",""
"Black African","CBE","Dec-14","0","number ","","",""
"Black other ","CBE","Dec-14","0","number ","","",""
"Other inc Chinese","CBE","Dec-14","0","number ","","",""
"Chinese","CBE","Dec-14","0","number ","","",""
"Any other","CBE","Dec-14","0","number ","","",""
"All","CBE","Dec-14","108","number ","","",""
"White","OBE","Dec-14","219","number ","","",""
"White British","OBE","Dec-14","213","number ","","",""
"White other","OBE","Dec-14","6","number ","","",""
"Mixed","OBE","Dec-14","2","number ","","",""
"Mixed White/Black Caribbean","OBE","Dec-14","0","number ","","",""
"Mixed White/Black African","OBE","Dec-14","1","number ","","",""
"Mixed White/Asian","OBE","Dec-14","1","number ","","",""
"Mixed other","OBE","Dec-14","0","number ","","",""
"Asian","OBE","Dec-14","9","number ","","",""
"Indian","OBE","Dec-14","8","number ","","",""
"Pakistani","OBE","Dec-14","1","number ","","",""
"Bangladeshi","OBE","Dec-14","0","number ","","",""
"Asian other","OBE","Dec-14","0","number ","","",""
"Black","OBE","Dec-14","2","number ","","",""
"Black Caribbean","OBE","Dec-14","2","number ","","",""
"Black African","OBE","Dec-14","0","number ","","",""
"Black other ","OBE","Dec-14","0","number ","","",""
"Other inc Chinese","OBE","Dec-14","0","number ","","",""
"Chinese","OBE","Dec-14","0","number ","","",""
"Any other","OBE","Dec-14","0","number ","","",""
"All","OBE","Dec-14","232","number ","","",""
"White","MBE","Dec-14","420","number ","","",""
"White British","MBE","Dec-14","419","number ","","",""
"White other","MBE","Dec-14","1","number ","","",""
"Mixed","MBE","Dec-14","3","number ","","",""
"Mixed White/Black Caribbean","MBE","Dec-14","1","number ","","",""
"Mixed White/Black African","MBE","Dec-14","0","number ","","",""
"Mixed White/Asian","MBE","Dec-14","1","number ","","",""
"Mixed other","MBE","Dec-14","1","number ","","",""
"Asian","MBE","Dec-14","23","number ","","",""
"Indian","MBE","Dec-14","8","number ","","",""
"Pakistani","MBE","Dec-14","7","number ","","",""
"Bangladeshi","MBE","Dec-14","2","number ","","",""
"Asian other","MBE","Dec-14","6","number ","","",""
"Black","MBE","Dec-14","13","number ","","",""
"Black Caribbean","MBE","Dec-14","9","number ","","",""
"Black African","MBE","Dec-14","3","number ","","",""
"Black other ","MBE","Dec-14","1","number ","","",""
"Other inc Chinese","MBE","Dec-14","2","number ","","",""
"Chinese","MBE","Dec-14","2","number ","","",""
"Any other","MBE","Dec-14","0","number ","","",""
"All","MBE","Dec-14","461","number ","","",""
"White","BEM","Dec-14","279","number ","","",""
"White British","BEM","Dec-14","279","number ","","",""
"White other","BEM","Dec-14","0","number ","","",""
"Mixed","BEM","Dec-14","2","number ","","",""
"Mixed White/Black Caribbean","BEM","Dec-14","1","number ","","",""
"Mixed White/Black African","BEM","Dec-14","0","number ","","",""
"Mixed White/Asian","BEM","Dec-14","0","number ","","",""
"Mixed other","BEM","Dec-14","1","number ","","",""
"Asian","BEM","Dec-14","3","number ","","",""
"Indian","BEM","Dec-14","1","number ","","",""
"Pakistani","BEM","Dec-14","1","number ","","",""
"Bangladeshi","BEM","Dec-14","0","number ","","",""
"Asian other","BEM","Dec-14","1","number ","","",""
"Black","BEM","Dec-14","2","number ","","",""
"Black Caribbean","BEM","Dec-14","1","number ","","",""
"Black African","BEM","Dec-14","1","number ","","",""
"Black other ","BEM","Dec-14","0","number ","","",""
"Other inc Chinese","BEM","Dec-14","1","number ","","",""
"Chinese","BEM","Dec-14","0","number ","","",""
"Any other","BEM","Dec-14","1","number ","","",""
"All","BEM","Dec-14","287","number ","","",""
"White","All","Dec-14","1061","number ","","",""
"White British","All","Dec-14","1051","number ","","",""
"White other","All","Dec-14","10","number ","","",""
"Mixed","All","Dec-14","9","number ","","",""
"Mixed White/Black Caribbean","All","Dec-14","2","number ","","",""
"Mixed White/Black African","All","Dec-14","2","number ","","",""
"Mixed White/Asian","All","Dec-14","3","number ","","",""
"Mixed other","All","Dec-14","2","number ","","",""
"Asian","All","Dec-14","39","number ","","",""
"Indian","All","Dec-14","19","number ","","",""
"Pakistani","All","Dec-14","11","number ","","",""
"Bangladeshi","All","Dec-14","2","number ","","",""
"Asian other","All","Dec-14","7","number ","","",""
"Black","All","Dec-14","17","number ","","",""
"Black Caribbean","All","Dec-14","12","number ","","",""
"Black African","All","Dec-14","4","number ","","",""
"Black other ","All","Dec-14","1","number ","","",""
"Other inc Chinese","All","Dec-14","4","number ","","",""
"Chinese","All","Dec-14","3","number ","","",""
"Any other","All","Dec-14","1","number ","","",""
"All","All","Dec-14","1130","number ","","",""
"White","Higher","Dec-14","92.85714","%","","",""
"White British","Higher","Dec-14","90.47619","%","","",""
"White other","Higher","Dec-14","2.38095","%","","",""
"Mixed","Higher","Dec-14","2.38095","%","","",""
"Mixed White/Black Caribbean","Higher","Dec-14","0","%","","",""
"Mixed White/Black African","Higher","Dec-14","2.38095","%","","",""
"Mixed White/Asian","Higher","Dec-14","0","%","","",""
"Mixed other","Higher","Dec-14","0","%","","",""
"Asian","Higher","Dec-14","2.38095","%","","",""
"Indian","Higher","Dec-14","2.38095","%","","",""
"Pakistani","Higher","Dec-14","0","%","","",""
"Bangladeshi","Higher","Dec-14","0","%","","",""
"Asian other","Higher","Dec-14","0","%","","",""
"Black","Higher","Dec-14","0","%","","",""
"Black Caribbean","Higher","Dec-14","0","%","","",""
"Black African","Higher","Dec-14","0","%","","",""
"Black other ","Higher","Dec-14","0","%","","",""
"Other inc Chinese","Higher","Dec-14","2.38095","%","","",""
"Chinese","Higher","Dec-14","2.38095","%","","",""
"Any other","Higher","Dec-14","0","%","","",""
"All","Higher","Dec-14","100","%","","",""
"White","CBE","Dec-14","96.2963","%","","",""
"White British","CBE","Dec-14","94.44444","%","","",""
"White other","CBE","Dec-14","1.85185","%","","",""
"Mixed","CBE","Dec-14","0.92593","%","","",""
"Mixed White/Black Caribbean","CBE","Dec-14","0","%","","",""
"Mixed White/Black African","CBE","Dec-14","0","%","","",""
"Mixed White/Asian","CBE","Dec-14","0.92593","%","","",""
"Mixed other","CBE","Dec-14","0","%","","",""
"Asian","CBE","Dec-14","2.77778","%","","",""
"Indian","CBE","Dec-14","0.92593","%","","",""
"Pakistani","CBE","Dec-14","1.85185","%","","",""
"Bangladeshi","CBE","Dec-14","0","%","","",""
"Asian other","CBE","Dec-14","0","%","","",""
"Black","CBE","Dec-14","0","%","","",""
"Black Caribbean","CBE","Dec-14","0","%","","",""
"Black African","CBE","Dec-14","0","%","","",""
"Black other ","CBE","Dec-14","0","%","","",""
"Other inc Chinese","CBE","Dec-14","0","%","","",""
"Chinese","CBE","Dec-14","0","%","","",""
"Any other","CBE","Dec-14","0","%","","",""
"All","CBE","Dec-14","100","%","","",""
"White","OBE","Dec-14","94.39655","%","","",""
"White British","OBE","Dec-14","91.81034","%","","",""
"White other","OBE","Dec-14","2.58621","%","","",""
"Mixed","OBE","Dec-14","0.86207","%","","",""
"Mixed White/Black Caribbean","OBE","Dec-14","0","%","","",""
"Mixed White/Black African","OBE","Dec-14","0.43103","%","","",""
"Mixed White/Asian","OBE","Dec-14","0.43103","%","","",""
"Mixed other","OBE","Dec-14","0","%","","",""
"Asian","OBE","Dec-14","3.87931","%","","",""
"Indian","OBE","Dec-14","3.44828","%","","",""
"Pakistani","OBE","Dec-14","0.43103","%","","",""
"Bangladeshi","OBE","Dec-14","0","%","","",""
"Asian other","OBE","Dec-14","0","%","","",""
"Black","OBE","Dec-14","0.86207","%","","",""
"Black Caribbean","OBE","Dec-14","0.86207","%","","",""
"Black African","OBE","Dec-14","0","%","","",""
"Black other ","OBE","Dec-14","0","%","","",""
"Other inc Chinese","OBE","Dec-14","0","%","","",""
"Chinese","OBE","Dec-14","0","%","","",""
"Any other","OBE","Dec-14","0","%","","",""
"All","OBE","Dec-14","100","%","","",""
"White","MBE","Dec-14","91.10629","%","","",""
"White British","MBE","Dec-14","90.88937","%","","",""
"White other","MBE","Dec-14","0.21692","%","","",""
"Mixed","MBE","Dec-14","0.65076","%","","",""
"Mixed White/Black Caribbean","MBE","Dec-14","0.21692","%","","",""
"Mixed White/Black African","MBE","Dec-14","0","%","","",""
"Mixed White/Asian","MBE","Dec-14","0.21692","%","","",""
"Mixed other","MBE","Dec-14","0.21692","%","","",""
"Asian","MBE","Dec-14","4.98915","%","","",""
"Indian","MBE","Dec-14","1.73536","%","","",""
"Pakistani","MBE","Dec-14","1.51844","%","","",""
"Bangladeshi","MBE","Dec-14","0.43384","%","","",""
"Asian other","MBE","Dec-14","1.30152","%","","",""
"Black","MBE","Dec-14","2.81996","%","","",""
"Black Caribbean","MBE","Dec-14","1.95228","%","","",""
"Black African","MBE","Dec-14","0.65076","%","","",""
"Black other ","MBE","Dec-14","0.21692","%","","",""
"Other inc Chinese","MBE","Dec-14","0.43384","%","","",""
"Chinese","MBE","Dec-14","0.43384","%","","",""
"Any other","MBE","Dec-14","0","%","","",""
"All","MBE","Dec-14","100","%","","",""
"White","BEM","Dec-14","97.21254","%","","",""
"White British","BEM","Dec-14","97.21254","%","","",""
"White other","BEM","Dec-14","0","%","","",""
"Mixed","BEM","Dec-14","0.69686","%","","",""
"Mixed White/Black Caribbean","BEM","Dec-14","0.34843","%","","",""
"Mixed White/Black African","BEM","Dec-14","0","%","","",""
"Mixed White/Asian","BEM","Dec-14","0","%","","",""
"Mixed other","BEM","Dec-14","0.34843","%","","",""
"Asian","BEM","Dec-14","1.0453","%","","",""
"Indian","BEM","Dec-14","0.34843","%","","",""
"Pakistani","BEM","Dec-14","0.34843","%","","",""
"Bangladeshi","BEM","Dec-14","0","%","","",""
"Asian other","BEM","Dec-14","0.34843","%","","",""
"Black","BEM","Dec-14","0.69686","%","","",""
"Black Caribbean","BEM","Dec-14","0.34843","%","","",""
"Black African","BEM","Dec-14","0.34843","%","","",""
"Black other ","BEM","Dec-14","0","%","","",""
"Other inc Chinese","BEM","Dec-14","0.34843","%","","",""
"Chinese","BEM","Dec-14","0","%","","",""
"Any other","BEM","Dec-14","0.34843","%","","",""
"All","BEM","Dec-14","100","%","","",""
"White","All","Dec-14","93.89381","%","","",""
"White British","All","Dec-14","93.00885","%","","",""
"White other","All","Dec-14","0.88496","%","","",""
"Mixed","All","Dec-14","0.79646","%","","",""
"Mixed White/Black Caribbean","All","Dec-14","0.17699","%","","",""
"Mixed White/Black African","All","Dec-14","0.17699","%","","",""
"Mixed White/Asian","All","Dec-14","0.26549","%","","",""
"Mixed other","All","Dec-14","0.17699","%","","",""
"Asian","All","Dec-14","3.45133","%","","",""
"Indian","All","Dec-14","1.68142","%","","",""
"Pakistani","All","Dec-14","0.97345","%","","",""
"Bangladeshi","All","Dec-14","0.17699","%","","",""
"Asian other","All","Dec-14","0.61947","%","","",""
"Black","All","Dec-14","1.50442","%","","",""
"Black Caribbean","All","Dec-14","1.06195","%","","",""
"Black African","All","Dec-14","0.35398","%","","",""
"Black other ","All","Dec-14","0.0885","%","","",""
"Other inc Chinese","All","Dec-14","0.35398","%","","",""
"Chinese","All","Dec-14","0.26549","%","","",""
"Any other","All","Dec-14","0.0885","%","","",""
"All","All","Dec-14","100","%","","",""
"Unknown ","Higher","Dec-14","9","number ","","",""
"Unknown ","CBE","Dec-14","0","number ","","",""
"Unknown ","OBE","Dec-14","11","number ","","",""
"Unknown ","MBE","Dec-14","12","number ","","",""
"Unknown ","BEM","Dec-14","5","number ","","",""
"Unknown ","All","Dec-14","37","number ","","",""
"White","Higher","Jun-14","37","number ","","",""
"White British","Higher","Jun-14","37","number ","","",""
"White other","Higher","Jun-14","0","number ","","",""
"Mixed","Higher","Jun-14","2","number ","","",""
"Mixed White/Black Caribbean","Higher","Jun-14","0","number ","","",""
"Mixed White/Black African","Higher","Jun-14","1","number ","","",""
"Mixed White/Asian","Higher","Jun-14","1","number ","","",""
"Mixed other","Higher","Jun-14","0","number ","","",""
"Asian","Higher","Jun-14","0","number ","","",""
"Indian","Higher","Jun-14","0","number ","","",""
"Pakistani","Higher","Jun-14","0","number ","","",""
"Bangladeshi","Higher","Jun-14","0","number ","","",""
"Asian other","Higher","Jun-14","0","number ","","",""
"Black","Higher","Jun-14","0","number ","","",""
"Black Caribbean","Higher","Jun-14","0","number ","","",""
"Black African","Higher","Jun-14","0","number ","","",""
"Black other ","Higher","Jun-14","0","number ","","",""
"Other inc Chinese","Higher","Jun-14","0","number ","","",""
"Chinese","Higher","Jun-14","0","number ","","",""
"Any other","Higher","Jun-14","0","number ","","",""
"All","Higher","Jun-14","39","number ","","",""
"White","CBE","Jun-14","101","number ","","",""
"White British","CBE","Jun-14","98","number ","","",""
"White other","CBE","Jun-14","3","number ","","",""
"Mixed","CBE","Jun-14","0","number ","","",""
"Mixed White/Black Caribbean","CBE","Jun-14","0","number ","","",""
"Mixed White/Black African","CBE","Jun-14","0","number ","","",""
"Mixed White/Asian","CBE","Jun-14","0","number ","","",""
"Mixed other","CBE","Jun-14","0","number ","","",""
"Asian","CBE","Jun-14","4","number ","","",""
"Indian","CBE","Jun-14","1","number ","","",""
"Pakistani","CBE","Jun-14","2","number ","","",""
"Bangladeshi","CBE","Jun-14","0","number ","","",""
"Asian other","CBE","Jun-14","1","number ","","",""
"Black","CBE","Jun-14","1","number ","","",""
"Black Caribbean","CBE","Jun-14","1","number ","","",""
"Black African","CBE","Jun-14","0","number ","","",""
"Black other ","CBE","Jun-14","0","number ","","",""
"Other inc Chinese","CBE","Jun-14","1","number ","","",""
"Chinese","CBE","Jun-14","1","number ","","",""
"Any other","CBE","Jun-14","0","number ","","",""
"All","CBE","Jun-14","107","number ","","",""
"White","OBE","Jun-14","205","number ","","",""
"White British","OBE","Jun-14","201","number ","","",""
"White other","OBE","Jun-14","4","number ","","",""
"Mixed","OBE","Jun-14","1","number ","","",""
"Mixed White/Black Caribbean","OBE","Jun-14","1","number ","","",""
"Mixed White/Black African","OBE","Jun-14","0","number ","","",""
"Mixed White/Asian","OBE","Jun-14","0","number ","","",""
"Mixed other","OBE","Jun-14","0","number ","","",""
"Asian","OBE","Jun-14","11","number ","","",""
"Indian","OBE","Jun-14","7","number ","","",""
"Pakistani","OBE","Jun-14","2","number ","","",""
"Bangladeshi","OBE","Jun-14","1","number ","","",""
"Asian other","OBE","Jun-14","1","number ","","",""
"Black","OBE","Jun-14","7","number ","","",""
"Black Caribbean","OBE","Jun-14","6","number ","","",""
"Black African","OBE","Jun-14","1","number ","","",""
"Black other ","OBE","Jun-14","0","number ","","",""
"Other inc Chinese","OBE","Jun-14","1","number ","","",""
"Chinese","OBE","Jun-14","0","number ","","",""
"Any other","OBE","Jun-14","1","number ","","",""
"All","OBE","Jun-14","225","number ","","",""
"White","MBE","Jun-14","433","number ","","",""
"White British","MBE","Jun-14","425","number ","","",""
"White other","MBE","Jun-14","8","number ","","",""
"Mixed","MBE","Jun-14","4","number ","","",""
"Mixed White/Black Caribbean","MBE","Jun-14","1","number ","","",""
"Mixed White/Black African","MBE","Jun-14","0","number ","","",""
"Mixed White/Asian","MBE","Jun-14","3","number ","","",""
"Mixed other","MBE","Jun-14","0","number ","","",""
"Asian","MBE","Jun-14","17","number ","","",""
"Indian","MBE","Jun-14","12","number ","","",""
"Pakistani","MBE","Jun-14","3","number ","","",""
"Bangladeshi","MBE","Jun-14","1","number ","","",""
"Asian other","MBE","Jun-14","1","number ","","",""
"Black","MBE","Jun-14","10","number ","","",""
"Black Caribbean","MBE","Jun-14","8","number ","","",""
"Black African","MBE","Jun-14","2","number ","","",""
"Black other ","MBE","Jun-14","0","number ","","",""
"Other inc Chinese","MBE","Jun-14","2","number ","","",""
"Chinese","MBE","Jun-14","1","number ","","",""
"Any other","MBE","Jun-14","1","number ","","",""
"All","MBE","Jun-14","466","number ","","",""
"White","BEM","Jun-14","280","number ","","",""
"White British","BEM","Jun-14","276","number ","","",""
"White other","BEM","Jun-14","4","number ","","",""
"Mixed","BEM","Jun-14","2","number ","","",""
"Mixed White/Black Caribbean","BEM","Jun-14","0","number ","","",""
"Mixed White/Black African","BEM","Jun-14","0","number ","","",""
"Mixed White/Asian","BEM","Jun-14","1","number ","","",""
"Mixed other","BEM","Jun-14","1","number ","","",""
"Asian","BEM","Jun-14","6","number ","","",""
"Indian","BEM","Jun-14","4","number ","","",""
"Pakistani","BEM","Jun-14","2","number ","","",""
"Bangladeshi","BEM","Jun-14","0","number ","","",""
"Asian other","BEM","Jun-14","0","number ","","",""
"Black","BEM","Jun-14","3","number ","","",""
"Black Caribbean","BEM","Jun-14","2","number ","","",""
"Black African","BEM","Jun-14","0","number ","","",""
"Black other ","BEM","Jun-14","1","number ","","",""
"Other inc Chinese","BEM","Jun-14","1","number ","","",""
"Chinese","BEM","Jun-14","0","number ","","",""
"Any other","BEM","Jun-14","1","number ","","",""
"All","BEM","Jun-14","292","number ","","",""
"White","All","Jun-14","1056","number ","","",""
"White British","All","Jun-14","1037","number ","","",""
"White other","All","Jun-14","19","number ","","",""
"Mixed","All","Jun-14","9","number ","","",""
"Mixed White/Black Caribbean","All","Jun-14","2","number ","","",""
"Mixed White/Black African","All","Jun-14","1","number ","","",""
"Mixed White/Asian","All","Jun-14","5","number ","","",""
"Mixed other","All","Jun-14","1","number ","","",""
"Asian","All","Jun-14","38","number ","","",""
"Indian","All","Jun-14","24","number ","","",""
"Pakistani","All","Jun-14","9","number ","","",""
"Bangladeshi","All","Jun-14","2","number ","","",""
"Asian other","All","Jun-14","3","number ","","",""
"Black","All","Jun-14","21","number ","","",""
"Black Caribbean","All","Jun-14","17","number ","","",""
"Black African","All","Jun-14","3","number ","","",""
"Black other ","All","Jun-14","1","number ","","",""
"Other inc Chinese","All","Jun-14","5","number ","","",""
"Chinese","All","Jun-14","2","number ","","",""
"Any other","All","Jun-14","3","number ","","",""
"All","All","Jun-14","1129","number ","","",""
