"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£600 to £699","All","11","178","1559","1784"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£700 to £799","All","8","107","1289","1453"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£800 to £899","All","6","64","1113","1200"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£900 to £999","All","5","46","891","1001"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£1000 and above","All","3","126","4562","4753"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All Income","All","16","3024","18695","21845"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","Up to £99","All","58","30","51","56"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£100 to £199","All","48","147","305","371"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£200 to £299","All","38","163","425","502"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£300 to £399","All","31","151","481","550"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£400 to £499","All","27","103","378","447"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£500 to £599","All","22","86","386","435"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£600 to £699","All","17","60","354","383"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£700 to £799","All","11","31","269","274"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£800 to £899","All","13","33","245","234"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£900 to £999","All","10","19","186","180"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£1000 and above","All","5","47","975","943"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All Income","All","21","869","4056","4375"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","Up to £99","All","53","130","247","298"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£100 to £199","All","45","825","1829","2430"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£200 to £299","All","33","804","2446","3200"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£300 to £399","All","26","674","2635","3200"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£400 to £499","All","20","428","2146","2586"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£500 to £599","All","16","323","2005","2301"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£600 to £699","All","13","239","1913","2167"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£700 to £799","All","9","138","1558","1727"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£800 to £899","All","7","97","1358","1434"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£900 to £999","All","6","65","1077","1181"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£1000 and above","All","3","173","5536","5696"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All Income","All","17","3893","22751","26220"
