"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","229","Miles per person per year","5208","4723","1274","1161","1184","1140",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","575","Miles per person per year","13053","10440","689","579","1184","1140",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","243","Miles per person per year","5510","4905","9314","8357","1184","1140",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","4262","Miles per person per year","85444","75513","19083","16555","1045","959",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","338","Miles per person per year","6778","5908","1994","1783","1045","959",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1708","Miles per person per year","34242","30993","4465","3999","1045","959",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1124","Miles per person per year","22529","20848","2684","2514","1045","959",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","182","Miles per person per year","3646","2809","531","397","1045","959",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","157","Miles per person per year","3143","2544","719","580","1045","959",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","369","Miles per person per year","7407","5959","608","476","1045","959",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","212","Miles per person per year","4243","3518","7314","6181","1045","959",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","All modes","6880","Miles per person per year","9083200","8584856","1414949","1314658","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Bicycle","60","Miles per person per year","78839","70121","24343","21440","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Bus in London","45","Miles per person per year","59348","52313","20071","17694","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3508","Miles per person per year","4631416","4387093","545861","515095","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","1925","Miles per person per year","2541704","2447912","284867","272610","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","London Underground","77","Miles per person per year","102248","84500","16598","13531","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","36","Miles per person per year","47654","41679","4469","3819","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Non-local bus","50","Miles per person per year","66624","65144","874","851","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Other local bus","199","Miles per person per year","263165","241121","56505","51380","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Other private transport","112","Miles per person per year","147690","147005","9461","9133","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Other public transport","50","Miles per person per year","65797","62704","5238","4632","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Surface Rail","564","Miles per person per year","744775","679315","27484","24206","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","57","Miles per person per year","74623","69131","15104","13748","68842","68371",""
"Average distance per year by mode of transport","2013/17","5-year rolling average","White","ONS 2011 5+1","Walk","196","Miles per person per year","259318","236818","404074","366519","68842","68371",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6552","Miles per person per year","9772900","9180166","1592409","1475129","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","56","Miles per person per year","83871","74814","26359","23358","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","73","Miles per person per year","108720","94842","34328","30210","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3273","Miles per person per year","4881358","4607577","583778","548466","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1817","Miles per person per year","2710134","2590628","311648","295772","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","97","Miles per person per year","144507","119327","22265","18039","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","31","Miles per person per year","46665","41782","4324","3708","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","49","Miles per person per year","72683","67758","971","907","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","187","Miles per person per year","279055","254274","59812","54025","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","101","Miles per person per year","149955","148674","10253","9822","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","44","Miles per person per year","65988","61397","6418","5596","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","569","Miles per person per year","848212","769485","33664","29411","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","57","Miles per person per year","85241","78415","16967","15265","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","199","Miles per person per year","296511","271192","481621","440550","77773","76547",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","4588","Miles per person per year","530269","466332","108957","95301","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","19","Miles per person per year","2158","1826","964","822","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","190","Miles per person per year","21917","18486","6293","5493","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1866","Miles per person per year","215633","189130","29071","25650","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1309","Miles per person per year","151249","138733","20304","18461","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","205","Miles per person per year","23655","19857","3061","2508","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","101","Miles per person per year","11623","9632","2711","2216","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","38","Miles per person per year","4419","4244","367","347","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","26","Miles per person per year","3017","2439","691","560","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","538","Miles per person per year","62236","52728","3294","2835","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","43","Miles per person per year","4987","4602","1048","926","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","183","Miles per person per year","21101","18163","40981","35338","6026","5579",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","4179","Miles per person per year","195796","177981","46629","42683","2443","2362",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","22","Miles per person per year","1012","812","354","306","2443","2362",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","448","Miles per person per year","20990","19422","6044","5636","2443","2362",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1433","Miles per person per year","67120","60718","9342","8472","2443","2362",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","826","Miles per person per year","38696","36353","5875","5621","2443","2362",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","181","Miles per person per year","8481","8186","1242","1186","2443","2362",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","211","Miles per person per year","9877","8498","2391","2057","2443","2362",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","50","Miles per person per year","2348","2248","439","413","2443","2362",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","657","Miles per person per year","30757","26900","1984","1717","2443","2362",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","64","Miles per person per year","3009","2669","539","484","2443","2362",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","196","Miles per person per year","9192","8171","18169","16555","2443","2362",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","5087","Miles per person per year","111666","98367","23313","20371","1145","1083",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","135","Miles per person per year","2968","2300","976","767","1145","1083",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1588","Miles per person per year","34854","29839","3853","3299","1145","1083",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1851","Miles per person per year","40621","37505","5577","5194","1145","1083",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","138","Miles per person per year","3037","2395","484","372","1145","1083",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","219","Miles per person per year","4798","4291","1214","1063","1145","1083",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","530","Miles per person per year","11628","9722","702","556","1145","1083",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","261","Miles per person per year","5734","4966","9598","8317","1145","1083",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","4308","Miles per person per year","84605","74189","18518","16074","1024","937",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","268","Miles per person per year","5257","4511","1540","1359","1024","937",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1752","Miles per person per year","34413","31210","4584","4063","1024","937",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1158","Miles per person per year","22743","20553","2969","2705","1024","937",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","162","Miles per person per year","3187","2452","465","345","1024","937",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","155","Miles per person per year","3046","2519","708","585","1024","937",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","421","Miles per person per year","8277","6670","506","412","1024","937",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","207","Miles per person per year","4059","3357","6944","5955","1024","937",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","All modes","6875","Miles per person per year","8847465","8359654","1394403","1300050","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Bicycle","62","Miles per person per year","79282","70895","24392","21652","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Bus in London","45","Miles per person per year","57544","50063","19457","16932","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3518","Miles per person per year","4528065","4295138","536756","506784","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","1908","Miles per person per year","2456097","2356557","276809","263646","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","London Underground","82","Miles per person per year","106092","86384","17000","13614","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","35","Miles per person per year","44983","40102","4105","3503","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Non-local bus","48","Miles per person per year","61300","58917","811","786","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Other local bus","194","Miles per person per year","249586","229199","52761","48075","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Other private transport","109","Miles per person per year","140707","139677","9534","9148","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Other public transport","45","Miles per person per year","58073","54364","5137","4494","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Surface Rail","571","Miles per person per year","734748","672847","27160","23865","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","58","Miles per person per year","74689","69114","14763","13364","67101","66549",""
"Average distance per year by mode of transport","2014/18","5-year rolling average","White","ONS 2011 5+1","Walk","199","Miles per person per year","256300","236399","405719","374187","67101","66549",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6554","Miles per person per year","9535567","8935466","1559638","1444790","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","56","Miles per person per year","80775","72069","25103","22282","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","72","Miles per person per year","104531","89798","33323","28878","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3257","Miles per person per year","4739068","4475898","568597","533375","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1822","Miles per person per year","2650315","2517202","302339","284883","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","100","Miles per person per year","145200","119478","22232","18003","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","29","Miles per person per year","41918","37714","3879","3321","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","47","Miles per person per year","67780","62458","858","785","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","179","Miles per person per year","260320","235298","55698","49979","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","101","Miles per person per year","146587","141498","10317","9790","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","47","Miles per person per year","68806","63398","6469","5579","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","586","Miles per person per year","852329","774126","33054","29027","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","58","Miles per person per year","84174","77329","16745","14999","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","202","Miles per person per year","293762","269199","481024","443889","75861","74412",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","4705","Miles per person per year","546061","479073","110149","96231","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","19","Miles per person per year","2150","1798","902","763","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","192","Miles per person per year","22279","18185","6388","5416","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1910","Miles per person per year","221649","194595","29617","26022","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1339","Miles per person per year","155390","141852","20013","18041","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","199","Miles per person per year","23150","19938","2985","2482","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","102","Miles per person per year","11888","9738","2795","2274","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","34","Miles per person per year","3978","4047","382","362","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","31","Miles per person per year","3643","2885","735","602","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","578","Miles per person per year","67044","56372","3309","2862","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","47","Miles per person per year","5470","4989","1157","1000","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","185","Miles per person per year","21516","18609","41699","36272","6052","5556",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","4066","Miles per person per year","192266","170811","46701","41979","2466","2327",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","28","Miles per person per year","1328","1019","415","335","2466","2327",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","396","Miles per person per year","18738","16756","5655","5107","2466","2327",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1428","Miles per person per year","67520","60029","9284","8294","2466","2327",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","755","Miles per person per year","35698","32892","5601","5279","2466","2327",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","172","Miles per person per year","8132","7306","1262","1124","2466","2327",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","248","Miles per person per year","11744","9955","2787","2347","2466","2327",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","46","Miles per person per year","2162","2009","406","371","2466","2327",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","642","Miles per person per year","30339","26014","1929","1663","2466","2327",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","61","Miles per person per year","2893","2751","562","514","2466","2327",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","196","Miles per person per year","9267","8156","18507","16678","2466","2327",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","5082","Miles per person per year","113131","99167","23929","20762","1161","1081",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","32","Miles per person per year","704","630","348","309","1161","1081",""
"Average distance per year by mode of transport","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","137","Miles per person per year","3061","2395","1006","793","1161","1081",""
