"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Value_Type","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by trip purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","246","Miles per person per year","26909","23385","1941","1651","5699","5217",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1371","Miles per person per year","149893","124347","17268","14006","5699","5217",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","379","Miles per person per year","41438","37048","17749","16088","5699","5217",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1363","Miles per person per year","149016","133248","15565","13769","5699","5217",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","291","Miles per person per year","31776","26918","7503","6418","5699","5217",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","21","Miles per person per year","2349","2061","2390","2101","5699","5217",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","368","Miles per person per year","40188","34781","10017","8544","5699","5217",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","429","Miles per person per year","46912","38898","14833","11963","5699","5217",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4360","Miles per person per year","213218","194715","39093","35716","2550","2517",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","317","Miles per person per year","15522","14494","1276","1200","2550","2517",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1079","Miles per person per year","52762","45842","6233","5340","2550","2517",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","503","Miles per person per year","24604","24464","8858","8894","2550","2517",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1181","Miles per person per year","57746","53226","7109","6494","2550","2517",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","272","Miles per person per year","13299","11987","3068","2804","2550","2517",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","Miles per person per year","654","696","642","670","2550","2517",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","584","Miles per person per year","28568","26778","5650","5151","2550","2517",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","410","Miles per person per year","20063","17228","6257","5163","2550","2517",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","4703","Miles per person per year","115592","102235","21400","19103","1282","1215",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","253","Miles per person per year","6219","5616","475","432","1282","1215",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","935","Miles per person per year","22970","19222","2802","2251","1282","1215",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","426","Miles per person per year","10466","9667","4512","4296","1282","1215",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","1878","Miles per person per year","46167","41503","5407","4948","1282","1215",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","456","Miles per person per year","11208","10427","2369","2195","1282","1215",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","27","Miles per person per year","662","610","897","776","1282","1215",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","359","Miles per person per year","8813","7535","1997","1740","1282","1215",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","370","Miles per person per year","9087","7656","2941","2465","1282","1215",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4048","Miles per person per year","87314","77865","16263","14023","1125","1028",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","313","Miles per person per year","6758","6355","583","484","1125","1028",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","944","Miles per person per year","20362","16830","2767","2239","1125","1028",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","365","Miles per person per year","7862","7118","2860","2657","1125","1028",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1351","Miles per person per year","29135","27242","3058","2828","1125","1028",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","265","Miles per person per year","5714","5240","1346","1292","1125","1028",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","23","Miles per person per year","490","429","556","460","1125","1028",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","354","Miles per person per year","7641","6751","1634","1367","1125","1028",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","434","Miles per person per year","9353","7899","3460","2696","1125","1028",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","All Purposes","6953","Miles per person per year","9447495","8986436","1324708","1233345","70849","70583",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Business","651","Miles per person per year","884109","850543","43231","41224","70849","70583",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Commuting","1317","Miles per person per year","1788981","1583589","200190","174025","70849","70583",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Education / escort education","320","Miles per person per year","434397","413782","148101","139432","70849","70583",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Leisure","2812","Miles per person per year","3821380","3796891","355159","346420","70849","70583",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Other escort","489","Miles per person per year","664409","614540","122442","112489","70849","70583",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Other including just walk","50","Miles per person per year","67728","66318","65755","62558","70849","70583",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Personal business","482","Miles per person per year","654406","619395","127060","119572","70849","70583",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Shopping","833","Miles per person per year","1132087","1041379","262770","237625","70849","70583",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6570","Miles per person per year","10299176","9732917","1487500","1380611","81732","80718",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","620","Miles per person per year","971705","930172","48991","46300","81732","80718",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1297","Miles per person per year","2032757","1797542","228726","198445","81732","80718",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","333","Miles per person per year","522005","499697","184584","176462","81732","80718",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2588","Miles per person per year","4057344","4002987","384724","373824","81732","80718",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","451","Miles per person per year","706734","647369","134321","122884","81732","80718",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","47","Miles per person per year","73325","71720","73341","69984","81732","80718",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","473","Miles per person per year","741921","698747","145051","135569","81732","80718",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","761","Miles per person per year","1193385","1084684","287762","257143","81732","80718",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4630","Miles per person per year","530986","462385","91868","79768","5979","5514",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","290","Miles per person per year","33263","29063","2132","1836","5979","5514",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1361","Miles per person per year","156069","131282","17968","14876","5979","5514",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","379","Miles per person per year","43500","40125","18599","17232","5979","5514",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1452","Miles per person per year","166507","149894","16490","14784","5979","5514",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","285","Miles per person per year","32673","27669","7761","6747","5979","5514",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","23","Miles per person per year","2622","2332","2761","2460","5979","5514",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","411","Miles per person per year","47149","41453","10688","9193","5979","5514",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","429","Miles per person per year","49202","40567","15469","12640","5979","5514",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4280","Miles per person per year","207106","189646","38306","35102","2523","2490",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","331","Miles per person per year","16002","14802","1271","1193","2523","2490",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1102","Miles per person per year","53310","46833","6455","5571","2523","2490",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","478","Miles per person per year","23127","23278","8469","8652","2523","2490",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1106","Miles per person per year","53498","49458","6782","6203","2523","2490",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","288","Miles per person per year","13940","12491","3083","2811","2523","2490",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","Miles per person per year","639","606","713","686","2523","2490",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","571","Miles per person per year","27651","25873","5492","4996","2523","2490",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","391","Miles per person per year","18940","16306","6042","4990","2523","2490",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","4806","Miles per person per year","116999","102851","21164","18899","1269","1216",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","263","Miles per person per year","6403","5725","470","433","1269","1216",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","976","Miles per person per year","23759","20011","2634","2215","1269","1216",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","465","Miles per person per year","11330","10466","4851","4620","1269","1216",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","1986","Miles per person per year","48358","43538","5243","4821","1269","1216",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","431","Miles per person per year","10485","9182","2364","2114","1269","1216",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","26","Miles per person per year","635","569","929","772","1269","1216",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","323","Miles per person per year","7859","6681","1892","1663","1269","1216",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","336","Miles per person per year","8171","6679","2781","2261","1269","1216",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4107","Miles per person per year","88107","76432","16804","14326","1119","1009",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","273","Miles per person per year","5849","5435","526","440","1119","1009",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","1058","Miles per person per year","22697","18121","3099","2460","1119","1009",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","351","Miles per person per year","7533","7097","2906","2837","1119","1009",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1341","Miles per person per year","28776","26176","3243","2902","1119","1009",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","302","Miles per person per year","6487","5594","1434","1293","1119","1009",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","22","Miles per person per year","467","406","580","464","1119","1009",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","323","Miles per person per year","6926","5785","1575","1302","1119","1009",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","437","Miles per person per year","9372","7816","3442","2628","1119","1009",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","All Purposes","6887","Miles per person per year","9351844","8897538","1318674","1231869","70798","70450",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Business","670","Miles per person per year","909599","874783","44548","42361","70798","70450",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Commuting","1308","Miles per person per year","1776140","1580581","198503","173265","70798","70450",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Education / escort education","321","Miles per person per year","435878","417786","149660","143009","70798","70450",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Leisure","2768","Miles per person per year","3758922","3732683","352809","344958","70798","70450",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Other escort","473","Miles per person per year","642902","592153","119629","109856","70798","70450",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Other including just walk","51","Miles per person per year","68931","67779","68328","65576","70798","70450",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Personal business","480","Miles per person per year","652032","618678","125316","118337","70798","70450",""
"Average distance per year by trip purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Shopping","816","Miles per person per year","1107440","1013096","259881","234507","70798","70450",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6564","Miles per person per year","10026260","9421306","1449364","1346175","79639","78589",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","608","Miles per person per year","928229","883872","46922","44297","79639","78589",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1296","Miles per person per year","1979936","1754052","221999","192903","79639","78589",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","331","Miles per person per year","506169","486452","179716","174389","79639","78589",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2615","Miles per person per year","3994457","3901764","374611","362643","79639","78589",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","444","Miles per person per year","678808","619138","130603","119438","79639","78589",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","49","Miles per person per year","74817","72080","74924","71610","79639","78589",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","475","Miles per person per year","726014","680106","141155","132090","79639","78589",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","745","Miles per person per year","1137829","1023843","279434","248805","79639","78589",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4645","Miles per person per year","537250","472196","92655","81544","6031","5625",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","274","Miles per person per year","31672","28307","1942","1705","6031","5625",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1383","Miles per person per year","160011","135416","18264","15252","6031","5625",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","390","Miles per person per year","45092","42374","18939","18066","6031","5625",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1490","Miles per person per year","172311","157309","16437","14961","6031","5625",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","282","Miles per person per year","32566","27658","8024","7093","6031","5625",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","26","Miles per person per year","3020","2610","2865","2521","6031","5625",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","371","Miles per person per year","42870","37977","10506","9172","6031","5625",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","430","Miles per person per year","49707","40547","15679","12774","6031","5625",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4190","Miles per person per year","200742","182887","37264","34224","2498","2455",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","283","Miles per person per year","13536","12266","1232","1144","2498","2455",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1124","Miles per person per year","53863","47406","6583","5689","2498","2455",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","483","Miles per person per year","23122","23068","8342","8586","2498","2455",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1116","Miles per person per year","53483","49474","6319","5780","2498","2455",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","288","Miles per person per year","13805","12123","3076","2808","2498","2455",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","14","Miles per person per year","679","618","689","660","2498","2455",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","520","Miles per person per year","24901","23157","5278","4834","2498","2455",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","362","Miles per person per year","17352","14776","5747","4723","2498","2455",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","5128","Miles per person per year","116444","102257","20059","18063","1184","1140",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","304","Miles per person per year","6905","6259","454","422","1184","1140",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","962","Miles per person per year","21845","18491","2414","2042","1184","1140",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","538","Miles per person per year","12211","11313","4706","4561","1184","1140",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2188","Miles per person per year","49685","44281","4921","4555","1184","1140",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","437","Miles per person per year","9925","8700","2254","2020","1184","1140",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","30","Miles per person per year","674","590","956","797","1184","1140",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","364","Miles per person per year","8265","6933","1771","1568","1184","1140",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","305","Miles per person per year","6933","5691","2583","2098","1184","1140",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4262","Miles per person per year","85444","75513","15959","13930","1045","959",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","285","Miles per person per year","5716","5208","606","505","1045","959",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","1114","Miles per person per year","22323","18818","2884","2368","1045","959",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","424","Miles per person per year","8500","8019","3223","3214","1045","959",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1337","Miles per person per year","26808","24927","2889","2631","1045","959",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","285","Miles per person per year","5704","4980","1416","1275","1045","959",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","24","Miles per person per year","476","407","578","459","1045","959",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","371","Miles per person per year","7433","5989","1354","1162","1045","959",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","423","Miles per person per year","8484","7164","3009","2316","1045","959",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","All Purposes","6880","Miles per person per year","9083200","8584856","1282818","1197787","68842","68371",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Business","659","Miles per person per year","870176","831629","42646","40485","68842","68371",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Commuting","1304","Miles per person per year","1721649","1533662","191817","167518","68842","68371",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Education / escort education","315","Miles per person per year","416560","400651","144379","139812","68842","68371",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Leisure","2795","Miles per person per year","3690961","3624526","343925","334581","68842","68371",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Other escort","467","Miles per person per year","616588","565416","115791","106185","68842","68371",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Other including just walk","53","Miles per person per year","69942","67830","69808","67148","68842","68371",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Personal business","486","Miles per person per year","642208","605720","122170","115279","68842","68371",""
"Average distance per year by trip purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Shopping","799","Miles per person per year","1055117","955421","252283","226779","68842","68371",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6552","Miles per person per year","9772900","9180166","1427811","1328686","77773","76547",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","597","Miles per person per year","891075","854182","45741","43444","77773","76547",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1296","Miles per person per year","1933261","1716856","216366","188124","77773","76547",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","333","Miles per person per year","495970","480307","178010","173293","77773","76547",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2619","Miles per person per year","3905844","3803187","369114","357354","77773","76547",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","441","Miles per person per year","657548","596164","128092","116359","77773","76547",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","51","Miles per person per year","75368","72745","78494","75824","77773","76547",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","477","Miles per person per year","711059","665060","138129","129530","77773","76547",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","739","Miles per person per year","1102775","991664","273866","244758","77773","76547",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4588","Miles per person per year","530269","466332","92683","81409","6026","5579",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","280","Miles per person per year","32369","29240","2037","1783","6026","5579",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1341","Miles per person per year","155033","131874","17899","14975","6026","5579",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","382","Miles per person per year","44122","41858","19185","18274","6026","5579",""
"Average distance per year by trip purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1500","Miles per person per year","173343","156973","16523","14952","6026","5579",""
