"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","180","Trips per person per year","3576","3082","1035","944","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","61","Trips per person per year","1204","1094","1035","944","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","41","Trips per person per year","811","612","1035","944","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","86","Trips per person per year","1712","1446","1035","944","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","154","Trips per person per year","3058","2452","1035","944","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","All Purposes","1013","Trips per person per year","1425387","1334842","73370","73459","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Business","32","Trips per person per year","45020","43131","73370","73459","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Commuting","154","Trips per person per year","216885","189950","73370","73459","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Education / escort education","105","Trips per person per year","147384","141501","73370","73459","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Leisure","273","Trips per person per year","384738","374604","73370","73459","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Other escort","95","Trips per person per year","133101","125820","73370","73459","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Other including just walk","48","Trips per person per year","67762","64737","73370","73459","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Personal business","102","Trips per person per year","143955","135706","73370","73459","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","White","ONS 2011 5+1","Shopping","204","Trips per person per year","286541","259393","73370","73459","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","987","Trips per person per year","1574007","1463504","83120","82612","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","30","Trips per person per year","47366","45298","83120","82612","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","150","Trips per person per year","239611","208407","83120","82612","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","114","Trips per person per year","181897","172352","83120","82612","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","258","Trips per person per year","411105","399460","83120","82612","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","92","Trips per person per year","147327","137900","83120","82612","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","46","Trips per person per year","73331","69741","83120","82612","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","101","Trips per person per year","160726","150401","83120","82612","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","196","Trips per person per year","312644","279945","83120","82612","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","837","Trips per person per year","87504","74523","5450","4980","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","17","Trips per person per year","1813","1588","5450","4980","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","160","Trips per person per year","16756","13338","5450","4980","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","178","Trips per person per year","18570","16656","5450","4980","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","153","Trips per person per year","15943","14061","5450","4980","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","75","Trips per person per year","7794","6920","5450","4980","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","20","Trips per person per year","2097","1882","5450","4980","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","92","Trips per person per year","9618","8202","5450","4980","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","143","Trips per person per year","14912","11876","5450","4980","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","827","Trips per person per year","39246","35503","2475","2396","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","26","Trips per person per year","1252","1123","2475","2396","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","136","Trips per person per year","6459","5513","2475","2396","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","168","Trips per person per year","7974","7962","2475","2396","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","166","Trips per person per year","7881","7188","2475","2396","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","63","Trips per person per year","2990","2859","2475","2396","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","12","Trips per person per year","558","506","2475","2396","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","116","Trips per person per year","5526","4902","2475","2396","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","139","Trips per person per year","6607","5450","2475","2396","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","891","Trips per person per year","23398","20669","1369","1285","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","14","Trips per person per year","377","334","1369","1285","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","115","Trips per person per year","3027","2415","1369","1285","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","171","Trips per person per year","4481","4214","1369","1285","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","237","Trips per person per year","6218","5570","1369","1285","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","102","Trips per person per year","2668","2462","1369","1285","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","37","Trips per person per year","976","913","1369","1285","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","87","Trips per person per year","2288","2022","1369","1285","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","128","Trips per person per year","3363","2739","1369","1285","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","798","Trips per person per year","16997","14381","1110","1014","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","26","Trips per person per year","543","472","1110","1014","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","137","Trips per person per year","2919","2300","1110","1014","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","134","Trips per person per year","2855","2619","1110","1014","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","168","Trips per person per year","3585","3135","1110","1014","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","58","Trips per person per year","1234","1124","1110","1014","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","36","Trips per person per year","775","593","1110","1014","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","81","Trips per person per year","1723","1451","1110","1014","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","158","Trips per person per year","3363","2687","1110","1014","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","All Purposes","1009","Trips per person per year","1405761","1317501","72660","72885","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Business","31","Trips per person per year","43337","41743","72660","72885","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Commuting","151","Trips per person per year","210255","184671","72660","72885","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Education / escort education","106","Trips per person per year","147898","140800","72660","72885","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Leisure","271","Trips per person per year","377231","369290","72660","72885","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Other escort","95","Trips per person per year","132525","124444","72660","72885","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Other including just walk","49","Trips per person per year","68892","65811","72660","72885","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Personal business","101","Trips per person per year","141420","133714","72660","72885","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Shopping","204","Trips per person per year","284204","257028","72660","72885","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","973","Trips per person per year","1547645","1442650","82923","82444","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","30","Trips per person per year","47018","44961","82923","82444","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","148","Trips per person per year","235075","204166","82923","82444","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","115","Trips per person per year","183582","174640","82923","82444","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","254","Trips per person per year","404119","393437","82923","82444","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","90","Trips per person per year","143764","134853","82923","82444","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","Trips per person per year","72267","68966","82923","82444","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","98","Trips per person per year","155577","146370","82923","82444","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","193","Trips per person per year","306245","275257","82923","82444","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","832","Trips per person per year","90069","77766","5646","5216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","17","Trips per person per year","1881","1686","5646","5216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","157","Trips per person per year","16985","13761","5646","5216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","173","Trips per person per year","18729","17142","5646","5216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","151","Trips per person per year","16341","14515","5646","5216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","76","Trips per person per year","8279","7338","5646","5216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","22","Trips per person per year","2423","2192","5646","5216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","91","Trips per person per year","9901","8611","5646","5216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","143","Trips per person per year","15530","12521","5646","5216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","813","Trips per person per year","40822","36917","2617","2530","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","23","Trips per person per year","1176","1074","2617","2530","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","131","Trips per person per year","6556","5520","2617","2530","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","180","Trips per person per year","9030","9032","2617","2530","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","157","Trips per person per year","7888","7156","2617","2530","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","61","Trips per person per year","3054","2881","2617","2530","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","11","Trips per person per year","529","497","2617","2530","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","118","Trips per person per year","5916","5245","2617","2530","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","133","Trips per person per year","6672","5512","2617","2530","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","880","Trips per person per year","23096","20713","1368","1296","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","17","Trips per person per year","452","419","1368","1296","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","106","Trips per person per year","2781","2273","1368","1296","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","179","Trips per person per year","4707","4501","1368","1296","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","226","Trips per person per year","5926","5349","1368","1296","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","99","Trips per person per year","2594","2399","1368","1296","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","39","Trips per person per year","1021","950","1368","1296","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","87","Trips per person per year","2278","2049","1368","1296","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","127","Trips per person per year","3336","2773","1368","1296","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","795","Trips per person per year","16605","14018","1089","982","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","27","Trips per person per year","569","470","1089","982","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","136","Trips per person per year","2840","2258","1089","982","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","129","Trips per person per year","2688","2453","1089","982","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","170","Trips per person per year","3545","3105","1089","982","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","64","Trips per person per year","1341","1267","1089","982","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","35","Trips per person per year","738","554","1089","982","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","77","Trips per person per year","1610","1361","1089","982","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","157","Trips per person per year","3272","2550","1089","982","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","All Purposes","994","Trips per person per year","1376016","1292419","72146","72371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Business","31","Trips per person per year","42880","41266","72146","72371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Commuting","149","Trips per person per year","205737","180208","72146","72371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Education / escort education","107","Trips per person per year","148296","141407","72146","72371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Leisure","268","Trips per person per year","370215","363141","72146","72371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Other escort","93","Trips per person per year","128396","120894","72146","72371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Other including just walk","49","Trips per person per year","67532","64751","72146","72371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Personal business","98","Trips per person per year","135713","128992","72146","72371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Shopping","200","Trips per person per year","277248","251760","72146","72371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","962","Trips per person per year","1519448","1410439","82367","81636","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","30","Trips per person per year","47278","44898","82367","81636","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","148","Trips per person per year","233774","201545","82367","81636","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","116","Trips per person per year","183700","173788","82367","81636","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","250","Trips per person per year","394437","383694","82367","81636","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","89","Trips per person per year","140651","130581","82367","81636","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","Trips per person per year","70347","66837","82367","81636","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","96","Trips per person per year","151019","141277","82367","81636","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","189","Trips per person per year","298242","267819","82367","81636","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","808","Trips per person per year","87865","75623","5668","5215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","17","Trips per person per year","1802","1598","5668","5215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","158","Trips per person per year","17123","13858","5668","5215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","164","Trips per person per year","17821","16224","5668","5215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","148","Trips per person per year","16097","14226","5668","5215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","71","Trips per person per year","7712","6786","5668","5215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","22","Trips per person per year","2420","2163","5668","5215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","91","Trips per person per year","9857","8574","5668","5215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","138","Trips per person per year","15032","12194","5668","5215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","809","Trips per person per year","40748","37051","2625","2560","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","23","Trips per person per year","1174","1096","2625","2560","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","130","Trips per person per year","6539","5512","2625","2560","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","186","Trips per person per year","9373","9406","2625","2560","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","150","Trips per person per year","7549","6865","2625","2560","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","61","Trips per person per year","3071","2912","2625","2560","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","12","Trips per person per year","588","555","2625","2560","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","117","Trips per person per year","5910","5301","2625","2560","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","130","Trips per person per year","6544","5404","2625","2560","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","859","Trips per person per year","21473","19102","1304","1228","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","18","Trips per person per year","462","408","1304","1228","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","108","Trips per person per year","2712","2191","1304","1228","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","173","Trips per person per year","4314","4096","1304","1228","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","219","Trips per person per year","5477","4941","1304","1228","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","99","Trips per person per year","2468","2304","1304","1228","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","35","Trips per person per year","880","775","1304","1228","","","","","","","","","","","","","","",""
