"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Denominator","Numerator"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bolton","Local authority","E08000001","All","47.2","2262","106828"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All","54","3572","192862"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All","63.9","98","6261.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All","57","20","1140.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All","62","18","1116.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Kent","Local authority","E10000016","Boys","47.5","7073","336228.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","Boys","46.2","7064","326598.76"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All","56","146","8169"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","Girls","52.2","6909","360332.68"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All","54","3124","168577"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Kent","Local authority","E10000016","Girls","52.6","6754","355187.01"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Hampshire","Local authority","E10000014","Boys","48.1","6745","324639"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Hertfordshire","Local authority","E10000015","Boys","51.4","6732","346075.63"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Essex","Local authority","E10000012","Boys","45.8","6691","306162.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bracknell Forest","Local authority","E06000036","All","50.5","1219","61585.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Hertfordshire","Local authority","E10000015","Girls","57.1","6468","369458.63"
