"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Denominator","Numerator"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Trafford","Local authority","E08000009","All"," 11-16","53.3","94","5012.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Warrington","Local authority","E06000007","All"," 11-16","45.5","24","1092.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Wigan","Local authority","E08000010","All"," 11-16","43.2","30","1296.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Wirral","Local authority","E08000015","All"," 11-16","57.8","13","752"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","All"," 11-16","38.2","18","688.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Bradford","Local authority","E08000032","All"," 11-16","42.2","97","4093.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","East Riding of Yorkshire","Local authority","E06000011","All"," 11-16","29.6","3","88.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Kingston upon Hull, City of","Local authority","E06000010","All"," 11-16","45","50","2248.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Kirklees","Local authority","E08000034","All"," 11-16","38.2","95","3626.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Leeds","Local authority","E08000035","All"," 11-16","43.3","466","20177.88"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","North East Lincolnshire","Local authority","E06000012","All"," 11-16","34.8","2","69.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","North Lincolnshire","Local authority","E06000013","All"," 11-16","47.6","9","428.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","North Yorkshire","Local authority","E10000023","All"," 11-16","52.7","23","1213"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Rotherham","Local authority","E08000018","All"," 11-16","46.3","47","2174"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Derbyshire","Local authority","E10000007","All"," 11-16","47.2","17","803"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Leicester","Local authority","E06000016","All"," 11-16","40.9","405","16583"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Southend-on-Sea","Local authority","E06000033","All"," 11-16","63","162","10208.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Suffolk","Local authority","E10000029","All"," 11-16","41.2","69","2841.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Thurrock","Local authority","E06000034","All"," 11-16","47.6","193","9180"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Camden","Local authority","E09000007","All"," 11-16","44.9","402","18067.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Southwark","Local authority","E09000028","All"," 11-16","47.7","1146","54616"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Tower Hamlets","Local authority","E09000030","All"," 11-16","45.2","346","15629.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Wandsworth","Local authority","E09000032","All"," 11-16","44.4","452","20080"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Westminster","Local authority","E09000033","All"," 11-16","48.6","396","19256.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Greenwich","Local authority","E09000011","All"," 11-16","46.1","708","32650.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Harrow","Local authority","E09000015","All"," 11-16","42.4","326","13823"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Havering","Local authority","E09000016","All"," 11-16","50","340","16993.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Brighton and Hove","Local authority","E06000043","All"," 11-16","46.1","53","2444.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Buckinghamshire","Local authority","E10000002","All"," 11-16","49.8","156","7761.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","East Sussex","Local authority","E10000011","All"," 11-16","43.7","31","1355.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Southampton","Local authority","E06000045","All"," 11-16","50.3","53","2665.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Surrey","Local authority","E10000030","All"," 11-16","46.4","179","8299.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Dorset","Local authority","E06000059","All"," 11-16","43","7","301"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Gloucestershire","Local authority","E10000013","All"," 11-16","44.4","86","3814.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Isles of Scilly","Local authority","E06000053","All"," 11-16","NA","NA","NA"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Leicestershire","Local authority","E10000018","All"," 11-16","44","94","4132.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Lincolnshire","Local authority","E10000019","All"," 11-16","50.2","44","2209"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Northamptonshire","Local authority","E10000021","All"," 11-16","47","364","17095.01"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Nottingham","Local authority","E06000018","All"," 11-16","43.4","308","13353"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Nottinghamshire","Local authority","E10000024","All"," 11-16","47.3","111","5251.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Rutland","Local authority","E06000017","All"," 11-16","20.5","2","41"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Herefordshire, County of","Local authority","E06000019","All"," 11-16","NA","NA","NA"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Sandwell","Local authority","E08000028","All"," 11-16","40.2","319","12823.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Shropshire","Local authority","E06000051","All"," 11-16","34","5","170"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Solihull","Local authority","E08000029","All"," 11-16","46","92","4234.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Staffordshire","Local authority","E10000028","All"," 11-16","40.3","79","3183.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Stoke-on-Trent","Local authority","E06000021","All"," 11-16","45.3","73","3307"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Telford and Wrekin","Local authority","E06000020","All"," 11-16","48.3","56","2702.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Walsall","Local authority","E08000030","All"," 11-16","44.2","160","7071"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Warwickshire","Local authority","E10000031","All"," 11-16","48","58","2784.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Cambridgeshire","Local authority","E10000003","All"," 11-16","44.8","65","2908.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Central Bedfordshire","Local authority","E06000056","All"," 11-16","42.3","62","2622"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Essex","Local authority","E10000012","All"," 11-16","48.1","477","22952"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Hertfordshire","Local authority","E10000015","All"," 11-16","48.2","545","26289.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Luton","Local authority","E06000032","All"," 11-16","41.8","323","13490.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Norfolk","Local authority","E10000020","All"," 11-16","46.6","54","2517.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Peterborough","Local authority","E06000031","All"," 11-16","46","62","2851.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Hackney","Local authority","E09000012","All"," 11-16","44.8","849","38014.88"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Hammersmith and Fulham","Local authority","E09000013","All"," 11-16","47","305","14320.63"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Haringey","Local authority","E09000014","All"," 11-16","41.2","634","26092.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Islington","Local authority","E09000019","All"," 11-16","42.3","414","17497.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Kensington and Chelsea","Local authority","E09000020","All"," 11-16","49","169","8275.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Lambeth","Local authority","E09000022","All"," 11-16","41.4","1058","43850.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Lewisham","Local authority","E09000023","All"," 11-16","40.8","999","40728.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Newham","Local authority","E09000025","All"," 11-16","45.7","978","44669.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All"," 11-16","48","642","30830.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All"," 11-16","49.8","532","26476.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Bexley","Local authority","E09000004","All"," 11-16","55.3","612","33871"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Brent","Local authority","E09000005","All"," 11-16","45.2","703","31746.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Bromley","Local authority","E09000006","All"," 11-16","48.6","338","16414.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Croydon","Local authority","E09000008","All"," 11-16","41.5","1130","46838.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Ealing","Local authority","E09000009","All"," 11-16","47.1","560","26351.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Enfield","Local authority","E09000010","All"," 11-16","43.2","890","38416.63"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Hillingdon","Local authority","E09000017","All"," 11-16","45.4","379","17191.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Hounslow","Local authority","E09000018","All"," 11-16","48.5","352","17059"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Kingston upon Thames","Local authority","E09000021","All"," 11-16","47.1","76","3579.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Merton","Local authority","E09000024","All"," 11-16","44.7","263","11746.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Redbridge","Local authority","E09000026","All"," 11-16","47.6","486","23127.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Richmond upon Thames","Local authority","E09000027","All"," 11-16","44.6","63","2807.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Sutton","Local authority","E09000029","All"," 11-16","57.3","234","13408.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Waltham Forest","Local authority","E09000031","All"," 11-16","41.8","571","23852.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","All"," 11-16","48.7","33","1608.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Hampshire","Local authority","E10000014","All"," 11-16","43.8","105","4598.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Isle of Wight","Local authority","E06000046","All"," 11-16","47.8","3","143.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Kent","Local authority","E10000016","All"," 11-16","55.4","423","23447"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Medway","Local authority","E06000035","All"," 11-16","52.2","177","9245.76"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Milton Keynes","Local authority","E06000042","All"," 11-16","43.6","392","17090.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Oxfordshire","Local authority","E10000025","All"," 11-16","43.4","149","6470"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Portsmouth","Local authority","E06000044","All"," 11-16","45.4","48","2178.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Reading","Local authority","E06000038","All"," 11-16","42","90","3781.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Slough","Local authority","E06000039","All"," 11-16","50.5","164","8288.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","West Berkshire","Local authority","E06000037","All"," 11-16","48.5","41","1988.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","West Sussex","Local authority","E10000032","All"," 11-16","40.2","128","5150.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Windsor and Maidenhead","Local authority","E06000040","All"," 11-16","48.3","28","1352.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Wokingham","Local authority","E06000041","All"," 11-16","48.5","77","3734"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","All"," 11-16","32.4","22","712.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All"," 11-16","48.7","24","1167.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Bristol, City of","Local authority","E06000023","All"," 11-16","39.9","385","15350.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Cornwall","Local authority","E06000052","All"," 11-16","45","8","360"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Devon","Local authority","E10000008","All"," 11-16","35.5","11","390.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","North Somerset","Local authority","E06000024","All"," 11-16","46.4","13","603"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Plymouth","Local authority","E06000026","All"," 11-16","49.3","13","641"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Somerset","Local authority","E10000027","All"," 11-16","43.4","14","608"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","South Gloucestershire","Local authority","E06000025","All"," 11-16","41.7","48","1999.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Swindon","Local authority","E06000030","All"," 11-16","43.6","54","2354.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Torbay","Local authority","E06000027","All"," 11-16","36.4","3","109.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Wiltshire","Local authority","E06000054","All"," 11-16","45.9","53","2431.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","East Midlands","Region","E12000004","All"," 11-16","44.1","1440","63574.01"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","West Midlands","Region","E12000005","All"," 11-16","43.1","3355","144730.64"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","East of England","Region","E12000006","All"," 11-16","47.2","2134","100796.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Inner London","Region","E12000007","All"," 11-16","44.3","8148","361099.01"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Outer London","Region","E12000007","All"," 11-16","46.4","9205","427185.88"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","South East","Region","E12000008","All"," 11-16","47.9","2330","111604.76"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","South West","Region","E12000009","All"," 11-16","41.6","741","30844"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","North East","Region","E12000001","All"," 11-16","46.4","218","10106.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","North West","Region","E12000002","All"," 11-16","44.2","2003","88613.63"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","Yorkshire and The Humber","Region","E12000003","All"," 11-16","43.8","1245","54540.88"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","45.2","30819","1393095.56"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","County Durham","Local authority","E06000047","All"," 11-16","56.6","7","396.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Darlington","Local authority","E06000005","All"," 11-16","43","3","129"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Middlesbrough","Local authority","E06000002","All"," 11-16","NA","NA","NA"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Newcastle upon Tyne","Local authority","E08000021","All"," 11-16","61.5","14","861"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","North Tyneside","Local authority","E08000022","All"," 11-16","67.4","9","607"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Northumberland","Local authority","E06000057","All"," 11-16","63","11","693"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Redcar and Cleveland","Local authority","E06000003","All"," 11-16","NA","NA","NA"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","South Tyneside","Local authority","E08000023","All"," 11-16","NA","NA","NA"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Stockton-on-Tees","Local authority","E06000004","All"," 11-16","69","4","276"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Sunderland","Local authority","E08000024","All"," 11-16","65.1","4","260.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","All"," 11-16","59","3","177"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Cheshire East","Local authority","E06000049","All"," 11-16","64.8","16","1037"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Cheshire West and Chester","Local authority","E06000050","All"," 11-16","50.7","8","405.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Cumbria","Local authority","E10000006","All"," 11-16","60.3","17","1024.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Halton","Local authority","E06000006","All"," 11-16","55.5","1","55.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Knowsley","Local authority","E08000011","All"," 11-16","54.8","2","109.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Lancashire","Local authority","E10000017","All"," 11-16","65.4","42","2746"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Gateshead","Local authority","E08000037","All"," 11-16","72.7","6","436"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Hartlepool","Local authority","E06000001","All"," 11-16","70.3","2","140.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Blackpool","Local authority","E06000009","All"," 11-16","48.8","3","146.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Bolton","Local authority","E08000001","All"," 11-16","58.3","8","466.38"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Bury","Local authority","E08000002","All"," 11-16","64.7","9","582.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Rochdale","Local authority","E08000005","All"," 11-16","72.1","4","288.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Salford","Local authority","E08000006","All"," 11-16","40","1","40"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Sefton","Local authority","E08000014","All"," 11-16","56.5","10","565"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Calderdale","Local authority","E08000033","All"," 11-16","63.8","4","255"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Doncaster","Local authority","E08000017","All"," 11-16","67.1","9","604"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Sheffield","Local authority","E08000019","All"," 11-16","66.6","19","1264.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Wakefield","Local authority","E08000036","All"," 11-16","56.1","4","224.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","York","Local authority","E06000014","All"," 11-16","69.1","4","276.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Derby","Local authority","E06000015","All"," 11-16","65.9","8","527"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Birmingham","Local authority","E08000025","All"," 11-16","69.8","38","2653.38"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Coventry","Local authority","E08000026","All"," 11-16","70.4","9","633.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Dudley","Local authority","E08000027","All"," 11-16","45.1","8","361"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Wolverhampton","Local authority","E08000031","All"," 11-16","59.5","6","357"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Worcestershire","Local authority","E10000034","All"," 11-16","67.5","11","742.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Bedford","Local authority","E06000055","All"," 11-16","63.3","3","190"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Liverpool","Local authority","E08000012","All"," 11-16","63.4","44","2788.01"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Manchester","Local authority","E08000003","All"," 11-16","58.9","40","2356.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Oldham","Local authority","E08000004","All"," 11-16","52.3","7","366"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","St. Helens","Local authority","E08000013","All"," 11-16","59","2","118"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Stockport","Local authority","E08000007","All"," 11-16","58.6","13","761.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Tameside","Local authority","E08000008","All"," 11-16","69.8","8","558"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Trafford","Local authority","E08000009","All"," 11-16","73.6","41","3018.14"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Warrington","Local authority","E06000007","All"," 11-16","70.6","9","635.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Wigan","Local authority","E08000010","All"," 11-16","60.7","9","546"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Wirral","Local authority","E08000015","All"," 11-16","64.2","22","1412"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","All"," 11-16","66","1","66"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Bradford","Local authority","E08000032","All"," 11-16","65.7","6","394"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","East Riding of Yorkshire","Local authority","E06000011","All"," 11-16","52","2","104"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Kingston upon Hull, City of","Local authority","E06000010","All"," 11-16","42","2","84"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Kirklees","Local authority","E08000034","All"," 11-16","64.5","11","709"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Leeds","Local authority","E08000035","All"," 11-16","67.5","35","2363.76"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","North East Lincolnshire","Local authority","E06000012","All"," 11-16","NA","NA","NA"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","North Lincolnshire","Local authority","E06000013","All"," 11-16","59","3","177"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","North Yorkshire","Local authority","E10000023","All"," 11-16","73.9","7","517"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Rotherham","Local authority","E08000018","All"," 11-16","58","6","348"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Derbyshire","Local authority","E10000007","All"," 11-16","61.8","16","988"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Leicester","Local authority","E06000016","All"," 11-16","64.1","10","641"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Southend-on-Sea","Local authority","E06000033","All"," 11-16","67.6","14","947"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Suffolk","Local authority","E10000029","All"," 11-16","59","9","531"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Thurrock","Local authority","E06000034","All"," 11-16","54.6","9","491.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Camden","Local authority","E09000007","All"," 11-16","67.1","9","604"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Southwark","Local authority","E09000028","All"," 11-16","63","31","1953.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Tower Hamlets","Local authority","E09000030","All"," 11-16","63.7","15","955"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Wandsworth","Local authority","E09000032","All"," 11-16","58.5","11","644"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Westminster","Local authority","E09000033","All"," 11-16","66.2","25","1656"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Greenwich","Local authority","E09000011","All"," 11-16","57.6","28","1611.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Harrow","Local authority","E09000015","All"," 11-16","52.3","11","575.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","Havering","Local authority","E09000016","All"," 11-16","63.2","16","1010.5"
