"Ethnicity","Local authority","%"
"White","Isles of Scilly","!"
"White","Islington","85"
"White","Kensington and Chelsea","85"
"White","Kent","81"
"White","Kingston upon Hull, City of","79"
"White","Kingston upon Thames","84"
"White","Kirklees","80"
"White","Knowsley","80"
"White","Lambeth","86"
"White","Lancashire","82"
"White","Leeds","80"
"White","Leicester","77"
"White","Leicestershire","83"
"White","Lewisham","84"
"White","Lincolnshire","81"
"White","Liverpool","78"
"White","Luton","77"
"White","Manchester","78"
"White","Medway","82"
"White","Merton","84"
"White","Middlesbrough","79"
"White","Milton Keynes","83"
"White","Newcastle upon Tyne","81"
"White","Newham","85"
"White","Norfolk","79"
"White","North East Lincolnshire","82"
"White","North Lincolnshire","82"
"White","North Somerset","84"
"White","North Tyneside","84"
"White","North Yorkshire","82"
"White","Northamptonshire","82"
"White","Northumberland","84"
"White","Nottingham","79"
"White","Nottinghamshire","80"
"White","Oldham","82"
"White","Oxfordshire","82"
"White","Peterborough","76"
"White","Plymouth","83"
"White","Portsmouth","78"
"White","Reading","82"
"White","Redbridge","81"
"White","Redcar and Cleveland","81"
"White","Richmond upon Thames","88"
"White","Rochdale","79"
"White","Rotherham","80"
"White","Rutland","86"
"White","Salford","80"
"White","Sandwell","79"
"White","Sefton","83"
"White","Sheffield","78"
"White","Shropshire","81"
"White","Slough","80"
"White","Solihull","85"
"White","Somerset","81"
"White","South Gloucestershire","85"
"White","South Tyneside","83"
"White","Southampton","81"
"White","Southend-on-Sea","82"
"White","Southwark","87"
"White","St. Helens","81"
"White","Staffordshire","84"
"White","Stockport","82"
"White","Stockton-on-Tees","84"
"White","Stoke-on-Trent","78"
"White","Suffolk","81"
"White","Sunderland","81"
"White","Surrey","83"
"White","Sutton","83"
"White","Swindon","79"
"White","Tameside","79"
"White","Telford and Wrekin","84"
"White","Thurrock","80"
"White","Torbay","84"
"White","Tower Hamlets","83"
"White","Trafford","86"
"White","Wakefield","80"
"White","Walsall","81"
"White","Waltham Forest","86"
"White","Wandsworth","87"
"White","Warrington","85"
"White","Warwickshire","83"
"White","West Berkshire","82"
"White","West Sussex","81"
"White","Westminster","89"
"White","Wigan","80"
"White","Wiltshire","80"
"White","Windsor and Maidenhead","83"
"White","Wirral","82"
"White","Wokingham","83"
"White","Wolverhampton","79"
"White","Worcestershire","82"
"White","York","84"
"Other","Barking and Dagenham","79"
"Other","Barnet","83"
"Other","Barnsley","70"
"Other","Bath and North East Somerset","84"
"Other","Bedford","76"
"Other","Bexley","81"
"Other","Birmingham","81"
"Other","Blackburn with Darwen","89"
"Other","Blackpool","89"
"Other","Bolton","78"
"Other","Bournemouth, Christchurch and Poole","77"
"Other","Bracknell Forest","87"
"Other","Bradford","80"
"Other","Brent","76"
"Other","Brighton and Hove","71"
"Other","Bristol, City of","66"
"Other","Bromley","82"
"Other","Buckinghamshire","88"
"Other","Bury","79"
"Other","Calderdale","75"
"Other","Cambridgeshire","87"
"Other","Camden","79"
"Other","Central Bedfordshire","63"
"Other","Cheshire East","83"
"Other","Cheshire West and Chester","63"
"Other","City of London","!"
"Other","Cornwall","85"
"Other","County Durham","84"
"Other","Coventry","81"
"Other","Croydon","82"
"Other","Cumbria","65"
"Other","Darlington","75"
"Other","Derby","84"
"Other","Derbyshire","67"
"Other","Devon","73"
"Other","Doncaster","78"
"Other","Dorset","40"
"Other","Dudley","70"
"Other","Ealing","82"
"Other","East Riding of Yorkshire","78"
"Other","East Sussex","67"
"Other","Enfield","84"
"Other","Essex","80"
"Other","Gateshead","73"
"Other","Gloucestershire","89"
"Other","Greenwich","82"
"Other","Hackney","89"
"Other","Halton","83"
"Other","Hammersmith and Fulham","78"
"Other","Hampshire","74"
"Other","Haringey","79"
"Other","Harrow","76"
"Other","Hartlepool","60"
"Other","Havering","84"
"Other","Herefordshire, County of","70"
"Other","Hertfordshire","79"
"Other","Hillingdon","91"
"Other","Hounslow","82"
"Other","Isle of Wight","100"
"Other","Isles of Scilly","!"
"Other","Islington","83"
"Other","Kensington and Chelsea","80"
"Other","Kent","79"
"Other","Kingston upon Hull, City of","75"
"Other","Kingston upon Thames","84"
"Other","Kirklees","75"
"Other","Knowsley","88"
"Other","Lambeth","78"
"Other","Lancashire","69"
"Other","Leeds","77"
"Other","Leicester","75"
"Other","Leicestershire","83"
"Other","Lewisham","80"
"Other","Lincolnshire","64"
"Other","Liverpool","72"
"Other","Luton","80"
"Other","Manchester","77"
"Other","Medway","74"
"Other","Merton","85"
"Other","Middlesbrough","73"
"Other","Milton Keynes","81"
"Other","Newcastle upon Tyne","82"
