"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Muslim","66.6","Score out of 90","1312","87323.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","No religious character","54.1","Score out of 90","401153","21717304.35"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Other Christian faith","57.9","Score out of 90","9158","529999.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Roman catholic","55.9","Score out of 90","46859","2617785.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Sikh","58.4","Score out of 90","401","23424.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Studio Schools","All","46.2","Score out of 90","883","40764.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","University Technical Colleges (UTCs)","All","48.6","Score out of 90","2648","128811"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","non-selective schools in highly selective areas","State-funded mainstream","All","49.3","Score out of 90","29774","1466548.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","non-selective schools in other areas","State-funded mainstream","All","53.7","Score out of 90","433353","23290541.33"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","selective schools","State-funded mainstream","All","75.1","Score out of 90","24337","1827663.65"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Academies and free schools","All","54.6","Score out of 90","375660","20525657.85"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","All state-funded","All","54.5","Score out of 90","487466","26584768.23"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Converter Academies","All","56.7","Score out of 90","259371","14716884.33"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","FE 14-16 Colleges","All","!","Score out of 90","2","!"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Free Schools","All","56","Score out of 90","11334","634874.26"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","LA maintained mainstream","All","54.2","Score out of 90","111268","6025827.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Sponsored Academies","All","49.3","Score out of 90","101424","5004323.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","All","54.5","Score out of 90","487466","26584768.23"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Church of England","55.7","Score out of 90","27035","1505643.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Hindu","67.6","Score out of 90","274","18525.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Jewish","66.6","Score out of 90","1272","84747.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Muslim","66.6","Score out of 90","1312","87323.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","No religious character","54.1","Score out of 90","401153","21717304.35"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Other Christian faith","57.9","Score out of 90","9158","529999.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Roman catholic","55.9","Score out of 90","46859","2617785.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Sikh","58.4","Score out of 90","401","23424.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Studio Schools","All","46.2","Score out of 90","883","40764.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","University Technical Colleges (UTCs)","All","48.6","Score out of 90","2648","128811"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","non-selective schools in highly selective areas","State-funded mainstream","All","49.3","Score out of 90","29774","1466548.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","non-selective schools in other areas","State-funded mainstream","All","53.7","Score out of 90","433353","23290541.33"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","selective schools","State-funded mainstream","All","75.1","Score out of 90","24337","1827663.65"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Academies and free schools","All","28.9","Score out of 90","8624","249031.63"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","All state-funded","All","15.7","Score out of 90","23284","366396.39"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Converter Academies","All","30.1","Score out of 90","5595","168349.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","FE 14-16 Colleges","All","!","Score out of 90","1","!"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Free Schools","All","29.9","Score out of 90","288","8617"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","LA maintained mainstream","All","27.7","Score out of 90","2770","76710.63"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Sponsored Academies","All","26","Score out of 90","2636","68620.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","All","28.6","Score out of 90","11402","326059.26"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Church of England","30.4","Score out of 90","656","19929.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Hindu","34.1","Score out of 90","4","136.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Jewish","34.3","Score out of 90","43","1473"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Muslim","34.9","Score out of 90","13","453.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","No religious character","28.2","Score out of 90","9527","268894.26"
