"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Denominator","Numerator"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Richmond upon Thames","Local authority","E09000027","All","58.1","Score out of 90","1736","100782.54"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Richmond upon Thames","Local authority","E09000027","Boys","55.2","Score out of 90","887","48990.53"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Richmond upon Thames","Local authority","E09000027","Girls","61","Score out of 90","849","51792.01"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sutton","Local authority","E09000029","All","62","Score out of 90","3048","189092.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sutton","Local authority","E09000029","Boys","60.6","Score out of 90","1558","94375.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sutton","Local authority","E09000029","Girls","63.6","Score out of 90","1490","94717.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Waltham Forest","Local authority","E09000031","All","51.5","Score out of 90","2707","139399.51"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Waltham Forest","Local authority","E09000031","Boys","48.4","Score out of 90","1422","68775.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Waltham Forest","Local authority","E09000031","Girls","55","Score out of 90","1285","70624.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bracknell Forest","Local authority","E06000036","All","52.8","Score out of 90","1227","64778.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bracknell Forest","Local authority","E06000036","Boys","49.4","Score out of 90","648","32004"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bracknell Forest","Local authority","E06000036","Girls","56.6","Score out of 90","579","32774.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Brighton and Hove","Local authority","E06000043","All","52.5","Score out of 90","2225","116798.4"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Brighton and Hove","Local authority","E06000043","Boys","49.6","Score out of 90","1138","56409.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Brighton and Hove","Local authority","E06000043","Girls","55.6","Score out of 90","1087","60389.02"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Buckinghamshire","Local authority","E06000060","All","59","Score out of 90","6070","358431"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Buckinghamshire","Local authority","E06000060","Boys","56.5","Score out of 90","3154","178151.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Buckinghamshire","Local authority","E06000060","Girls","61.8","Score out of 90","2916","180279.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East Sussex","Local authority","E10000011","All","49.3","Score out of 90","4834","238329"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East Sussex","Local authority","E10000011","Boys","45.9","Score out of 90","2520","115791.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East Sussex","Local authority","E10000011","Girls","53","Score out of 90","2314","122537.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Hampshire","Local authority","E10000014","All","51.8","Score out of 90","13553","702350.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Hampshire","Local authority","E10000014","Boys","48.9","Score out of 90","6956","339844.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Hampshire","Local authority","E10000014","Girls","55","Score out of 90","6597","362506.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Isle of Wight","Local authority","E06000046","All","47","Score out of 90","1258","59122.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Isle of Wight","Local authority","E06000046","Boys","43","Score out of 90","637","27394.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Isle of Wight","Local authority","E06000046","Girls","51.1","Score out of 90","621","31727.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Kent","Local authority","E10000016","All","51.4","Score out of 90","16779","863012.26"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Kent","Local authority","E10000016","Boys","48.9","Score out of 90","8601","420411"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Kent","Local authority","E10000016","Girls","54.1","Score out of 90","8178","442601.26"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Medway","Local authority","E06000035","All","49.4","Score out of 90","3169","156688.07"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Medway","Local authority","E06000035","Boys","47.8","Score out of 90","1572","75138.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Medway","Local authority","E06000035","Girls","51.1","Score out of 90","1597","81549.57"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Milton Keynes","Local authority","E06000042","All","48.7","Score out of 90","3128","152215.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Milton Keynes","Local authority","E06000042","Boys","45.1","Score out of 90","1609","72568"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Milton Keynes","Local authority","E06000042","Girls","52.4","Score out of 90","1519","79647.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Oxfordshire","Local authority","E10000025","All","51","Score out of 90","6566","334975.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Oxfordshire","Local authority","E10000025","Boys","48.4","Score out of 90","3317","160546"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Oxfordshire","Local authority","E10000025","Girls","53.7","Score out of 90","3249","174429.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Portsmouth","Local authority","E06000044","All","46.3","Score out of 90","1888","87489.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Portsmouth","Local authority","E06000044","Boys","43","Score out of 90","981","42202.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Portsmouth","Local authority","E06000044","Girls","49.9","Score out of 90","907","45287"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Reading","Local authority","E06000038","All","55.4","Score out of 90","1397","77336.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Reading","Local authority","E06000038","Boys","53.2","Score out of 90","769","40893.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Reading","Local authority","E06000038","Girls","58","Score out of 90","628","36443"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Slough","Local authority","E06000039","All","56.1","Score out of 90","2113","118581.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Slough","Local authority","E06000039","Boys","53.2","Score out of 90","1087","57828.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Slough","Local authority","E06000039","Girls","59.2","Score out of 90","1026","60752.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Southampton","Local authority","E06000045","All","46.2","Score out of 90","2174","100337.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Southampton","Local authority","E06000045","Boys","44.1","Score out of 90","1081","47628.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Southampton","Local authority","E06000045","Girls","48.2","Score out of 90","1093","52708.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Surrey","Local authority","E10000030","All","54.3","Score out of 90","10875","590501.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Surrey","Local authority","E10000030","Boys","51.7","Score out of 90","5669","293088.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Surrey","Local authority","E10000030","Girls","57.1","Score out of 90","5206","297412.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","West Berkshire","Local authority","E06000037","All","52.4","Score out of 90","1776","92980.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","West Berkshire","Local authority","E06000037","Boys","49.5","Score out of 90","931","46085.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","West Berkshire","Local authority","E06000037","Girls","55.5","Score out of 90","845","46895.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","West Sussex","Local authority","E10000032","All","51.6","Score out of 90","8184","421947.02"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","West Sussex","Local authority","E10000032","Boys","48.4","Score out of 90","4162","201490.27"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","West Sussex","Local authority","E10000032","Girls","54.8","Score out of 90","4022","220456.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Windsor and Maidenhead","Local authority","E06000040","All","53.8","Score out of 90","1585","85263.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Windsor and Maidenhead","Local authority","E06000040","Boys","50.5","Score out of 90","814","41135"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Windsor and Maidenhead","Local authority","E06000040","Girls","57.2","Score out of 90","771","44128.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wokingham","Local authority","E06000041","All","57.6","Score out of 90","1814","104398.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wokingham","Local authority","E06000041","Boys","54.5","Score out of 90","890","48501.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wokingham","Local authority","E06000041","Girls","60.5","Score out of 90","924","55897.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bath and North East Somerset","Local authority","E06000022","All","55","Score out of 90","2198","120809.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bath and North East Somerset","Local authority","E06000022","Boys","52.9","Score out of 90","1126","59574.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bath and North East Somerset","Local authority","E06000022","Girls","57.1","Score out of 90","1072","61235.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All","54.2","Score out of 90","3665","198730"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","Boys","52.3","Score out of 90","1831","95790.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bournemouth, Christchurch and Poole","Local authority","E06000058","Girls","56.1","Score out of 90","1834","102939.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bristol, City of","Local authority","E06000023","All","49.6","Score out of 90","3694","183227.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bristol, City of","Local authority","E06000023","Boys","46.8","Score out of 90","1838","85985.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bristol, City of","Local authority","E06000023","Girls","52.4","Score out of 90","1856","97241.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Dorset","Local authority","E06000059","All","50.2","Score out of 90","3636","182410.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Dorset","Local authority","E06000059","Boys","48.1","Score out of 90","1849","89011.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Dorset","Local authority","E06000059","Girls","52.3","Score out of 90","1787","93399.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Gloucestershire","Local authority","E10000013","All","54.3","Score out of 90","6388","346701.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Gloucestershire","Local authority","E10000013","Boys","51.9","Score out of 90","3214","166779.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Gloucestershire","Local authority","E10000013","Girls","56.7","Score out of 90","3174","179921.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Isles of Scilly","Local authority","E06000053","All","!","Score out of 90","14","!"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Isles of Scilly","Local authority","E06000053","Boys","!","Score out of 90","8","!"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Isles of Scilly","Local authority","E06000053","Girls","!","Score out of 90","6","!"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Somerset","Local authority","E06000024","All","52.3","Score out of 90","2239","117083.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Somerset","Local authority","E06000024","Boys","50","Score out of 90","1122","56111.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Somerset","Local authority","E06000024","Girls","54.6","Score out of 90","1117","60972"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Plymouth","Local authority","E06000026","All","50.5","Score out of 90","2717","137257.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Plymouth","Local authority","E06000026","Boys","47.4","Score out of 90","1342","63611.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Plymouth","Local authority","E06000026","Girls","53.6","Score out of 90","1375","73646.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Somerset","Local authority","E10000027","All","49.4","Score out of 90","5095","251558.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Somerset","Local authority","E10000027","Boys","46.6","Score out of 90","2612","121766.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Somerset","Local authority","E10000027","Girls","52.3","Score out of 90","2483","129792.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South Gloucestershire","Local authority","E06000025","All","50.9","Score out of 90","2640","134491.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South Gloucestershire","Local authority","E06000025","Boys","47.9","Score out of 90","1327","63544.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South Gloucestershire","Local authority","E06000025","Girls","54","Score out of 90","1313","70947.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Swindon","Local authority","E06000030","All","49.3","Score out of 90","2313","114081.94"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Swindon","Local authority","E06000030","Boys","46.7","Score out of 90","1196","55816.53"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Swindon","Local authority","E06000030","Girls","52.2","Score out of 90","1117","58265.41"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Torbay","Local authority","E06000027","All","51.3","Score out of 90","1638","84078"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Torbay","Local authority","E06000027","Boys","49.2","Score out of 90","817","40186.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Torbay","Local authority","E06000027","Girls","53.5","Score out of 90","821","43891.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wiltshire","Local authority","E06000054","All","51.4","Score out of 90","5000","256838.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wiltshire","Local authority","E06000054","Boys","48.7","Score out of 90","2546","124024.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wiltshire","Local authority","E06000054","Girls","54.1","Score out of 90","2454","132814"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cornwall","Local authority","E06000052","All","50.1","Score out of 90","5399","270220.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cornwall","Local authority","E06000052","Boys","46.9","Score out of 90","2745","128758.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cornwall","Local authority","E06000052","Girls","53.3","Score out of 90","2654","141461.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Devon","Local authority","E10000008","All","51.1","Score out of 90","7064","360974.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Devon","Local authority","E10000008","Boys","48.1","Score out of 90","3680","177001"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Devon","Local authority","E10000008","Girls","54.4","Score out of 90","3384","183973.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","England","Country","E92000001","All","55.8","Score out of 90","63704","3553426.72"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","England","Country","E92000001","Boys","53","Score out of 90","32822","1740712.41"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","England","Country","E92000001","Girls","58.7","Score out of 90","30882","1812714.31"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","North East","Region","E12000001","All","54.7","Score out of 90","1028","56252"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","North East","Region","E12000001","Boys","51.1","Score out of 90","543","27757"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","North East","Region","E12000001","Girls","58.8","Score out of 90","485","28495"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","North West","Region","E12000002","All","53.7","Score out of 90","8447","453950.51"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","North West","Region","E12000002","Boys","50.7","Score out of 90","4345","220205.51"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","North West","Region","E12000002","Girls","57","Score out of 90","4102","233745"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Yorkshire and The Humber","Region","E12000003","All","50.1","Score out of 90","7306","366394"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Yorkshire and The Humber","Region","E12000003","Boys","47.4","Score out of 90","3703","175485"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Yorkshire and The Humber","Region","E12000003","Girls","53","Score out of 90","3603","190909"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","East Midlands","Region","E12000004","All","54.5","Score out of 90","4508","245668.88"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","East Midlands","Region","E12000004","Boys","51.8","Score out of 90","2356","122060.38"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","East Midlands","Region","E12000004","Girls","57.4","Score out of 90","2152","123608.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","West Midlands","Region","E12000005","All","53.1","Score out of 90","11469","608473.92"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","West Midlands","Region","E12000005","Boys","50.2","Score out of 90","5906","296410.88"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","West Midlands","Region","E12000005","Girls","56.1","Score out of 90","5563","312063.04"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","East of England","Region","E12000006","All","56.9","Score out of 90","4482","254974.52"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","East of England","Region","E12000006","Boys","54.2","Score out of 90","2298","124461.26"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","East of England","Region","E12000006","Girls","59.8","Score out of 90","2184","130513.26"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","London","Region","E12000007","All","59.2","Score out of 90","18292","1083272.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","London","Region","E12000007","Boys","56.7","Score out of 90","9472","537368"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","London","Region","E12000007","Girls","61.9","Score out of 90","8820","545904.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Inner London","Region","E13000001","All","56.9","Score out of 90","6048","343846"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Inner London","Region","E13000001","Boys","54.1","Score out of 90","3055","165147.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Inner London","Region","E13000001","Girls","59.7","Score out of 90","2993","178698.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Outer London","Region","E13000002","All","60.4","Score out of 90","12244","739426.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Outer London","Region","E13000002","Boys","58","Score out of 90","6417","372220.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Outer London","Region","E13000002","Girls","63","Score out of 90","5827","367205.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","South East","Region","E12000008","All","59.6","Score out of 90","6851","408283.64"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","South East","Region","E12000008","Boys","56.9","Score out of 90","3526","200691.63"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","South East","Region","E12000008","Girls","62.4","Score out of 90","3325","207592.01"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","South West","Region","E12000009","All","57.7","Score out of 90","1321","76156.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","South West","Region","E12000009","Boys","53.9","Score out of 90","673","36272.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","South West","Region","E12000009","Girls","61.5","Score out of 90","648","39884"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","County Durham","Local authority","E06000047","All","62.4","Score out of 90","41","2559.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","County Durham","Local authority","E06000047","Boys","56.3","Score out of 90","24","1350.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","County Durham","Local authority","E06000047","Girls","71.1","Score out of 90","17","1209"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Darlington","Local authority","E06000005","All","59","Score out of 90","33","1947.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Darlington","Local authority","E06000005","Boys","48.5","Score out of 90","15","728"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Darlington","Local authority","E06000005","Girls","67.8","Score out of 90","18","1219.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Gateshead","Local authority","E08000037","All","59.4","Score out of 90","59","3507"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Gateshead","Local authority","E08000037","Boys","53.7","Score out of 90","30","1612"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Gateshead","Local authority","E08000037","Girls","65.3","Score out of 90","29","1895"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Hartlepool","Local authority","E06000001","All","53.1","Score out of 90","26","1380.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Hartlepool","Local authority","E06000001","Boys","45.2","Score out of 90","12","542"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Hartlepool","Local authority","E06000001","Girls","59.9","Score out of 90","14","838.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Middlesbrough","Local authority","E06000002","All","52.7","Score out of 90","187","9859.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Middlesbrough","Local authority","E06000002","Boys","48.5","Score out of 90","95","4610.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Middlesbrough","Local authority","E06000002","Girls","57.1","Score out of 90","92","5249"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Newcastle upon Tyne","Local authority","E08000021","All","55","Score out of 90","300","16502.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Newcastle upon Tyne","Local authority","E08000021","Boys","52.2","Score out of 90","160","8353"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Newcastle upon Tyne","Local authority","E08000021","Girls","58.2","Score out of 90","140","8149.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","North Tyneside","Local authority","E08000022","All","52","Score out of 90","41","2132.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","North Tyneside","Local authority","E08000022","Boys","49.6","Score out of 90","24","1189.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","North Tyneside","Local authority","E08000022","Girls","55.5","Score out of 90","17","943.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Northumberland","Local authority","E06000057","All","57","Score out of 90","47","2680.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Northumberland","Local authority","E06000057","Boys","55.2","Score out of 90","29","1599.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Northumberland","Local authority","E06000057","Girls","60.1","Score out of 90","18","1081"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Redcar and Cleveland","Local authority","E06000003","All","50.8","Score out of 90","16","813.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Redcar and Cleveland","Local authority","E06000003","Boys","47.7","Score out of 90","9","429"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Redcar and Cleveland","Local authority","E06000003","Girls","54.9","Score out of 90","7","384.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","South Tyneside","Local authority","E08000023","All","51.5","Score out of 90","64","3296.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","South Tyneside","Local authority","E08000023","Boys","45.4","Score out of 90","34","1543"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","South Tyneside","Local authority","E08000023","Girls","58.4","Score out of 90","30","1753.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Stockton-on-Tees","Local authority","E06000004","All","51.2","Score out of 90","108","5524.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Stockton-on-Tees","Local authority","E06000004","Boys","48.3","Score out of 90","63","3040"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Stockton-on-Tees","Local authority","E06000004","Girls","55.2","Score out of 90","45","2484.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Sunderland","Local authority","E08000024","All","57.1","Score out of 90","106","6048"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Sunderland","Local authority","E08000024","Boys","57.5","Score out of 90","48","2760.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Sunderland","Local authority","E08000024","Girls","56.7","Score out of 90","58","3287.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2020-2021","Academic year","Blackburn with Darwen","Local authority","E06000008","All","55.9","Score out of 90","891","49819.75"
