"Ethnicity","Local authority ","%","Pupils"
"White","Lincolnshire","74","5,784"
"White","Liverpool","76","3,132"
"White","Luton","75","761"
"White","Manchester","75","2,116"
"White","Medway","75","2,003"
"White","Merton","83","944"
"White","Middlesbrough","79","1,148"
"White","Milton Keynes","79","1,794"
"White","Newcastle upon Tyne","79","1,659"
"White","Newham","84","700"
"White","Norfolk","74","6,288"
"White","North East Lincolnshire","81","1,448"
"White","North Lincolnshire","81","1,464"
"White","North Somerset","79","1,769"
"White","North Tyneside","79","1,794"
"White","North Yorkshire","77","4,579"
"White","Northamptonshire","75","5,851"
"White","Northumberland","79","2,692"
"White","Nottingham","76","1,473"
"White","Nottinghamshire","79","6,551"
"White","Oldham","78","1,519"
"White","Oxfordshire","79","4,787"
"White","Peterborough","71","1,444"
"White","Plymouth","78","2,132"
"White","Portsmouth","73","1,335"
"White","Reading","76","783"
"White","Redbridge","81","803"
"White","Redcar and Cleveland","84","1,311"
"White","Richmond upon Thames","92","1,568"
"White","Rochdale","77","1,464"
"White","Rotherham","76","2,188"
"White","Rutland","81","294"
"White","Salford","79","1,847"
"White","Sandwell","75","1,701"
"White","Sefton","79","2,196"
"White","Sheffield","77","3,355"
"White","Shropshire","79","2,292"
"White","Slough","72","494"
"White","Solihull","81","1,560"
"White","Somerset","74","4,115"
"White","South Gloucestershire","79","2,306"
"White","South Tyneside","80","1,228"
"White","Southampton","77","1,613"
"White","Southend-on-Sea","79","1,414"
"White","Southwark","83","767"
"White","St. Helens","78","1,648"
"White","Staffordshire","79","6,943"
"White","Stockport","80","2,313"
"White","Stockton-on-Tees","82","1,850"
"White","Stoke-on-Trent","74","1,829"
"White","Suffolk","77","5,419"
"White","Sunderland","79","2,388"
"White","Surrey","82","8,392"
"White","Sutton","82","1,197"
"White","Swindon","76","1,692"
"White","Tameside","78","1,844"
"White","Telford and Wrekin","78","1,491"
"White","Thurrock","81","1,354"
"White","Torbay","79","1,068"
"White","Tower Hamlets","81","371"
"White","Trafford","86","1,740"
"White","Wakefield","78","2,834"
"White","Walsall","76","1,767"
"White","Waltham Forest","84","1,033"
"White","Wandsworth","86","841"
"White","Warrington","84","2,009"
"White","Warwickshire","77","4,254"
"White","West Berkshire","76","1,324"
"White","West Sussex","76","6,149"
"White","Westminster","85","317"
"White","Wigan","80","2,864"
"White","Wiltshire","76","3,741"
"White","Windsor and Maidenhead","80","898"
"White","Wirral","74","2,608"
"White","Wokingham","82","1,269"
"White","Wolverhampton","74","1,275"
"White","Worcestershire","77","4,252"
"White","York","82","1,506"
"Other","Barking and Dagenham","65","31"
"Other","Barnet","86","397"
"Other","Barnsley","100","10"
"Other","Bath and North East Somerset","67","6"
"Other","Bedford","64","18"
"Other","Bexley","73","43"
"Other","Birmingham","79","674"
"Other","Blackburn with Darwen","100","21"
"Other","Blackpool","75","6"
"Other","Bolton","70","52"
"Other","Bournemouth, Christchurch and Poole","78","31"
"Other","Bracknell Forest","86","6"
"Other","Bradford","76","77"
"Other","Brent","82","353"
"Other","Brighton and Hove","82","46"
"Other","Bristol, City of","65","32"
"Other","Bromley","81","55"
"Other","Buckinghamshire","83","35"
"Other","Bury","77","24"
"Other","Calderdale","73","11"
"Other","Cambridgeshire","85","52"
"Other","Camden","83","67"
"Other","Central Bedfordshire","78","14"
"Other","Cheshire East","63","12"
"Other","Cheshire West and Chester","81","17"
"Other","City of London","50","1"
"Other","Cornwall","86","19"
"Other","County Durham","79","15"
"Other","Coventry","68","48"
"Other","Croydon","80","55"
"Other","Cumbria","79","15"
"Other","Darlington","82","9"
"Other","Derby","76","56"
"Other","Derbyshire","91","20"
"Other","Devon","74","39"
"Other","Doncaster","77","17"
"Other","Dorset","67","2"
"Other","Dudley","66","54"
"Other","Ealing","84","558"
"Other","East Riding of Yorkshire","89","16"
"Other","East Sussex","53","17"
"Other","Enfield","86","213"
"Other","Essex","86","113"
"Other","Gateshead","79","26"
"Other","Gloucestershire","73","16"
"Other","Greenwich","88","71"
"Other","Hackney","83","127"
"Other","Halton","20","1"
"Other","Hammersmith and Fulham","85","127"
"Other","Hampshire","83","80"
"Other","Haringey","72","135"
"Other","Harrow","83","101"
"Other","Hartlepool","40","2"
"Other","Havering","85","17"
"Other","Herefordshire, County of","86","6"
"Other","Hertfordshire","81","137"
"Other","Hillingdon","84","272"
"Other","Hounslow","86","321"
"Other","Isle of Wight","100","1"
"Other","Isles of Scilly","N/A","N/A"
"Other","Islington","85","83"
"Other","Kensington and Chelsea","88","144"
"Other","Kent","86","136"
"Other","Kingston upon Hull, City of","85","63"
"Other","Kingston upon Thames","89","116"
"Other","Kirklees","70","35"
"Other","Knowsley","67","6"
"Other","Lambeth","88","134"
"Other","Lancashire","80","51"
"Other","Leeds","74","136"
"Other","Leicester","84","90"
"Other","Leicestershire","83","25"
"Other","Lewisham","83","93"
"Other","Lincolnshire","83","30"
"Other","Liverpool","75","158"
"Other","Luton","83","43"
"Other","Manchester","77","381"
"Other","Medway","82","28"
"Other","Merton","92","66"
"Other","Middlesbrough","83","39"
"Other","Milton Keynes","93","28"
"Other","Newcastle upon Tyne","81","65"
"Other","Newham","86","243"
"Other","Norfolk","80","63"
"Other","North East Lincolnshire","90","19"
"Other","North Lincolnshire","79","11"
"Other","North Somerset","100","4"
"Other","North Tyneside","88","7"
"Other","North Yorkshire","68","17"
"Other","Northamptonshire","69","48"
"Other","Northumberland","83","10"
"Other","Nottingham","83","87"
"Other","Nottinghamshire","76","45"
"Other","Oldham","59","16"
"Other","Oxfordshire","73","73"
"Other","Peterborough","83","30"
"Other","Plymouth","65","26"
"Other","Portsmouth","74","32"
"Other","Reading","96","23"
"Other","Redbridge","83","45"
"Other","Redcar and Cleveland","71","5"
"Other","Richmond upon Thames","89","48"
"Other","Rochdale","73","27"
"Other","Rotherham","86","24"
"Other","Rutland","50","2"
"Other","Salford","76","75"
"Other","Sandwell","83","95"
"Other","Sefton","62","8"
"Other","Sheffield","82","180"
"Other","Shropshire","100","4"
"Other","Slough","92","85"
"Other","Solihull","91","29"
"Other","Somerset","50","9"
"Other","South Gloucestershire","73","19"
"Other","South Tyneside","100","9"
"Other","Southampton","85","44"
"Other","Southend-on-Sea","81","13"
"Other","Southwark","83","210"
"Other","St. Helens","75","6"
"Other","Staffordshire","78","36"
"Other","Stockport","78","25"
"Other","Stockton-on-Tees","86","6"
"Other","Stoke-on-Trent","68","38"
"Other","Suffolk","78","58"
"Other","Sunderland","67","2"
"Other","Surrey","86","114"
"Other","Sutton","85","29"
"Other","Swindon","67","16"
"Other","Tameside","71","17"
"Other","Telford and Wrekin","67","4"
"Other","Thurrock","88","23"
"Other","Torbay","64","7"
"Other","Tower Hamlets","91","99"
"Other","Trafford","91","74"
"Other","Wakefield","65","17"
"Other","Walsall","65","33"
"Other","Waltham Forest","80","104"
"Other","Wandsworth","85","76"
"Other","Warrington","60","12"
"Other","Warwickshire","87","26"
"Other","West Berkshire","70","7"
"Other","West Sussex","81","42"
"Other","Westminster","85","366"
"Other","Wigan","76","29"
"Other","Wiltshire","77","37"
"Other","Windsor and Maidenhead","71","15"
"Other","Wirral","78","7"
"Other","Wokingham","83","15"
"Other","Wolverhampton","74","35"
"Other","Worcestershire","79","19"
"Other","York","100","11"
