"Ethnicity","Geography","boys","girls"
"White","Gateshead","75","79"
"White","Gloucestershire","75","76"
"White","Greenwich","77","77"
"White","Hackney","80","84"
"White","Halton","73","74"
"White","Hammersmith and Fulham","83","84"
"White","Hampshire","78","80"
"White","Haringey","78","79"
"White","Harrow","75","75"
"White","Hartlepool","76","78"
"White","Havering","78","80"
"White","Herefordshire, County of","75","80"
"White","Hertfordshire","78","78"
"White","Hillingdon","74","77"
"White","Hounslow","77","82"
"White","Isle of Wight","68","69"
"White","Isles of Scilly","!","!"
"White","Islington","78","84"
"White","Kensington and Chelsea","86","85"
"White","Kent","77","80"
"White","Kingston upon Hull, City of","72","75"
"White","Kingston upon Thames","83","80"
"White","Kirklees","74","76"
"White","Knowsley","68","75"
"White","Lambeth","82","83"
"White","Lancashire","75","76"
"White","Leeds","71","73"
"White","Leicester","65","68"
"White","Leicestershire","75","77"
"White","Lewisham","83","82"
"White","Lincolnshire","73","75"
"White","Liverpool","71","73"
"White","Luton","72","76"
"White","Manchester","73","76"
"White","Medway","74","81"
"White","Merton","77","77"
"White","Middlesbrough","67","71"
"White","Milton Keynes","74","76"
"White","Newcastle upon Tyne","77","76"
"White","Newham","74","78"
"White","Norfolk","73","76"
"White","North East Lincolnshire","71","76"
"White","North Lincolnshire","74","79"
"White","North Somerset","78","77"
"White","North Tyneside","78","79"
"White","North Yorkshire","75","76"
"White","Northamptonshire","75","76"
"White","Northumberland","76","81"
"White","Nottingham","69","73"
"White","Nottinghamshire","74","77"
"White","Oldham","72","76"
"White","Oxfordshire","77","77"
"White","Peterborough","69","74"
"White","Plymouth","71","75"
"White","Poole","78","81"
"White","Portsmouth","71","76"
"White","Reading","77","74"
