"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","164","6766","6370","2152","2002","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","155","6418","5568","2152","2002","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","64","2662","2419","2152","2002","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","534","486","2152","2002","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","117","4847","4146","2152","2002","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","136","5634","4558","2152","2002","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","937","23049","19993","1283","1189","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","18","454","380","1283","1189","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","127","3126","2428","1283","1189","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","214","5275","4995","1283","1189","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","245","6028","5247","1283","1189","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","95","2331","2079","1283","1189","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","27","657","623","1283","1189","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","85","2104","1795","1283","1189","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","125","3076","2446","1283","1189","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","863","16235","13526","980","878","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","24","460","395","980","878","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","148","2779","2182","980","878","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","183","3439","3083","980","878","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","168","3167","2679","980","878","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","59","1109","976","980","878","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","27","508","452","980","878","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","93","1754","1423","980","878","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","161","3020","2336","980","878","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","All Purposes","1061","1543172","1425532","75834","75156","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Business","36","52617","49832","75834","75156","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Commuting","164","238836","210032","75834","75156","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Education / escort education","108","157086","151430","75834","75156","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Leisure","284","413491","394113","75834","75156","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Other escort","97","140980","130629","75834","75156","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Other including just walk","47","67777","63984","75834","75156","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Personal business","108","157757","145018","75834","75156","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Shopping","216","314628","280494","75834","75156","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","1029","1685193","1550806","85373","84121","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","34","55227","52340","85373","84121","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","159","259980","227643","85373","84121","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","114","186480","177883","85373","84121","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","271","444415","422578","85373","84121","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","94","154118","142366","85373","84121","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","74071","70056","85373","84121","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","107","174724","159843","85373","84121","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","205","336177","298097","85373","84121","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","870","80873","68229","4844","4383","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","20","1862","1589","4844","4383","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","161","14946","11886","4844","4383","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","177","16399","14610","4844","4383","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","169","15737","13617","4844","4383","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","75","6999","6124","4844","4383","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","22","2081","1841","4844","4383","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","96","8927","7417","4844","4383","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","150","13922","11145","4844","4383","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","836","34030","29753","2122","1990","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","28","1120","994","2122","1990","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","152","6187","5176","2122","1990","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","163","6646","6330","2122","1990","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","160","6502","5678","2122","1990","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","70","2832","2580","2122","1990","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","10","426","390","2122","1990","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","119","4839","4164","2122","1990","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","135","5478","4441","2122","1990","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","943","24146","21226","1336","1256","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","17","425","381","1336","1256","               "
