"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","27","580","464","1119","1009","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","73","1575","1302","1119","1009","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","160","3442","2628","1119","1009","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","All Purposes","971","1318674","1231869","70798","70450","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Business","33","44548","42361","70798","70450","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Commuting","146","198503","173265","70798","70450","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Education / escort education","110","149660","143009","70798","70450","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Leisure","260","352809","344958","70798","70450","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Other escort","88","119629","109856","70798","70450","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Other including just walk","50","68328","65576","70798","70450","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Personal business","92","125316","118337","70798","70450","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Shopping","191","259881","234507","70798","70450","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","949","1449364","1346175","79639","78589","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","31","46922","44297","79639","78589","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","145","221999","192903","79639","78589","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","118","179716","174389","79639","78589","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","245","374611","362643","79639","78589","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","86","130603","119438","79639","78589","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","49","74924","71610","79639","78589","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","92","141155","132090","79639","78589","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","183","279434","248805","79639","78589","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","801","92655","81544","6031","5625","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","17","1942","1705","6031","5625","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","158","18264","15252","6031","5625","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","164","18939","18066","6031","5625","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","142","16437","14961","6031","5625","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","69","8024","7093","6031","5625","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","25","2865","2521","6031","5625","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","91","10506","9172","6031","5625","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","136","15679","12774","6031","5625","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","778","37264","34224","2498","2455","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","26","1232","1144","2498","2455","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","137","6583","5689","2498","2455","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","174","8342","8586","2498","2455","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","132","6319","5780","2498","2455","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","64","3076","2808","2498","2455","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","14","689","660","2498","2455","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","110","5278","4834","2498","2455","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","120","5747","4723","2498","2455","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","883","20059","18063","1184","1140","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","20","454","422","1184","1140","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","106","2414","2042","1184","1140","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","207","4706","4561","1184","1140","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","217","4921","4555","1184","1140","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","99","2254","2020","1184","1140","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","42","956","797","1184","1140","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","78","1771","1568","1184","1140","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","114","2583","2098","1184","1140","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","796","15959","13930","1045","959","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","30","606","505","1045","959","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","144","2884","2368","1045","959","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","161","3223","3214","1045","959","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","144","2889","2631","1045","959","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","71","1416","1275","1045","959","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","29","578","459","1045","959","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","68","1354","1162","1045","959","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","150","3009","2316","1045","959","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","All Purposes","972","1282818","1197787","68842","68371","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Business","32","42646","40485","68842","68371","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Commuting","145","191817","167518","68842","68371","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Education / escort education","109","144379","139812","68842","68371","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Leisure","260","343925","334581","68842","68371","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Other escort","88","115791","106185","68842","68371","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Other including just walk","53","69808","67148","68842","68371","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Personal business","93","122170","115279","68842","68371","               "
"Average trips per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Shopping","191","252283","226779","68842","68371","               "
