"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance","Notes"
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","304","460","395","980","878","5722","4888","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","1154","2779","2182","980","878","21694","17357","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","484","3439","3083","980","878","9094","8261","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1431","3167","2679","980","878","26903","23541","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","340","1109","976","980","878","6397","5509","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","31","508","452","980","878","580","520","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","318","1754","1423","980","878","5981","5019","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","474","3020","2336","980","878","8916","7246","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","All Purposes","7356","1543172","1425532","75834","75156","10698442","10033434","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Business","739","52617","49832","75834","75156","1074864","1030148","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Commuting","1433","238836","210032","75834","75156","2084441","1849370","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Education / escort education","298","157086","151430","75834","75156","433712","417865","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Leisure","2931","413491","394113","75834","75156","4262761","4137849","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Other escort","501","140980","130629","75834","75156","728098","671326","             "
