"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance","Notes"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","All Purposes","6953","1324708","1233345","70849","70583","9447495","8986436","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Business","651","43231","41224","70849","70583","884109","850543","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Commuting","1317","200190","174025","70849","70583","1788981","1583589","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Education / escort education","320","148101","139432","70849","70583","434397","413782","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Leisure","2812","355159","346420","70849","70583","3821380","3796891","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Other escort","489","122442","112489","70849","70583","664409","614540","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Other including just walk","50","65755","62558","70849","70583","67728","66318","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Personal business","482","127060","119572","70849","70583","654406","619395","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Shopping","833","262770","237625","70849","70583","1132087","1041379","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6570","1487500","1380611","81732","80718","10299176","9732917","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","620","48991","46300","81732","80718","971705","930172","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1297","228726","198445","81732","80718","2032757","1797542","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","333","184584","176462","81732","80718","522005","499697","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2588","384724","373824","81732","80718","4057344","4002987","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","451","134321","122884","81732","80718","706734","647369","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","47","73341","69984","81732","80718","73325","71720","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","473","145051","135569","81732","80718","741921","698747","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","761","287762","257143","81732","80718","1193385","1084684","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4630","91868","79768","5979","5514","530986","462385","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","290","2132","1836","5979","5514","33263","29063","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1361","17968","14876","5979","5514","156069","131282","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","379","18599","17232","5979","5514","43500","40125","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1452","16490","14784","5979","5514","166507","149894","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","285","7761","6747","5979","5514","32673","27669","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","23","2761","2460","5979","5514","2622","2332","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","411","10688","9193","5979","5514","47149","41453","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","429","15469","12640","5979","5514","49202","40567","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4280","38306","35102","2523","2490","207106","189646","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","331","1271","1193","2523","2490","16002","14802","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1102","6455","5571","2523","2490","53310","46833","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","478","8469","8652","2523","2490","23127","23278","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1106","6782","6203","2523","2490","53498","49458","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","288","3083","2811","2523","2490","13940","12491","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","713","686","2523","2490","639","606","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","571","5492","4996","2523","2490","27651","25873","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","391","6042","4990","2523","2490","18940","16306","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","4806","21164","18899","1269","1216","116999","102851","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","263","470","433","1269","1216","6403","5725","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","976","2634","2215","1269","1216","23759","20011","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","465","4851","4620","1269","1216","11330","10466","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","1986","5243","4821","1269","1216","48358","43538","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","431","2364","2114","1269","1216","10485","9182","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","26","929","772","1269","1216","635","569","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","323","1892","1663","1269","1216","7859","6681","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","336","2781","2261","1269","1216","8171","6679","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4107","16804","14326","1119","1009","88107","76432","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","273","526","440","1119","1009","5849","5435","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","1058","3099","2460","1119","1009","22697","18121","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","351","2906","2837","1119","1009","7533","7097","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1341","3243","2902","1119","1009","28776","26176","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","302","1434","1293","1119","1009","6487","5594","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","22","580","464","1119","1009","467","406","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","323","1575","1302","1119","1009","6926","5785","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","437","3442","2628","1119","1009","9372","7816","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","All Purposes","6887","1318674","1231869","70798","70450","9351844","8897538","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Business","670","44548","42361","70798","70450","909599","874783","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Commuting","1308","198503","173265","70798","70450","1776140","1580581","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Education / escort education","321","149660","143009","70798","70450","435878","417786","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Leisure","2768","352809","344958","70798","70450","3758922","3732683","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Other escort","473","119629","109856","70798","70450","642902","592153","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Other including just walk","51","68328","65576","70798","70450","68931","67779","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Personal business","480","125316","118337","70798","70450","652032","618678","             "
"Average distance per year by trip purpose","2012-2016","5-year rolling average","White","ONS 2011 5+1","Shopping","816","259881","234507","70798","70450","1107440","1013096","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6564","1449364","1346175","79639","78589","10026260","9421306","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","608","46922","44297","79639","78589","928229","883872","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1296","221999","192903","79639","78589","1979936","1754052","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","331","179716","174389","79639","78589","506169","486452","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2615","374611","362643","79639","78589","3994457","3901764","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","444","130603","119438","79639","78589","678808","619138","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","49","74924","71610","79639","78589","74817","72080","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","475","141155","132090","79639","78589","726014","680106","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","745","279434","248805","79639","78589","1137829","1023843","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4645","92655","81544","6031","5625","537250","472196","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","274","1942","1705","6031","5625","31672","28307","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1383","18264","15252","6031","5625","160011","135416","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","390","18939","18066","6031","5625","45092","42374","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1490","16437","14961","6031","5625","172311","157309","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","282","8024","7093","6031","5625","32566","27658","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","26","2865","2521","6031","5625","3020","2610","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","371","10506","9172","6031","5625","42870","37977","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","430","15679","12774","6031","5625","49707","40547","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4190","37264","34224","2498","2455","200742","182887","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","283","1232","1144","2498","2455","13536","12266","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1124","6583","5689","2498","2455","53863","47406","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","483","8342","8586","2498","2455","23122","23068","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1116","6319","5780","2498","2455","53483","49474","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","288","3076","2808","2498","2455","13805","12123","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","14","689","660","2498","2455","679","618","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","520","5278","4834","2498","2455","24901","23157","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","362","5747","4723","2498","2455","17352","14776","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","5128","20059","18063","1184","1140","116444","102257","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","304","454","422","1184","1140","6905","6259","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","962","2414","2042","1184","1140","21845","18491","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","538","4706","4561","1184","1140","12211","11313","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2188","4921","4555","1184","1140","49685","44281","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","437","2254","2020","1184","1140","9925","8700","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","30","956","797","1184","1140","674","590","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","364","1771","1568","1184","1140","8265","6933","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","305","2583","2098","1184","1140","6933","5691","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4262","15959","13930","1045","959","85444","75513","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","285","606","505","1045","959","5716","5208","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","1114","2884","2368","1045","959","22323","18818","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","424","3223","3214","1045","959","8500","8019","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1337","2889","2631","1045","959","26808","24927","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","285","1416","1275","1045","959","5704","4980","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","24","578","459","1045","959","476","407","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","371","1354","1162","1045","959","7433","5989","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","423","3009","2316","1045","959","8484","7164","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","All Purposes","6880","1282818","1197787","68842","68371","9083200","8584856","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Business","659","42646","40485","68842","68371","870176","831629","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Commuting","1304","191817","167518","68842","68371","1721649","1533662","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Education / escort education","315","144379","139812","68842","68371","416560","400651","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Leisure","2795","343925","334581","68842","68371","3690961","3624526","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Other escort","467","115791","106185","68842","68371","616588","565416","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Other including just walk","53","69808","67148","68842","68371","69942","67830","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Personal business","486","122170","115279","68842","68371","642208","605720","             "
"Average distance per year by trip purpose","2013-2017","5-year rolling average","White","ONS 2011 5+1","Shopping","799","252283","226779","68842","68371","1055117","955421","             "
